Model	Params	Recall	RR@10	QPS	SearchSecMedian	IndexSec	PeakRSSGB	Threads
GrassRMA	M=32 efC=200 ef=10	0.681862464183381	0.8194842406876791	77336.34653600614	0.09025510400533676	1502.4899781048298	12.638412475585938	48
GrassRMA	M=32 efC=200 ef=20	0.7884240687679083	0.882808022922636	55993.33179504635	0.12465770076960325	1502.4899781048298	12.638412475585938	48
GrassRMA	M=32 efC=200 ef=50	0.8758309455587393	0.9405444126074498	32242.22178649728	0.21648632176220417	1502.4899781048298	12.638412475585938	48
GrassRMA	M=32 efC=200 ef=100	0.9147134670487106	0.9660458452722063	19403.106177836937	0.35973621625453234	1502.4899781048298	12.638412475585938	48
GrassRMA	M=32 efC=200 ef=200	0.9421919770773639	0.9829512893982808	11030.515146534319	0.6327900290489197	1502.4899781048298	12.638412475585938	48
GrassRMA	M=32 efC=200 ef=400	0.9608882521489971	0.9934097421203438	6018.139243142048	1.1598269362002611	1502.4899781048298	12.638412475585938	48
GrassRMA	M=32 efC=200 ef=800	0.9715902578796561	0.9981375358166189	3208.9803184858183	2.1751457806676626	1502.4899781048298	12.638412475585938	48
GrassRMA	M=32 efC=200 ef=1600	0.9791260744985674	0.9992836676217765	1688.951258921317	4.132742116227746	1502.4899781048298	12.638412475585938	48
GrassRMA	M=32 efC=200 ef=3200	0.9846704871060172	0.9997134670487106	885.7313089887026	7.88049369957298	1502.4899781048298	12.638412475585938	48
PyANNS	ef=80 budget=0.8	0.08770773638968482	0.1492836676217765	129234.15220610828	0.054010490886867046	4761.7003370877355	28.130733489990234	48
PyANNS	ef=80 budget=0.5	0.6671489971346705	0.7765042979942693	40063.62531049008	0.17422287538647652	4761.7003370877355	28.130733489990234	48
PyANNS	ef=80 budget=0.3	0.8567621776504298	0.9108882521489972	36195.25959536224	0.19284293241798878	4761.7003370877355	28.130733489990234	48
PyANNS	ef=80 budget=0.2	0.8958309455587392	0.9418338108882521	35127.45223870523	0.1987049886956811	4761.7003370877355	28.130733489990234	48
PyANNS	ef=80 budget=0.15	0.9124928366762177	0.9555873925501432	34174.400702974955	0.2042464492842555	4761.7003370877355	28.130733489990234	48
PyANNS	ef=80 budget=0.1	0.9191404011461318	0.9608882521489971	33290.419123717176	0.2096699345856905	4761.7003370877355	28.130733489990234	48
PyANNS	ef=80 budget=0.07	0.9215472779369628	0.9641833810888252	31915.11190547079	0.21870517078787088	4761.7003370877355	28.130733489990234	48
PyANNS	ef=80 budget=0.05	0.9236532951289398	0.9664756446991404	30747.303791844824	0.22701177466660738	4761.7003370877355	28.130733489990234	48
PyANNS	ef=80 budget=0.03	0.9248710601719198	0.9670487106017192	29441.703604215763	0.23707867227494717	4761.7003370877355	28.130733489990234	48
SEISMIC	n_postings=3500 summary_energy=0.4 query_cut=3 heap_factor=0.9	0.8746848137535816	0.9935530085959885	91660.16804662299	0.07615085318684578	207.6321878116578	10.625770568847656	48
SEISMIC	n_postings=3500 summary_energy=0.4 query_cut=5 heap_factor=0.9	0.9040974212034384	0.9975644699140401	77575.22949800489	0.08997717499732971	207.6321878116578	10.625770568847656	48
SEISMIC	n_postings=3500 summary_energy=0.4 query_cut=10 heap_factor=0.9	0.9179226361031518	0.9984240687679083	65910.38967662513	0.10590136144310236	207.6321878116578	10.625770568847656	48
SEISMIC	n_postings=3500 summary_energy=0.4 query_cut=10 heap_factor=0.8	0.9520773638968482	0.9991404011461318	48894.84987323297	0.14275532122701406	207.6321878116578	10.625770568847656	48
SEISMIC	n_postings=3500 summary_energy=0.4 query_cut=20 heap_factor=0.8	0.9572492836676217	0.9995702005730659	40085.08054446734	0.17412962391972542	207.6321878116578	10.625770568847656	48
SEISMIC	n_postings=3500 summary_energy=0.4 query_cut=20 heap_factor=0.7	0.972650429799427	0.9997134670487106	27843.379828933346	0.25068795680999756	207.6321878116578	10.625770568847656	48
SEISMIC	n_postings=3500 summary_energy=0.4 query_cut=30 heap_factor=0.7	0.9742263610315186	0.9997134670487106	23861.298774768045	0.292523892596364	207.6321878116578	10.625770568847656	48
SINDI	doc_prune=0.7 query_prune=0.5 n_cand=10	0.5057879656	0.9705	13530.91	0.515856	50.4711	27.65	48
SINDI	doc_prune=0.7 query_prune=0.5 n_cand=20	0.6532951289	0.9851	13466.40	0.518327	50.4711	27.65	48
SINDI	doc_prune=0.7 query_prune=0.5 n_cand=50	0.7893123209	0.9956	13211.79	0.528316	50.4711	27.65	48
SINDI	doc_prune=0.7 query_prune=0.4 n_cand=50	0.7903151862	0.9956	11464.73	0.608824	50.4711	27.65	48
SINDI	doc_prune=0.7 query_prune=0.3 n_cand=50	0.7906160458	0.9954	10107.97	0.690544	50.4711	27.65	48
SINDI	doc_prune=0.6 query_prune=0.5 n_cand=50	0.8823065903	0.9996	9388.57	0.743457	52.8575	27.65	48
SINDI	doc_prune=0.6 query_prune=0.4 n_cand=50	0.8832521490	0.9996	8137.76	0.857730	52.8575	27.65	48
SINDI	doc_prune=0.6 query_prune=0.3 n_cand=50	0.8836676218	0.9996	7174.01	0.972956	52.8575	27.65	48
SINDI	doc_prune=0.5 query_prune=0.5 n_cand=50	0.9405873926	1.0000	6932.68	1.006825	54.9220	27.65	48
SINDI	doc_prune=0.5 query_prune=0.4 n_cand=50	0.9411031519	1.0000	6001.66	1.163011	54.9220	27.65	48
SINDI	doc_prune=0.5 query_prune=0.3 n_cand=50	0.9413467049	1.0000	5281.48	1.321600	54.9220	27.65	48
SINDI	doc_prune=0.4 query_prune=0.5 n_cand=50	0.9764756447	1.0000	5200.17	1.342265	57.9576	27.65	48
SINDI	doc_prune=0.4 query_prune=0.4 n_cand=50	0.9771776504	1.0000	4482.63	1.557122	57.9576	27.65	48
SINDI	doc_prune=0.4 query_prune=0.3 n_cand=50	0.9774641834	1.0000	3937.21	1.772827	57.9576	27.65	48
SINDI	doc_prune=0.3 query_prune=0.5 n_cand=50	0.9929512894	1.0000	3919.31	1.780927	62.2554	27.65	48
SINDI	doc_prune=0.3 query_prune=0.4 n_cand=50	0.9933524355	1.0000	3351.92	2.082391	62.2554	27.65	48
SINDI	doc_prune=0.3 query_prune=0.3 n_cand=50	0.9935386819	1.0000	2932.11	2.380535	62.2554	27.65	48
SINDI	doc_prune=0.2 query_prune=0.5 n_cand=50	0.9987535817	1.0000	2928.12	2.383782	65.7227	27.65	48
SINDI	doc_prune=0.2 query_prune=0.4 n_cand=50	0.9989684814	1.0000	2490.76	2.802358	65.7227	27.65	48
SINDI	doc_prune=0.2 query_prune=0.3 n_cand=50	0.9990830946	1.0000	2184.45	3.195312	65.7227	27.65	48
SINDI	doc_prune=0.1 query_prune=0.5 n_cand=50	0.9998424069	1.0000	2146.27	3.252153	72.1319	27.65	48
SINDI	doc_prune=0.1 query_prune=0.4 n_cand=50	0.9999570201	1.0000	1817.07	3.841357	72.1319	27.65	48
SINDI	doc_prune=0 query_prune=0 n_cand=20	0.9999713467	1.0000	775.41	9.001712	96.9456	27.65	48
SparseHNSW	M=32 efC=200 ef=20 alpha=0.8 beta=3	0.8593266476	0.9169	188924.38	0.036946	590.9249	11.12	48
SparseHNSW	M=32 efC=200 ef=50 alpha=0.8 beta=3	0.8993409742	0.9463	138037.42	0.050566	590.9249	11.12	48
SparseHNSW	M=32 efC=200 ef=100 alpha=0.8 beta=3	0.9334383954	0.9725	84589.66	0.082516	590.9249	11.12	48
SparseHNSW	M=32 efC=200 ef=200 alpha=0.8 beta=3	0.9553868195	0.9877	48674.02	0.143403	590.9249	11.12	48
SparseHNSW	M=32 efC=200 ef=400 alpha=0.8 beta=3	0.9672636103	0.9947	25474.92	0.273995	590.9249	11.12	48
SparseHNSW	M=32 efC=200 ef=800 alpha=0.8 beta=3	0.9750429799	0.9979	13404.36	0.520726	590.9249	11.13	48
SparseHNSW	M=32 efC=200 ef=1600 alpha=0.8 beta=3	0.9808022923	0.9993	6987.64	0.998907	590.9249	11.14	48
SparseHNSW	M=32 efC=200 ef=3200 alpha=0.8 beta=3	0.9844269341	1.0000	3610.33	1.933340	590.9249	11.16	48
kANNolo	m=32 efC=200 ef=10	0.7358022922636103	0.8367478510028653	173530.11868100846	0.04022356495261192	985.664073982276	16.93920135498047	48
kANNolo	m=32 efC=200 ef=20	0.8347707736389685	0.8970630372492837	136092.26243280023	0.05128873512148857	985.664073982276	16.93920135498047	48
kANNolo	m=32 efC=200 ef=50	0.9114183381088825	0.9502148997134671	82462.5579107543	0.08464447595179081	985.664073982276	16.93920135498047	48
kANNolo	m=32 efC=200 ef=100	0.9446131805157593	0.9744269340974212	50820.839880331165	0.13734523113816977	985.664073982276	16.93920135498047	48
kANNolo	m=32 efC=200 ef=200	0.9658309455587393	0.9901146131805157	27105.33419896213	0.2575138881802559	985.664073982276	16.93920135498047	48
kANNolo	m=32 efC=200 ef=400	0.9776790830945559	0.9964183381088825	13992.448262207596	0.4988405080512166	985.664073982276	16.93920135498047	48
kANNolo	m=32 efC=200 ef=800	0.9837392550143267	0.9991404011461318	6900.400791760885	1.0115354470908642	985.664073982276	16.93920135498047	48
kANNolo	m=32 efC=200 ef=1600	0.9881375358166189	0.9994269340974212	3321.5976148452014	2.1013984261080623	985.664073982276	16.93920135498047	48
kANNolo	m=32 efC=200 ef=3200	0.9912750716332378	0.9998567335243553	1553.3763733025373	4.493437726981938	985.664073982276	16.93920135498047	48
