Model	Params	Recall	RR@10	QPS	SearchSecMedian	IndexSec	PeakRSSGB	Threads
GrassRMA	M=16 efC=200 ef=10	0.582593123209169	0.7342406876790831	105932.27267396731	0.0658911569043994	1121.7895197980106	12.634689331054688	48
GrassRMA	M=16 efC=200 ef=20	0.7120916905444126	0.8272206303724928	75123.01675559916	0.0929142665117979	1121.7895197980106	12.634689331054688	48
GrassRMA	M=16 efC=200 ef=50	0.8273065902578797	0.9107449856733524	43391.421251173735	0.16086129005998373	1121.7895197980106	12.634689331054688	48
GrassRMA	M=16 efC=200 ef=100	0.8770200573065903	0.9475644699140401	26645.490584661537	0.2619580216705799	1121.7895197980106	12.634689331054688	48
GrassRMA	M=16 efC=200 ef=200	0.9141977077363896	0.9710601719197708	15129.968884466854	0.4613360445946455	1121.7895197980106	12.634689331054688	48
GrassRMA	M=16 efC=200 ef=400	0.9403868194842406	0.9878223495702005	8349.288610963704	0.8359993677586317	1121.7895197980106	12.634689331054688	48
GrassRMA	M=16 efC=200 ef=800	0.955487106017192	0.995702005730659	4472.835553608232	1.5605313265696168	1121.7895197980106	12.634689331054688	48
GrassRMA	M=16 efC=200 ef=1600	0.9661461318051576	0.9979942693409742	2347.6344998465497	2.9732055822387338	1121.7895197980106	12.634689331054688	48
GrassRMA	M=16 efC=200 ef=3200	0.9742120343839542	0.9994269340974212	1220.2848271386347	5.719976061955094	1121.7895197980106	12.634689331054688	48
PyANNS	ef=80 budget=0.8	0.08770773638968482	0.1492836676217765	129234.15220610828	0.054010490886867046	4761.7003370877355	28.130733489990234	48
PyANNS	ef=80 budget=0.5	0.6671489971346705	0.7765042979942693	40063.62531049008	0.17422287538647652	4761.7003370877355	28.130733489990234	48
PyANNS	ef=80 budget=0.3	0.8567621776504298	0.9108882521489972	36195.25959536224	0.19284293241798878	4761.7003370877355	28.130733489990234	48
PyANNS	ef=80 budget=0.2	0.8958309455587392	0.9418338108882521	35127.45223870523	0.1987049886956811	4761.7003370877355	28.130733489990234	48
PyANNS	ef=80 budget=0.15	0.9124928366762177	0.9555873925501432	34174.400702974955	0.2042464492842555	4761.7003370877355	28.130733489990234	48
PyANNS	ef=80 budget=0.1	0.9191404011461318	0.9608882521489971	33290.419123717176	0.2096699345856905	4761.7003370877355	28.130733489990234	48
PyANNS	ef=80 budget=0.07	0.9215472779369628	0.9641833810888252	31915.11190547079	0.21870517078787088	4761.7003370877355	28.130733489990234	48
PyANNS	ef=80 budget=0.05	0.9236532951289398	0.9664756446991404	30747.303791844824	0.22701177466660738	4761.7003370877355	28.130733489990234	48
PyANNS	ef=80 budget=0.03	0.9248710601719198	0.9670487106017192	29441.703604215763	0.23707867227494717	4761.7003370877355	28.130733489990234	48
SEISMIC	n_postings=3500 summary_energy=0.4 query_cut=3 heap_factor=0.9	0.8746848137535816	0.9935530085959885	91660.16804662299	0.07615085318684578	207.6321878116578	10.625770568847656	48
SEISMIC	n_postings=3500 summary_energy=0.4 query_cut=5 heap_factor=0.9	0.9040974212034384	0.9975644699140401	77575.22949800489	0.08997717499732971	207.6321878116578	10.625770568847656	48
