Model,Params,Threads,Recall,RR@10,IndexSec,LoadSec,ConvertSec,SearchSecMedian,SearchSecRuns,AmortizedUsPerQuery,QPS,LatencyUsSingleThread,PeakRSSGB,IndexBytes,NumQueries,K,ResultsOrdered,Host,JobID
GrassRMA,M=32 efC=200 ef=10,48,0.681862464183381,0.8194842406876791,1502.4899781048298,3.133874122053385,0.0,0.09025510400533676,0.090663;0.089804;0.090499;0.090255;0.090187,12.930530659790367,77336.34653600614,,12.638412475585938,0,6980,10,True,c100,19271336
GrassRMA,M=32 efC=200 ef=20,48,0.7884240687679083,0.882808022922636,1502.4899781048298,3.133874122053385,0.0,0.12465770076960325,0.124837;0.124671;0.124131;0.123991;0.124658,17.85926945123256,55993.33179504635,,12.638412475585938,0,6980,10,True,c100,19271336
GrassRMA,M=32 efC=200 ef=50,48,0.8758309455587393,0.9405444126074498,1502.4899781048298,3.133874122053385,0.0,0.21648632176220417,0.216153;0.216720;0.216486;0.216217;0.216852,31.015232344155322,32242.22178649728,,12.638412475585938,0,6980,10,True,c100,19271336
GrassRMA,M=32 efC=200 ef=100,48,0.9147134670487106,0.9660458452722063,1502.4899781048298,3.133874122053385,0.0,0.35973621625453234,0.359628;0.359758;0.359736;0.359329;0.359986,51.53813986454618,19403.106177836937,,12.638412475585938,0,6980,10,True,c100,19271336
GrassRMA,M=32 efC=200 ef=200,48,0.9421919770773639,0.9829512893982808,1502.4899781048298,3.133874122053385,0.0,0.6327900290489197,0.629136;0.630276;0.632790;0.634636;0.634633,90.65759728494551,11030.515146534319,,12.638412475585938,0,6980,10,True,c100,19271336
GrassRMA,M=32 efC=200 ef=400,48,0.9608882521489971,0.9934097421203438,1502.4899781048298,3.133874122053385,0.0,1.1598269362002611,1.153046;1.159827;1.159886;1.160214;1.159725,166.16431750720074,6018.139243142048,,12.638412475585938,0,6980,10,True,c100,19271336
GrassRMA,M=32 efC=200 ef=800,48,0.9715902578796561,0.9981375358166189,1502.4899781048298,3.133874122053385,0.0,2.1751457806676626,2.175325;2.175053;2.175146;2.175228;2.174920,311.62547000969374,3208.9803184858183,,12.638412475585938,0,6980,10,True,c100,19271336
GrassRMA,M=32 efC=200 ef=1600,48,0.9791260744985674,0.9992836676217765,1502.4899781048298,3.133874122053385,0.0,4.132742116227746,4.134032;4.132742;4.131191;4.138226;4.131354,592.0833977403647,1688.951258921317,,12.638412475585938,0,6980,10,True,c100,19271336
GrassRMA,M=32 efC=200 ef=3200,48,0.9846704871060172,0.9997134670487106,1502.4899781048298,3.133874122053385,0.0,7.88049369957298,7.881901;7.881786;7.880017;7.879440;7.880494,1129.0105586780776,885.7313089887026,,12.638412475585938,0,6980,10,True,c100,19271336
PyANNS,ef=80 budget=0.8,48,0.09732091690544413,0.1687679083094556,4766.74613651447,3.611250216141343,0.0,0.05572408437728882,0.055724;0.055802;0.055852;0.055530;0.055542,7.983393177262008,125260.02137138395,,28.12914276123047,1204813652,6980,10,True,c504,19311307
