Model,Params,Threads,Recall,RR@10,IndexSec,LoadSec,ConvertSec,SearchSecMedian,SearchSecRuns,AmortizedUsPerQuery,QPS,LatencyUsSingleThread,PeakRSSGB,IndexBytes,NumQueries,K,ResultsOrdered,Host,JobID
GrassRMA,M=32 efC=200 ef=10,64,0.6867621776504298,0.8256446991404012,929.0218729590415,4.334387480979785,0.0,0.06118673796299845,0.060712;0.061349;0.061290;0.060103;0.061187,8.766008304154505,114077.00806375765,,12.637287139892578,0,6980,10,True,nid005171,57783562
GrassRMA,M=32 efC=400 ef=10,64,0.7345128939828081,0.8693409742120344,2079.667238048991,4.227830376010388,0.0,0.07284508099837694,0.073864;0.072570;0.072391;0.073335;0.072845,10.436258022690108,95819.7850058746,,12.59255599975586,0,6980,10,True,nid006513,57921981
GrassRMA,M=32 efC=800 ef=10,64,0.7641404011461318,0.893839541547278,4267.157965791994,4.848774956990383,0.0,0.0790566710056737,0.079820;0.078628;0.079145;0.079057;0.078162,11.326170631185345,88291.09436569954,,12.612464904785156,0,6980,10,True,nid006647,57921982
GrassRMA,M=32 efC=1600 ef=10,64,0.7762893982808023,0.9061604584527221,8279.140936284995,4.096376411995152,0.0,0.0837508459953824,0.084371;0.084301;0.083751;0.082895;0.082857,11.998688538020401,83342.44170363176,,12.606136322021484,0,6980,10,True,nid006596,57921983
GrassRMA,M=32 efC=200 ef=20,64,0.7923925501432665,0.8878223495702006,929.0218729590415,4.334387480979785,0.0,0.08540726196952164,0.085133;0.085407;0.084512;0.085550;0.085520,12.235997416836913,81726.07151943211,,12.652320861816406,0,6980,10,True,nid005171,57783562
GrassRMA,M=32 efC=400 ef=20,64,0.8393982808022923,0.9212034383954155,2079.667238048991,4.227830376010388,0.0,0.10363572499773,0.104089;0.102531;0.103636;0.103839;0.103108,14.847525071308022,67351.29223202605,,12.640907287597656,0,6980,10,True,nid006513,57921981
GrassRMA,M=32 efC=800 ef=20,64,0.8659025787965616,0.939971346704871,4267.157965791994,4.848774956990383,0.0,0.11362523899879307,0.113391;0.113625;0.113758;0.112612;0.113787,16.278687535643705,61430.01380242766,,12.65658950805664,0,6980,10,True,nid006647,57921982
GrassRMA,M=32 efC=1600 ef=20,64,0.8764899713467049,0.9474212034383954,8279.140936284995,4.096376411995152,0.0,0.12141347299620975,0.121271;0.121478;0.121413;0.120489;0.121509,17.39448037194982,57489.5011875486,,12.654964447021484,0,6980,10,True,nid006596,57921983
GrassRMA,M=32 efC=200 ef=50,64,0.8788825214899714,0.9435530085959886,929.0218729590415,4.334387480979785,0.0,0.14872490096604452,0.148821;0.148725;0.148029;0.147881;0.149063,21.30729240201211,46932.28877384567,,12.680191040039062,0,6980,10,True,nid005171,57783562
GrassRMA,M=32 efC=400 ef=50,64,0.918323782234957,0.966189111747851,2079.667238048991,4.227830376010388,0.0,0.18541087899939157,0.185411;0.185115;0.185739;0.185702;0.184675,26.563163180428592,37646.118920685905,,12.66793441772461,0,6980,10,True,nid006513,57921981
GrassRMA,M=32 efC=200 ef=100,64,0.9184527220630373,0.9702005730659026,929.0218729590415,4.334387480979785,0.0,0.24464989197440445,0.243838;0.245140;0.244772;0.243603;0.244650,35.050127790029286,28530.566450159135,,12.708061218261719,0,6980,10,True,nid005171,57783562
