Model,Params,Threads,Recall,RR@10,IndexSec,LoadSec,ConvertSec,SearchSecMedian,SearchSecRuns,AmortizedUsPerQuery,QPS,LatencyUsSingleThread,PeakRSSGB,IndexBytes,NumQueries,K,ResultsOrdered,Host,JobID
SparseHNSW_a0.85_b4_p0,"M=32 efC=200 ef=800 alpha=0.85 beta=4 q=u8 seedT=8 seedH=8 seedS=4",64,0.9842120344,0.9991,414.5083,8.6717,0.0000,0.377782,"0.379366;0.377782;0.377453",54.123496,18476.26,,12.76,0,6980,10,True,nid004377,57367321
SparseHNSW_a0.85_b4_p0,"M=32 efC=200 ef=1600 alpha=0.85 beta=4 q=u8 seedT=8 seedH=8 seedS=4",64,0.9880229226,1.0000,414.5083,8.6717,0.0000,0.735497,"0.735497;0.738016;0.730857",105.372063,9490.18,,12.76,0,6980,10,True,nid004377,57367321
SparseHNSW_a0.85_b4_p0,"M=32 efC=200 ef=3200 alpha=0.85 beta=4 q=u8 seedT=8 seedH=8 seedS=4",64,0.9908595989,1.0000,414.5083,8.6717,0.0000,1.458502,"1.455166;1.459046;1.458502",208.954441,4785.73,,12.80,0,6980,10,True,nid004377,57367321
SparseHNSW_a0.85_b6_p0,"M=32 efC=200 ef=800 alpha=0.85 beta=6 q=u8 seedT=8 seedH=8 seedS=4",64,0.9843839542,0.9991,414.5083,8.6717,0.0000,0.378406,"0.378160;0.378406;0.381507",54.212894,18445.80,,12.80,0,6980,10,True,nid004377,57367321
SparseHNSW_a0.85_b6_p0,"M=32 efC=200 ef=1600 alpha=0.85 beta=6 q=u8 seedT=8 seedH=8 seedS=4",64,0.9882091691,1.0000,414.5083,8.6717,0.0000,0.736814,"0.737542;0.736534;0.736814",105.560745,9473.22,,12.80,0,6980,10,True,nid004377,57367321
SparseHNSW_a0.85_b6_p0,"M=32 efC=200 ef=3200 alpha=0.85 beta=6 q=u8 seedT=8 seedH=8 seedS=4",64,0.9910458453,1.0000,414.5083,8.6717,0.0000,1.456325,"1.451789;1.457204;1.456325",208.642550,4792.89,,12.80,0,6980,10,True,nid004377,57367321
SparseHNSW_a0.85_b8_p0,"M=32 efC=200 ef=800 alpha=0.85 beta=8 q=u8 seedT=8 seedH=8 seedS=4",64,0.9844555874,0.9991,414.5083,8.6717,0.0000,0.378231,"0.378231;0.378516;0.378172",54.187822,18454.33,,12.80,0,6980,10,True,nid004377,57367321
SparseHNSW_a0.85_b8_p0,"M=32 efC=200 ef=1600 alpha=0.85 beta=8 q=u8 seedT=8 seedH=8 seedS=4",64,0.9882951289,1.0000,414.5083,8.6717,0.0000,0.736953,"0.736953;0.735408;0.743799",105.580659,9471.43,,12.80,0,6980,10,True,nid004377,57367321
SparseHNSW_a0.85_b8_p0,"M=32 efC=200 ef=3200 alpha=0.85 beta=8 q=u8 seedT=8 seedH=8 seedS=4",64,0.9911174785,1.0000,414.5083,8.6717,0.0000,1.460839,"1.463099;1.457291;1.460839",209.289255,4778.08,,12.80,0,6980,10,True,nid004377,57367321
SparseHNSW_a0.85_b4_p256,"M=32 efC=200 ef=800 alpha=0.85 beta=4 q=u8 seedT=8 seedH=8 seedS=4 pat=256",64,0.9808022923,0.9987,414.5083,8.6717,0.0000,0.195417,"0.195594;0.194567;0.195417",27.996705,35718.49,,12.80,0,6980,10,True,nid004377,57367321
