Model,Params,Threads,Recall,RR@10,IndexSec,LoadSec,ConvertSec,SearchSecMedian,SearchSecRuns,AmortizedUsPerQuery,QPS,LatencyUsSingleThread,PeakRSSGB,IndexBytes,NumQueries,K,ResultsOrdered,Host,JobID
SparseHNSW_a0.8_b1,"M=32 efC=200 ef=10 alpha=0.8 beta=1",64,0.6785530086,0.5248,370.6467,8.5207,0.0000,0.016242,"0.014209;0.016135;0.016544;0.016378;0.016242",2.326934,429750.03,,11.12,0,6980,10,True,nid006633,56908032
SparseHNSW_a0.8_b1,"M=32 efC=200 ef=20 alpha=0.8 beta=1",64,0.7596704871,0.6106,370.6467,8.5207,0.0000,0.025017,"0.025385;0.025180;0.025017;0.024968;0.024986",3.584097,279010.27,,11.12,0,6980,10,True,nid006633,56908032
SparseHNSW_a0.8_b1,"M=32 efC=200 ef=50 alpha=0.8 beta=1",64,0.8243839542,0.6730,370.6467,8.5207,0.0000,0.047483,"0.047490;0.047483;0.047341;0.047480;0.047556",6.802722,146999.98,,11.12,0,6980,10,True,nid006633,56908032
SparseHNSW_a0.8_b1,"M=32 efC=200 ef=100 alpha=0.8 beta=1",64,0.8521633238,0.6987,370.6467,8.5207,0.0000,0.079528,"0.078859;0.080441;0.080875;0.078937;0.079528",11.393696,87767.83,,11.12,0,6980,10,True,nid006633,56908032
SparseHNSW_a0.8_b1,"M=32 efC=200 ef=200 alpha=0.8 beta=1",64,0.8685100287,0.7148,370.6467,8.5207,0.0000,0.131529,"0.131529;0.129835;0.130968;0.132684;0.132413",18.843696,53068.14,,11.12,0,6980,10,True,nid006633,56908032
SparseHNSW_a0.8_b1,"M=32 efC=200 ef=400 alpha=0.8 beta=1",64,0.8783094556,0.7244,370.6467,8.5207,0.0000,0.220170,"0.220855;0.218815;0.221702;0.220170;0.220056",31.542980,31702.78,,11.12,0,6980,10,True,nid006633,56908032
SparseHNSW_a0.8_b1,"M=32 efC=200 ef=800 alpha=0.8 beta=1",64,0.8829799427,0.7300,370.6467,8.5207,0.0000,0.402701,"0.402654;0.402701;0.404526;0.406395;0.400256",57.693553,17332.96,,11.12,0,6980,10,True,nid006633,56908032
SparseHNSW_a0.8_b1,"M=32 efC=200 ef=1600 alpha=0.8 beta=1",64,0.8871633238,0.7341,370.6467,8.5207,0.0000,0.808017,"0.808017;0.811058;0.811619;0.806708;0.806972",115.761748,8638.43,,11.12,0,6980,10,True,nid006633,56908032
SparseHNSW_a0.8_b1,"M=32 efC=200 ef=3200 alpha=0.8 beta=1",64,0.8897994269,0.7376,370.6467,8.5207,0.0000,1.621767,"1.620747;1.621767;1.619909;1.621924;1.624731",232.344842,4303.95,,11.14,0,6980,10,True,nid006633,56908032
SparseHNSW_a0.8_b2,"M=32 efC=200 ef=10 alpha=0.8 beta=2",64,0.8238252149,0.8933,370.4675,2.7568,0.0000,0.026147,"0.024137;0.026688;0.026206;0.026147;0.025945",3.745989,266952.23,,11.12,0,6980,10,True,nid006633,56908032
SparseHNSW_a0.8_b2,"M=32 efC=200 ef=20 alpha=0.8 beta=2",64,0.8238252149,0.8933,370.4675,2.7568,0.0000,0.025587,"0.025607;0.025587;0.025628;0.025450;0.025474",3.665759,272794.78,,11.12,0,6980,10,True,nid006633,56908032
SparseHNSW_a0.8_b2,"M=32 efC=200 ef=50 alpha=0.8 beta=2",64,0.9016189112,0.9503,370.4675,2.7568,0.0000,0.048249,"0.048249;0.048481;0.048458;0.047874;0.048118",6.912464,144666.21,,11.12,0,6980,10,True,nid006633,56908032
SparseHNSW_a0.8_b2,"M=32 efC=200 ef=100 alpha=0.8 beta=2",64,0.9344555874,0.9751,370.4675,2.7568,0.0000,0.080979,"0.080275;0.080979;0.080759;0.081116;0.081076",11.601576,86195.19,,11.12,0,6980,10,True,nid006633,56908032
SparseHNSW_a0.8_b2,"M=32 efC=200 ef=200 alpha=0.8 beta=2",64,0.9535243553,0.9891,370.4675,2.7568,0.0000,0.137645,"0.138129;0.136309;0.137645;0.138379;0.136612",19.719914,50710.16,,11.12,0,6980,10,True,nid006633,56908032
SparseHNSW_a0.8_b2,"M=32 efC=200 ef=400 alpha=0.8 beta=2",64,0.9648710602,0.9963,370.4675,2.7568,0.0000,0.228839,"0.228872;0.228839;0.229580;0.227802;0.226220",32.784957,30501.79,,11.12,0,6980,10,True,nid006633,56908032
SparseHNSW_a0.8_b2,"M=32 efC=200 ef=800 alpha=0.8 beta=2",64,0.9705587393,0.9980,370.4675,2.7568,0.0000,0.412068,"0.413220;0.410360;0.416501;0.411959;0.412068",59.035530,16938.95,,11.12,0,6980,10,True,nid006633,56908032
SparseHNSW_a0.8_b2,"M=32 efC=200 ef=1600 alpha=0.8 beta=2",64,0.9754441261,0.9993,370.4675,2.7568,0.0000,0.823765,"0.825668;0.823765;0.823886;0.820617;0.821118",118.017908,8473.29,,11.12,0,6980,10,True,nid006633,56908032
