Model,Params,Threads,Recall,RR@10,IndexSec,LoadSec,ConvertSec,SearchSecMedian,SearchSecRuns,AmortizedUsPerQuery,QPS,LatencyUsSingleThread,PeakRSSGB,IndexBytes,NumQueries,K,ResultsOrdered,Host,JobID
SparseHNSW_a0.6_b1,"M=32 efC=200 ef=10 alpha=0.6 beta=1",64,0.5777793696,0.4752,246.7025,8.5291,0.0000,0.013562,"0.013562;0.013891;0.013624;0.013501;0.013398",1.942980,514673.35,,11.10,0,6980,10,True,nid006802,56908027
SparseHNSW_a0.6_b1,"M=32 efC=200 ef=20 alpha=0.6 beta=1",64,0.6454011461,0.5383,246.7025,8.5291,0.0000,0.021251,"0.021464;0.021371;0.021171;0.021251;0.021107",3.044556,328455.13,,11.10,0,6980,10,True,nid006802,56908027
SparseHNSW_a0.6_b1,"M=32 efC=200 ef=50 alpha=0.6 beta=1",64,0.7055730659,0.5894,246.7025,8.5291,0.0000,0.041028,"0.040810;0.040891;0.041072;0.041119;0.041028",5.877937,170127.72,,11.10,0,6980,10,True,nid006802,56908027
SparseHNSW_a0.6_b1,"M=32 efC=200 ef=100 alpha=0.6 beta=1",64,0.7302865330,0.6082,246.7025,8.5291,0.0000,0.068793,"0.068793;0.069213;0.068608;0.068885;0.068702",9.855731,101463.81,,11.10,0,6980,10,True,nid006802,56908027
SparseHNSW_a0.6_b1,"M=32 efC=200 ef=200 alpha=0.6 beta=1",64,0.7443553009,0.6199,246.7025,8.5291,0.0000,0.119448,"0.119448;0.119255;0.120204;0.119787;0.119369",17.112894,58435.47,,11.10,0,6980,10,True,nid006802,56908027
SparseHNSW_a0.6_b1,"M=32 efC=200 ef=400 alpha=0.6 beta=1",64,0.7512750716,0.6261,246.7025,8.5291,0.0000,0.212779,"0.212447;0.213423;0.212779;0.213897;0.212129",30.484097,32803.99,,11.10,0,6980,10,True,nid006802,56908027
SparseHNSW_a0.6_b1,"M=32 efC=200 ef=800 alpha=0.6 beta=1",64,0.7559598854,0.6301,246.7025,8.5291,0.0000,0.393649,"0.392715;0.393649;0.394366;0.394675;0.392862",56.396705,17731.53,,11.10,0,6980,10,True,nid006802,56908027
SparseHNSW_a0.6_b1,"M=32 efC=200 ef=1600 alpha=0.6 beta=1",64,0.7589398281,0.6329,246.7025,8.5291,0.0000,0.763649,"0.763406;0.764264;0.765104;0.763649;0.763566",109.405301,9140.32,,11.10,0,6980,10,True,nid006802,56908027
SparseHNSW_a0.6_b1,"M=32 efC=200 ef=3200 alpha=0.6 beta=1",64,0.7613323782,0.6359,246.7025,8.5291,0.0000,1.509406,"1.510273;1.506801;1.509406;1.511064;1.505416",216.247278,4624.34,,11.16,0,6980,10,True,nid006802,56908027
SparseHNSW_a0.6_b2,"M=32 efC=200 ef=10 alpha=0.6 beta=2",64,0.7590687679,0.8770,246.9853,2.7347,0.0000,0.022259,"0.022203;0.022726;0.022443;0.022259;0.022240",3.188968,313581.02,,11.09,0,6980,10,True,nid006802,56908027
SparseHNSW_a0.6_b2,"M=32 efC=200 ef=20 alpha=0.6 beta=2",64,0.7590687679,0.8770,246.9853,2.7347,0.0000,0.021998,"0.022051;0.021998;0.022006;0.021941;0.021889",3.151576,317301.57,,11.09,0,6980,10,True,nid006802,56908027
SparseHNSW_a0.6_b2,"M=32 efC=200 ef=50 alpha=0.6 beta=2",64,0.8343123209,0.9445,246.9853,2.7347,0.0000,0.041912,"0.041853;0.041925;0.041835;0.041912;0.041922",6.004585,166539.42,,11.09,0,6980,10,True,nid006802,56908027
SparseHNSW_a0.6_b2,"M=32 efC=200 ef=100 alpha=0.6 beta=2",64,0.8658022923,0.9737,246.9853,2.7347,0.0000,0.070237,"0.070237;0.070151;0.070150;0.070497;0.070486",10.062607,99377.82,,11.09,0,6980,10,True,nid006802,56908027
SparseHNSW_a0.6_b2,"M=32 efC=200 ef=200 alpha=0.6 beta=2",64,0.8842263610,0.9890,246.9853,2.7347,0.0000,0.121692,"0.121252;0.121692;0.121366;0.121865;0.121780",17.434384,57357.92,,11.09,0,6980,10,True,nid006802,56908027
SparseHNSW_a0.6_b2,"M=32 efC=200 ef=400 alpha=0.6 beta=2",64,0.8939255014,0.9954,246.9853,2.7347,0.0000,0.216642,"0.217189;0.216008;0.216202;0.216642;0.217109",31.037536,32219.05,,11.09,0,6980,10,True,nid006802,56908027
SparseHNSW_a0.6_b2,"M=32 efC=200 ef=800 alpha=0.6 beta=2",64,0.8991547278,0.9980,246.9853,2.7347,0.0000,0.400641,"0.400649;0.401305;0.400215;0.400641;0.399371",57.398424,17422.08,,11.09,0,6980,10,True,nid006802,56908027
SparseHNSW_a0.6_b2,"M=32 efC=200 ef=1600 alpha=0.6 beta=2",64,0.9028510029,0.9990,246.9853,2.7347,0.0000,0.772071,"0.772071;0.772897;0.770079;0.773382;0.771653",110.611891,9040.62,,11.09,0,6980,10,True,nid006802,56908027
SparseHNSW_a0.6_b2,"M=32 efC=200 ef=3200 alpha=0.6 beta=2",64,0.9059455587,0.9999,246.9853,2.7347,0.0000,1.519335,"1.517429;1.518887;1.521244;1.519335;1.519748",217.669771,4594.12,,11.16,0,6980,10,True,nid006802,56908027
SparseHNSW_a0.6_b3,"M=32 efC=200 ef=10 alpha=0.6 beta=3",64,0.8278796562,0.9128,246.8633,2.1930,0.0000,0.029580,"0.029564;0.030084;0.029644;0.029545;0.029580",4.237822,235970.25,,11.12,0,6980,10,True,nid006802,56908027
SparseHNSW_a0.6_b3,"M=32 efC=200 ef=20 alpha=0.6 beta=3",64,0.8278796562,0.9128,246.8633,2.1930,0.0000,0.029296,"0.029327;0.029364;0.029296;0.029227;0.029292",4.197135,238257.78,,11.12,0,6980,10,True,nid006802,56908027
SparseHNSW_a0.6_b3,"M=32 efC=200 ef=50 alpha=0.6 beta=3",64,0.8676647564,0.9462,246.8633,2.1930,0.0000,0.042062,"0.041972;0.042062;0.041775;0.042140;0.042080",6.026074,165945.51,,11.12,0,6980,10,True,nid006802,56908027
SparseHNSW_a0.6_b3,"M=32 efC=200 ef=100 alpha=0.6 beta=3",64,0.9001002865,0.9740,246.8633,2.1930,0.0000,0.070430,"0.070233;0.070430;0.070453;0.070155;0.070499",10.090258,99105.49,,11.12,0,6980,10,True,nid006802,56908027
SparseHNSW_a0.6_b3,"M=32 efC=200 ef=200 alpha=0.6 beta=3",64,0.9195272206,0.9891,246.8633,2.1930,0.0000,0.122185,"0.122185;0.122284;0.121709;0.122306;0.121410",17.505014,57126.49,,11.12,0,6980,10,True,nid006802,56908027
SparseHNSW_a0.6_b3,"M=32 efC=200 ef=400 alpha=0.6 beta=3",64,0.9286676218,0.9944,246.8633,2.1930,0.0000,0.216816,"0.216816;0.217384;0.216744;0.216935;0.216626",31.062464,32193.20,,11.12,0,6980,10,True,nid006802,56908027
SparseHNSW_a0.6_b3,"M=32 efC=200 ef=800 alpha=0.6 beta=3",64,0.9345128940,0.9977,246.8633,2.1930,0.0000,0.400504,"0.401775;0.399911;0.400504;0.402264;0.399971",57.378797,17428.04,,11.12,0,6980,10,True,nid006802,56908027
SparseHNSW_a0.6_b3,"M=32 efC=200 ef=1600 alpha=0.6 beta=3",64,0.9389255014,0.9990,246.8633,2.1930,0.0000,0.775392,"0.775313;0.773175;0.775532;0.775392;0.776226",111.087679,9001.90,,11.12,0,6980,10,True,nid006802,56908027
SparseHNSW_a0.6_b3,"M=32 efC=200 ef=3200 alpha=0.6 beta=3",64,0.9426074499,0.9999,246.8633,2.1930,0.0000,1.523067,"1.521701;1.521832;1.523376;1.523701;1.523067",218.204441,4582.86,,11.14,0,6980,10,True,nid006802,56908027
SparseHNSW_a0.6_b4,"M=32 efC=200 ef=10 alpha=0.6 beta=4",64,0.8641404011,0.9319,246.9734,2.2233,0.0000,0.036279,"0.036096;0.036279;0.036519;0.036468;0.036097",5.197564,192397.81,,11.10,0,6980,10,True,nid006802,56908027
SparseHNSW_a0.6_b4,"M=32 efC=200 ef=20 alpha=0.6 beta=4",64,0.8641404011,0.9319,246.9734,2.2233,0.0000,0.036158,"0.036158;0.036015;0.036308;0.035958;0.036225",5.180229,193041.65,,11.10,0,6980,10,True,nid006802,56908027
SparseHNSW_a0.6_b4,"M=32 efC=200 ef=50 alpha=0.6 beta=4",64,0.8821919771,0.9466,246.9734,2.2233,0.0000,0.042533,"0.042030;0.042533;0.042595;0.042375;0.042543",6.093553,164107.87,,11.10,0,6980,10,True,nid006802,56908027
SparseHNSW_a0.6_b4,"M=32 efC=200 ef=100 alpha=0.6 beta=4",64,0.9148853868,0.9741,246.9734,2.2233,0.0000,0.070606,"0.070570;0.070897;0.070426;0.070620;0.070606",10.115473,98858.45,,11.10,0,6980,10,True,nid006802,56908027
SparseHNSW_a0.6_b4,"M=32 efC=200 ef=200 alpha=0.6 beta=4",64,0.9346275072,0.9890,246.9734,2.2233,0.0000,0.121336,"0.121524;0.121244;0.121309;0.121336;0.121761",17.383381,57526.21,,11.10,0,6980,10,True,nid006802,56908027
SparseHNSW_a0.6_b4,"M=32 efC=200 ef=400 alpha=0.6 beta=4",64,0.9449856734,0.9950,246.9734,2.2233,0.0000,0.215277,"0.215277;0.215713;0.215084;0.215179;0.215824",30.841977,32423.34,,11.10,0,6980,10,True,nid006802,56908027
SparseHNSW_a0.6_b4,"M=32 efC=200 ef=800 alpha=0.6 beta=4",64,0.9508309456,0.9979,246.9734,2.2233,0.0000,0.398571,"0.398539;0.398571;0.398444;0.399772;0.398733",57.101862,17512.56,,11.10,0,6980,10,True,nid006802,56908027
SparseHNSW_a0.6_b4,"M=32 efC=200 ef=1600 alpha=0.6 beta=4",64,0.9554727794,0.9991,246.9734,2.2233,0.0000,0.771049,"0.773019;0.771420;0.769805;0.771049;0.770144",110.465473,9052.60,,11.10,0,6980,10,True,nid006802,56908027
SparseHNSW_a0.6_b4,"M=32 efC=200 ef=3200 alpha=0.6 beta=4",64,0.9594412607,1.0000,246.9734,2.2233,0.0000,1.517010,"1.519274;1.517010;1.515485;1.520168;1.514983",217.336676,4601.16,,11.18,0,6980,10,True,nid006802,56908027
SparseHNSW_a0.6_b5,"M=32 efC=200 ef=10 alpha=0.6 beta=5",64,0.8886103152,0.9465,246.9659,2.1882,0.0000,0.042658,"0.042323;0.042633;0.042879;0.042658;0.042753",6.111461,163626.99,,11.10,0,6980,10,True,nid006802,56908027
SparseHNSW_a0.6_b5,"M=32 efC=200 ef=20 alpha=0.6 beta=5",64,0.8886103152,0.9465,246.9659,2.1882,0.0000,0.042584,"0.042646;0.042584;0.042716;0.042569;0.042555",6.100860,163911.33,,11.10,0,6980,10,True,nid006802,56908027
SparseHNSW_a0.6_b5,"M=32 efC=200 ef=50 alpha=0.6 beta=5",64,0.8886103152,0.9465,246.9659,2.1882,0.0000,0.042619,"0.042636;0.042554;0.042751;0.042619;0.042435",6.105874,163776.72,,11.10,0,6980,10,True,nid006802,56908027
SparseHNSW_a0.6_b5,"M=32 efC=200 ef=100 alpha=0.6 beta=5",64,0.9216762178,0.9734,246.9659,2.1882,0.0000,0.070703,"0.070703;0.070769;0.070445;0.070855;0.070632",10.129370,98722.83,,11.10,0,6980,10,True,nid006802,56908027
SparseHNSW_a0.6_b5,"M=32 efC=200 ef=200 alpha=0.6 beta=5",64,0.9424641834,0.9883,246.9659,2.1882,0.0000,0.121573,"0.121769;0.121791;0.121573;0.121537;0.121457",17.417335,57414.06,,11.10,0,6980,10,True,nid006802,56908027
SparseHNSW_a0.6_b5,"M=32 efC=200 ef=400 alpha=0.6 beta=5",64,0.9535959885,0.9951,246.9659,2.1882,0.0000,0.216089,"0.215480;0.217135;0.216693;0.216089;0.215999",30.958309,32301.51,,11.10,0,6980,10,True,nid006802,56908027
SparseHNSW_a0.6_b5,"M=32 efC=200 ef=800 alpha=0.6 beta=5",64,0.9594269341,0.9979,246.9659,2.1882,0.0000,0.399682,"0.398647;0.399933;0.400836;0.399682;0.399543",57.261032,17463.88,,11.10,0,6980,10,True,nid006802,56908027
SparseHNSW_a0.6_b5,"M=32 efC=200 ef=1600 alpha=0.6 beta=5",64,0.9637249284,0.9991,246.9659,2.1882,0.0000,0.773364,"0.771066;0.774268;0.773364;0.772533;0.773672",110.797135,9025.50,,11.10,0,6980,10,True,nid006802,56908027
SparseHNSW_a0.6_b5,"M=32 efC=200 ef=3200 alpha=0.6 beta=5",64,0.9674641834,0.9999,246.9659,2.1882,0.0000,1.519946,"1.519661;1.519946;1.520430;1.516949;1.519951",217.757307,4592.27,,11.17,0,6980,10,True,nid006802,56908027
SparseHNSW_a0.6_b6,"M=32 efC=200 ef=10 alpha=0.6 beta=6",64,0.9034097421,0.9549,246.6522,2.2036,0.0000,0.049089,"0.049089;0.048925;0.049112;0.049334;0.048873",7.032808,142190.71,,11.12,0,6980,10,True,nid006802,56908027
SparseHNSW_a0.6_b6,"M=32 efC=200 ef=20 alpha=0.6 beta=6",64,0.9034097421,0.9549,246.6522,2.2036,0.0000,0.049046,"0.049046;0.049220;0.049161;0.048904;0.048893",7.026648,142315.38,,11.12,0,6980,10,True,nid006802,56908027
SparseHNSW_a0.6_b6,"M=32 efC=200 ef=50 alpha=0.6 beta=6",64,0.9034097421,0.9549,246.6522,2.2036,0.0000,0.049171,"0.049175;0.049015;0.049171;0.049171;0.049455",7.044556,141953.59,,11.12,0,6980,10,True,nid006802,56908027
SparseHNSW_a0.6_b6,"M=32 efC=200 ef=100 alpha=0.6 beta=6",64,0.9272349570,0.9739,246.6522,2.2036,0.0000,0.071418,"0.071421;0.071815;0.071358;0.071418;0.071167",10.231805,97734.46,,11.12,0,6980,10,True,nid006802,56908027
SparseHNSW_a0.6_b6,"M=32 efC=200 ef=200 alpha=0.6 beta=6",64,0.9476074499,0.9890,246.6522,2.2036,0.0000,0.122210,"0.122450;0.122210;0.122028;0.122072;0.122910",17.508596,57114.80,,11.12,0,6980,10,True,nid006802,56908027
SparseHNSW_a0.6_b6,"M=32 efC=200 ef=400 alpha=0.6 beta=6",64,0.9590544413,0.9956,246.6522,2.2036,0.0000,0.218240,"0.218002;0.218240;0.218759;0.217855;0.218498",31.266476,31983.14,,11.12,0,6980,10,True,nid006802,56908027
SparseHNSW_a0.6_b6,"M=32 efC=200 ef=800 alpha=0.6 beta=6",64,0.9649570201,0.9983,246.6522,2.2036,0.0000,0.400956,"0.400925;0.402443;0.400956;0.400119;0.401709",57.443553,17408.39,,11.12,0,6980,10,True,nid006802,56908027
