Model,Params,Threads,Recall,RR@10,IndexSec,LoadSec,ConvertSec,SearchSecMedian,SearchSecRuns,AmortizedUsPerQuery,QPS,LatencyUsSingleThread,PeakRSSGB,IndexBytes,NumQueries,K,ResultsOrdered,Host,JobID
SparseHNSW_a0.6_b1,"M=32 efC=200 ef=10 alpha=0.6 beta=1 q=u8",64,0.5784813754,0.4747,253.8919,8.6731,0.0000,0.013914,"0.014489;0.014175;0.013900;0.013914;0.013786",1.993410,501653.01,,11.98,0,6980,10,True,nid004438,56980328
SparseHNSW_a0.6_b1,"M=32 efC=200 ef=20 alpha=0.6 beta=1 q=u8",64,0.6444412607,0.5382,253.8919,8.6731,0.0000,0.021753,"0.022076;0.021930;0.021753;0.021737;0.021743",3.116476,320875.28,,11.98,0,6980,10,True,nid004438,56980328
SparseHNSW_a0.6_b1,"M=32 efC=200 ef=25 alpha=0.6 beta=1 q=u8",64,0.6607020057,0.5540,253.8919,8.6731,0.0000,0.025253,"0.025397;0.025253;0.025272;0.025209;0.025188",3.617908,276402.80,,11.98,0,6980,10,True,nid004438,56980328
SparseHNSW_a0.6_b1,"M=32 efC=200 ef=30 alpha=0.6 beta=1 q=u8",64,0.6728080229,0.5632,253.8919,8.6731,0.0000,0.028870,"0.028975;0.028794;0.028875;0.028815;0.028870",4.136103,241773.47,,11.98,0,6980,10,True,nid004438,56980328
SparseHNSW_a0.6_b1,"M=32 efC=200 ef=35 alpha=0.6 beta=1 q=u8",64,0.6827363897,0.5714,253.8919,8.6731,0.0000,0.032247,"0.032288;0.032247;0.032262;0.032185;0.032229",4.619914,216454.24,,11.98,0,6980,10,True,nid004438,56980328
SparseHNSW_a0.6_b1,"M=32 efC=200 ef=40 alpha=0.6 beta=1 q=u8",64,0.6903008596,0.5777,253.8919,8.6731,0.0000,0.035649,"0.035755;0.035649;0.035604;0.035592;0.035662",5.107307,195797.92,,11.98,0,6980,10,True,nid004438,56980328
SparseHNSW_a0.6_b1,"M=32 efC=200 ef=50 alpha=0.6 beta=1 q=u8",64,0.7040257880,0.5894,253.8919,8.6731,0.0000,0.042257,"0.042225;0.042323;0.042257;0.042353;0.042189",6.054011,165179.73,,11.98,0,6980,10,True,nid004438,56980328
SparseHNSW_a0.6_b1,"M=32 efC=200 ef=60 alpha=0.6 beta=1 q=u8",64,0.7121346705,0.5945,253.8919,8.6731,0.0000,0.048483,"0.048483;0.048430;0.048523;0.048614;0.048481",6.945989,143967.99,,11.98,0,6980,10,True,nid004438,56980328
SparseHNSW_a0.6_b1,"M=32 efC=200 ef=75 alpha=0.6 beta=1 q=u8",64,0.7193696275,0.6004,253.8919,8.6731,0.0000,0.057563,"0.057377;0.057613;0.057563;0.057510;0.057576",8.246848,121258.45,,11.98,0,6980,10,True,nid004438,56980328
SparseHNSW_a0.6_b1,"M=32 efC=200 ef=100 alpha=0.6 beta=1 q=u8",64,0.7299713467,0.6090,253.8919,8.6731,0.0000,0.071701,"0.071660;0.071651;0.071856;0.071783;0.071701",10.272350,97348.71,,11.98,0,6980,10,True,nid004438,56980328
