Model,Params,Threads,Recall,RR@10,IndexSec,LoadSec,ConvertSec,SearchSecMedian,SearchSecRuns,AmortizedUsPerQuery,QPS,LatencyUsSingleThread,PeakRSSGB,IndexBytes,NumQueries,K,ResultsOrdered,Host,JobID
SparseHNSW_a0.6_b1_p0,"M=32 efC=200 ef=10 alpha=0.6 beta=1 q=u8 seedT=8 seedH=8 seedS=4",64,0.7189541547,0.5998,249.4298,8.5825,0.0000,0.028456,"0.028629;0.028456;0.028249",4.076791,245290.98,,11.99,0,6980,10,True,nid006971,57248608
SparseHNSW_a0.6_b1_p0,"M=32 efC=200 ef=20 alpha=0.6 beta=1 q=u8 seedT=8 seedH=8 seedS=4",64,0.7189541547,0.5998,249.4298,8.5825,0.0000,0.028035,"0.028035;0.028044;0.027935",4.016476,248974.50,,11.99,0,6980,10,True,nid006971,57248608
SparseHNSW_a0.6_b1_p0,"M=32 efC=200 ef=50 alpha=0.6 beta=1 q=u8 seedT=8 seedH=8 seedS=4",64,0.7326361032,0.6123,249.4298,8.5825,0.0000,0.039375,"0.039375;0.039362;0.039390",5.641117,177269.84,,11.99,0,6980,10,True,nid006971,57248608
SparseHNSW_a0.6_b1_p0,"M=32 efC=200 ef=100 alpha=0.6 beta=1 q=u8 seedT=8 seedH=8 seedS=4",64,0.7450716332,0.6209,249.4298,8.5825,0.0000,0.068624,"0.068453;0.068624;0.068628",9.831519,101713.69,,11.99,0,6980,10,True,nid006971,57248608
SparseHNSW_a0.6_b1_p0,"M=32 efC=200 ef=200 alpha=0.6 beta=1 q=u8 seedT=8 seedH=8 seedS=4",64,0.7516762178,0.6265,249.4298,8.5825,0.0000,0.123280,"0.123280;0.123416;0.123066",17.661891,56619.08,,11.99,0,6980,10,True,nid006971,57248608
SparseHNSW_a0.6_b1_p0,"M=32 efC=200 ef=400 alpha=0.6 beta=1 q=u8 seedT=8 seedH=8 seedS=4",64,0.7558309456,0.6316,249.4298,8.5825,0.0000,0.226050,"0.226050;0.225686;0.226108",32.385387,30878.12,,11.99,0,6980,10,True,nid006971,57248608
SparseHNSW_a0.6_b1_p0,"M=32 efC=200 ef=800 alpha=0.6 beta=1 q=u8 seedT=8 seedH=8 seedS=4",64,0.7587249284,0.6342,249.4298,8.5825,0.0000,0.425300,"0.426024;0.425300;0.424761",60.931232,16411.94,,11.99,0,6980,10,True,nid006971,57248608
SparseHNSW_a0.6_b1_p0,"M=32 efC=200 ef=1600 alpha=0.6 beta=1 q=u8 seedT=8 seedH=8 seedS=4",64,0.7608595989,0.6366,249.4298,8.5825,0.0000,0.820442,"0.820283;0.820442;0.821387",117.541834,8507.61,,11.99,0,6980,10,True,nid006971,57248608
SparseHNSW_a0.6_b1_p0,"M=32 efC=200 ef=3200 alpha=0.6 beta=1 q=u8 seedT=8 seedH=8 seedS=4",64,0.7623925501,0.6388,249.4298,8.5825,0.0000,1.599851,"1.600106;1.599773;1.599851",229.205014,4362.91,,12.02,0,6980,10,True,nid006971,57248608
SparseHNSW_a0.6_b2_p0,"M=32 efC=200 ef=10 alpha=0.6 beta=2 q=u8 seedT=8 seedH=8 seedS=4",64,0.8499713467,0.9683,249.4298,8.5825,0.0000,0.029189,"0.029189;0.029255;0.029093",4.181805,239131.18,,12.02,0,6980,10,True,nid006971,57248608
