Model,Params,Threads,Recall,RR@10,IndexSec,LoadSec,ConvertSec,SearchSecMedian,SearchSecRuns,AmortizedUsPerQuery,QPS,LatencyUsSingleThread,PeakRSSGB,IndexBytes,NumQueries,K,ResultsOrdered,Host,JobID
SparseHNSW_a0.6_b1,"M=32 efC=200 ef=10 alpha=0.6 beta=1 q=u8",64,0.5796275072,0.4748,254.0977,8.5551,0.0000,0.013983,"0.014499;0.014232;0.013983;0.013788;0.013774",2.003295,499177.57,,11.99,0,6980,10,True,nid005135,56977207
SparseHNSW_a0.6_b1,"M=32 efC=200 ef=20 alpha=0.6 beta=1 q=u8",64,0.6455014327,0.5368,254.0977,8.5551,0.0000,0.021827,"0.022137;0.021883;0.021827;0.021672;0.021682",3.127077,319787.42,,11.99,0,6980,10,True,nid005135,56977207
SparseHNSW_a0.6_b1,"M=32 efC=200 ef=50 alpha=0.6 beta=1 q=u8",64,0.7042406877,0.5888,254.0977,8.5551,0.0000,0.042392,"0.042438;0.042536;0.042390;0.042382;0.042392",6.073352,164653.71,,11.99,0,6980,10,True,nid005135,56977207
SparseHNSW_a0.6_b1,"M=32 efC=200 ef=100 alpha=0.6 beta=1 q=u8",64,0.7296848138,0.6078,254.0977,8.5551,0.0000,0.071729,"0.071707;0.071627;0.071838;0.071729;0.071738",10.276361,97310.71,,11.99,0,6980,10,True,nid005135,56977207
SparseHNSW_a0.6_b1,"M=32 efC=200 ef=200 alpha=0.6 beta=1 q=u8",64,0.7444842407,0.6198,254.0977,8.5551,0.0000,0.125830,"0.125759;0.125940;0.125737;0.125830;0.125892",18.027221,55471.67,,11.99,0,6980,10,True,nid005135,56977207
SparseHNSW_a0.6_b1,"M=32 efC=200 ef=400 alpha=0.6 beta=1 q=u8",64,0.7525214900,0.6275,254.0977,8.5551,0.0000,0.227338,"0.227338;0.227398;0.227069;0.227416;0.227139",32.569914,30703.18,,11.99,0,6980,10,True,nid005135,56977207
SparseHNSW_a0.6_b1,"M=32 efC=200 ef=800 alpha=0.6 beta=1 q=u8",64,0.7564756447,0.6319,254.0977,8.5551,0.0000,0.422204,"0.421968;0.422204;0.422043;0.422297;0.422485",60.487679,16532.29,,11.99,0,6980,10,True,nid005135,56977207
SparseHNSW_a0.6_b1,"M=32 efC=200 ef=1600 alpha=0.6 beta=1 q=u8",64,0.7591977077,0.6348,254.0977,8.5551,0.0000,0.809869,"0.809819;0.810229;0.809759;0.809869;0.810286",116.027077,8618.68,,11.99,0,6980,10,True,nid005135,56977207
SparseHNSW_a0.6_b1,"M=32 efC=200 ef=3200 alpha=0.6 beta=1 q=u8",64,0.7614756447,0.6374,254.0977,8.5551,0.0000,1.578767,"1.580183;1.578767;1.578451;1.578098;1.579372",226.184384,4421.17,,12.00,0,6980,10,True,nid005135,56977207
SparseHNSW_a0.6_b2,"M=32 efC=200 ef=10 alpha=0.6 beta=2 q=u8",64,0.7618051576,0.8803,254.0977,8.5551,0.0000,0.023044,"0.023326;0.023176;0.023044;0.022861;0.022764",3.301433,302898.80,,12.00,0,6980,10,True,nid005135,56977207
