Model,Params,Threads,Recall,RR@10,IndexSec,LoadSec,ConvertSec,SearchSecMedian,SearchSecRuns,AmortizedUsPerQuery,QPS,LatencyUsSingleThread,PeakRSSGB,IndexBytes,NumQueries,K,ResultsOrdered,Host,JobID
SparseHNSW_a0.6_b1_s0x0,"M=32 efC=200 ef=10 alpha=0.6 beta=1 q=u8",64,0.5771919771,0.4736,255.4132,8.4610,0.0000,0.013915,"0.014492;0.014201;0.013915;0.013912;0.013764",1.993553,501616.96,,11.98,0,6980,10,True,nid007080,57240768
SparseHNSW_a0.6_b1_s0x0,"M=32 efC=200 ef=20 alpha=0.6 beta=1 q=u8",64,0.6444985673,0.5374,255.4132,8.4610,0.0000,0.021768,"0.022089;0.021979;0.021768;0.021657;0.021721",3.118625,320654.17,,11.98,0,6980,10,True,nid007080,57240768
SparseHNSW_a0.6_b1_s0x0,"M=32 efC=200 ef=25 alpha=0.6 beta=1 q=u8",64,0.6610601719,0.5542,255.4132,8.4610,0.0000,0.025220,"0.025389;0.025220;0.025213;0.025153;0.025274",3.613181,276764.47,,11.98,0,6980,10,True,nid007080,57240768
SparseHNSW_a0.6_b1_s0x0,"M=32 efC=200 ef=30 alpha=0.6 beta=1 q=u8",64,0.6739255014,0.5641,255.4132,8.4610,0.0000,0.028866,"0.028870;0.028870;0.028813;0.028829;0.028866",4.135530,241806.97,,11.98,0,6980,10,True,nid007080,57240768
SparseHNSW_a0.6_b1_s0x0,"M=32 efC=200 ef=35 alpha=0.6 beta=1 q=u8",64,0.6838681948,0.5722,255.4132,8.4610,0.0000,0.032318,"0.032318;0.032338;0.032298;0.032302;0.032386",4.630086,215978.71,,11.98,0,6980,10,True,nid007080,57240768
SparseHNSW_a0.6_b1_s0x0,"M=32 efC=200 ef=40 alpha=0.6 beta=1 q=u8",64,0.6913896848,0.5781,255.4132,8.4610,0.0000,0.035698,"0.035634;0.035698;0.035794;0.035710;0.035638",5.114327,195529.16,,11.98,0,6980,10,True,nid007080,57240768
SparseHNSW_a0.6_b1_s0x0,"M=32 efC=200 ef=50 alpha=0.6 beta=1 q=u8",64,0.7040974212,0.5898,255.4132,8.4610,0.0000,0.042223,"0.042170;0.042294;0.042253;0.042182;0.042223",6.049140,165312.74,,11.98,0,6980,10,True,nid007080,57240768
SparseHNSW_a0.6_b1_s0x0,"M=32 efC=200 ef=60 alpha=0.6 beta=1 q=u8",64,0.7120773639,0.5950,255.4132,8.4610,0.0000,0.048442,"0.048380;0.048492;0.048442;0.048305;0.048520",6.940115,144089.84,,11.98,0,6980,10,True,nid007080,57240768
SparseHNSW_a0.6_b1_s0x0,"M=32 efC=200 ef=75 alpha=0.6 beta=1 q=u8",64,0.7200000000,0.6008,255.4132,8.4610,0.0000,0.057340,"0.057227;0.057471;0.057340;0.057365;0.057318",8.214900,121730.03,,11.98,0,6980,10,True,nid007080,57240768
SparseHNSW_a0.6_b1_s0x0,"M=32 efC=200 ef=100 alpha=0.6 beta=1 q=u8",64,0.7298280802,0.6086,255.4132,8.4610,0.0000,0.071503,"0.071551;0.071503;0.071457;0.071518;0.071501",10.243983,97618.28,,11.98,0,6980,10,True,nid007080,57240768
