Model,Params,Threads,Recall,RR@10,IndexSec,LoadSec,ConvertSec,SearchSecMedian,SearchSecRuns,AmortizedUsPerQuery,QPS,LatencyUsSingleThread,PeakRSSGB,IndexBytes,NumQueries,K,ResultsOrdered,Host,JobID
SparseHNSW_a0.6_b1_s0x0,"M=32 efC=200 ef=10 alpha=0.6 beta=1 q=u8",64,0.5797994269,0.4757,255.5934,8.5990,0.0000,0.013839,"0.014464;0.014127;0.013839;0.013762;0.013628",1.982665,504371.70,,11.98,0,6980,10,True,nid006032,57240766
SparseHNSW_a0.6_b1_s0x0,"M=32 efC=200 ef=20 alpha=0.6 beta=1 q=u8",64,0.6454441261,0.5381,255.5934,8.5990,0.0000,0.021721,"0.022081;0.021825;0.021721;0.021565;0.021632",3.111891,321348.00,,11.98,0,6980,10,True,nid006032,57240766
SparseHNSW_a0.6_b1_s0x0,"M=32 efC=200 ef=50 alpha=0.6 beta=1 q=u8",64,0.7047277937,0.5905,255.5934,8.5990,0.0000,0.042383,"0.042432;0.042383;0.042473;0.042350;0.042372",6.072063,164688.67,,11.98,0,6980,10,True,nid006032,57240766
SparseHNSW_a0.6_b1_s0x0,"M=32 efC=200 ef=100 alpha=0.6 beta=1 q=u8",64,0.7308595989,0.6094,255.5934,8.5990,0.0000,0.071344,"0.071277;0.071381;0.071240;0.071344;0.071440",10.221203,97835.84,,11.98,0,6980,10,True,nid006032,57240766
SparseHNSW_a0.6_b1_s0x0,"M=32 efC=200 ef=200 alpha=0.6 beta=1 q=u8",64,0.7452435530,0.6222,255.5934,8.5990,0.0000,0.125006,"0.125006;0.125107;0.124981;0.124803;0.125165",17.909169,55837.32,,11.98,0,6980,10,True,nid006032,57240766
SparseHNSW_a0.6_b1_s0x0,"M=32 efC=200 ef=400 alpha=0.6 beta=1 q=u8",64,0.7520487106,0.6286,255.5934,8.5990,0.0000,0.225274,"0.225027;0.225212;0.225274;0.225305;0.225396",32.274212,30984.49,,11.98,0,6980,10,True,nid006032,57240766
SparseHNSW_a0.6_b1_s0x0,"M=32 efC=200 ef=800 alpha=0.6 beta=1 q=u8",64,0.7561891117,0.6324,255.5934,8.5990,0.0000,0.418932,"0.419469;0.418169;0.419790;0.418932;0.418666",60.018911,16661.42,,11.98,0,6980,10,True,nid006032,57240766
SparseHNSW_a0.6_b1_s0x0,"M=32 efC=200 ef=1600 alpha=0.6 beta=1 q=u8",64,0.7592836676,0.6357,255.5934,8.5990,0.0000,0.803457,"0.803457;0.803416;0.804046;0.804342;0.803063",115.108453,8687.46,,11.98,0,6980,10,True,nid006032,57240766
SparseHNSW_a0.6_b1_s0x0,"M=32 efC=200 ef=3200 alpha=0.6 beta=1 q=u8",64,0.7615616046,0.6385,255.5934,8.5990,0.0000,1.570448,"1.570262;1.569830;1.571503;1.570540;1.570448",224.992550,4444.59,,12.03,0,6980,10,True,nid006032,57240766
SparseHNSW_a0.6_b2_s0x0,"M=32 efC=200 ef=10 alpha=0.6 beta=2 q=u8",64,0.7614613181,0.8796,255.5934,8.5990,0.0000,0.022866,"0.023245;0.023084;0.022866;0.022819;0.022816",3.275931,305256.71,,12.03,0,6980,10,True,nid006032,57240766
SparseHNSW_a0.6_b2_s0x0,"M=32 efC=200 ef=20 alpha=0.6 beta=2 q=u8",64,0.7614613181,0.8796,255.5934,8.5990,0.0000,0.022600,"0.022601;0.022555;0.022633;0.022600;0.022512",3.237822,308849.56,,12.03,0,6980,10,True,nid006032,57240766
SparseHNSW_a0.6_b2_s0x0,"M=32 efC=200 ef=50 alpha=0.6 beta=2 q=u8",64,0.8348853868,0.9455,255.5934,8.5990,0.0000,0.042996,"0.042996;0.043113;0.043022;0.042973;0.042992",6.159885,162340.68,,12.03,0,6980,10,True,nid006032,57240766
SparseHNSW_a0.6_b2_s0x0,"M=32 efC=200 ef=100 alpha=0.6 beta=2 q=u8",64,0.8667048711,0.9751,255.5934,8.5990,0.0000,0.071951,"0.071951;0.071934;0.072126;0.071892;0.071993",10.308166,97010.47,,12.03,0,6980,10,True,nid006032,57240766
SparseHNSW_a0.6_b2_s0x0,"M=32 efC=200 ef=200 alpha=0.6 beta=2 q=u8",64,0.8842263610,0.9894,255.5934,8.5990,0.0000,0.125663,"0.125534;0.125691;0.125663;0.125762;0.125427",18.003295,55545.39,,12.03,0,6980,10,True,nid006032,57240766
SparseHNSW_a0.6_b2_s0x0,"M=32 efC=200 ef=400 alpha=0.6 beta=2 q=u8",64,0.8932234957,0.9951,255.5934,8.5990,0.0000,0.225826,"0.225787;0.225911;0.225829;0.225826;0.225703",32.353295,30908.75,,12.03,0,6980,10,True,nid006032,57240766
SparseHNSW_a0.6_b2_s0x0,"M=32 efC=200 ef=800 alpha=0.6 beta=2 q=u8",64,0.8982808023,0.9977,255.5934,8.5990,0.0000,0.419081,"0.419081;0.419326;0.418531;0.419002;0.419403",60.040258,16655.49,,12.03,0,6980,10,True,nid006032,57240766
SparseHNSW_a0.6_b2_s0x0,"M=32 efC=200 ef=1600 alpha=0.6 beta=2 q=u8",64,0.9024928367,0.9990,255.5934,8.5990,0.0000,0.803450,"0.804445;0.803071;0.802908;0.803450;0.803451",115.107450,8687.54,,12.03,0,6980,10,True,nid006032,57240766
SparseHNSW_a0.6_b2_s0x0,"M=32 efC=200 ef=3200 alpha=0.6 beta=2 q=u8",64,0.9058022923,0.9999,255.5934,8.5990,0.0000,1.571078,"1.570828;1.571078;1.570288;1.571669;1.572118",225.082808,4442.81,,12.03,0,6980,10,True,nid006032,57240766
SparseHNSW_a0.6_b3_s0x0,"M=32 efC=200 ef=10 alpha=0.6 beta=3 q=u8",64,0.8274785100,0.9120,255.5934,8.5990,0.0000,0.030549,"0.030601;0.030591;0.030549;0.030446;0.030335",4.376648,228485.38,,12.03,0,6980,10,True,nid006032,57240766
SparseHNSW_a0.6_b3_s0x0,"M=32 efC=200 ef=20 alpha=0.6 beta=3 q=u8",64,0.8274785100,0.9120,255.5934,8.5990,0.0000,0.030215,"0.030215;0.030118;0.030249;0.030125;0.030222",4.328797,231011.09,,12.03,0,6980,10,True,nid006032,57240766
SparseHNSW_a0.6_b3_s0x0,"M=32 efC=200 ef=50 alpha=0.6 beta=3 q=u8",64,0.8671776504,0.9456,255.5934,8.5990,0.0000,0.043377,"0.043412;0.043377;0.043179;0.043313;0.043494",6.214470,160914.77,,12.03,0,6980,10,True,nid006032,57240766
SparseHNSW_a0.6_b3_s0x0,"M=32 efC=200 ef=100 alpha=0.6 beta=3 q=u8",64,0.9008739255,0.9751,255.5934,8.5990,0.0000,0.072198,"0.072227;0.072405;0.071995;0.072198;0.072116",10.343553,96678.58,,12.03,0,6980,10,True,nid006032,57240766
SparseHNSW_a0.6_b3_s0x0,"M=32 efC=200 ef=200 alpha=0.6 beta=3 q=u8",64,0.9194985673,0.9894,255.5934,8.5990,0.0000,0.125922,"0.125841;0.126015;0.126243;0.125767;0.125922",18.040401,55431.14,,12.03,0,6980,10,True,nid006032,57240766
SparseHNSW_a0.6_b3_s0x0,"M=32 efC=200 ef=400 alpha=0.6 beta=3 q=u8",64,0.9289828080,0.9951,255.5934,8.5990,0.0000,0.225997,"0.225738;0.225997;0.226166;0.226321;0.225914",32.377794,30885.37,,12.03,0,6980,10,True,nid006032,57240766
SparseHNSW_a0.6_b3_s0x0,"M=32 efC=200 ef=800 alpha=0.6 beta=3 q=u8",64,0.9343123209,0.9977,255.5934,8.5990,0.0000,0.419597,"0.419581;0.419162;0.419597;0.419678;0.419801",60.114183,16635.01,,12.03,0,6980,10,True,nid006032,57240766
SparseHNSW_a0.6_b3_s0x0,"M=32 efC=200 ef=1600 alpha=0.6 beta=3 q=u8",64,0.9387106017,0.9990,255.5934,8.5990,0.0000,0.804473,"0.804473;0.804653;0.805150;0.803883;0.804294",115.254011,8676.49,,12.03,0,6980,10,True,nid006032,57240766
SparseHNSW_a0.6_b3_s0x0,"M=32 efC=200 ef=3200 alpha=0.6 beta=3 q=u8",64,0.9422206304,0.9999,255.5934,8.5990,0.0000,1.570849,"1.570849;1.570156;1.572491;1.570766;1.571528",225.050000,4443.46,,12.03,0,6980,10,True,nid006032,57240766
SparseHNSW_a0.6_b4_s0x0,"M=32 efC=200 ef=10 alpha=0.6 beta=4 q=u8",64,0.8639828080,0.9310,255.5934,8.5990,0.0000,0.037441,"0.037585;0.037356;0.037611;0.037441;0.037304",5.364040,186426.64,,12.03,0,6980,10,True,nid006032,57240766
SparseHNSW_a0.6_b4_s0x0,"M=32 efC=200 ef=20 alpha=0.6 beta=4 q=u8",64,0.8639828080,0.9310,255.5934,8.5990,0.0000,0.037376,"0.037382;0.037376;0.037530;0.037242;0.037119",5.354728,186750.86,,12.03,0,6980,10,True,nid006032,57240766
SparseHNSW_a0.6_b4_s0x0,"M=32 efC=200 ef=50 alpha=0.6 beta=4 q=u8",64,0.8811747851,0.9456,255.5934,8.5990,0.0000,0.043651,"0.043685;0.043594;0.043587;0.043699;0.043651",6.253725,159904.70,,12.03,0,6980,10,True,nid006032,57240766
