alpha,beta,ef,refine_runs,time_v2,time_v3,speedup_raw,speedup_drift_corrected,recall_v2,recall_v3,qps_v2,qps_v3
0.6,1,10,0,0.013641,0.013562,1.0058,0.9995,0.578324,0.577779,511692.69,514673.35
0.6,1,20,0,0.021233,0.021251,0.9992,0.9929,0.646662,0.645401,328733.58,328455.13
0.6,1,50,0,0.041141,0.041028,1.0028,0.9965,0.706862,0.705573,169660.44,170127.72
0.6,1,100,0,0.069225,0.068793,1.0063,1.0000,0.730659,0.730287,100830.62,101463.81
0.6,1,200,0,0.121385,0.119448,1.0162,1.0099,0.745401,0.744355,57502.99,58435.47
0.6,1,400,0,0.216376,0.212779,1.0169,1.0106,0.752708,0.751275,32258.66,32803.99
0.6,1,800,0,0.402298,0.393649,1.0220,1.0156,0.756418,0.755960,17350.32,17731.53
0.6,1,1600,0,0.776538,0.763649,1.0169,1.0105,0.759327,0.758940,8988.61,9140.32
0.6,1,3200,0,1.527527,1.509406,1.0120,1.0057,0.761418,0.761332,4569.48,4624.34
0.6,2,10,1,0.023182,0.022259,1.0415,1.0350,0.760014,0.759069,301095.68,313581.02
0.6,2,20,1,0.022887,0.021998,1.0404,1.0339,0.760014,0.759069,304976.62,317301.57
0.6,2,50,1,0.042682,0.041912,1.0184,1.0120,0.835258,0.834312,163534.98,166539.42
0.6,2,100,1,0.070863,0.070237,1.0089,1.0026,0.865774,0.865802,98499.92,99377.82
0.6,2,200,1,0.122297,0.121692,1.0050,0.9987,0.883768,0.884226,57074.17,57357.92
0.6,2,400,1,0.217579,0.216642,1.0043,0.9981,0.893438,0.893926,32080.30,32219.05
0.6,2,800,1,0.401495,0.400641,1.0021,0.9959,0.897908,0.899155,17385.02,17422.08
0.6,2,1600,1,0.775017,0.772071,1.0038,0.9976,0.902235,0.902851,9006.25,9040.62
0.6,2,3200,1,1.523962,1.519335,1.0030,0.9968,0.905544,0.905946,4580.17,4594.12
0.6,3,10,1,0.030864,0.029580,1.0434,1.0369,0.827564,0.827880,226153.45,235970.25
0.6,3,20,1,0.030660,0.029296,1.0466,1.0400,0.827564,0.827880,227658.19,238257.78
0.6,3,50,1,0.043242,0.042062,1.0281,1.0216,0.869885,0.867665,161417.14,165945.51
0.6,3,100,1,0.071604,0.070430,1.0167,1.0103,0.900530,0.900100,97480.59,99105.49
0.6,3,200,1,0.123431,0.122185,1.0102,1.0039,0.919470,0.919527,56549.81,57126.49
0.6,3,400,1,0.218276,0.216816,1.0067,1.0005,0.929384,0.928668,31977.86,32193.20
0.6,3,800,1,0.403663,0.400504,1.0079,1.0016,0.934456,0.934513,17291.65,17428.04
0.6,3,1600,1,0.779511,0.775392,1.0053,0.9990,0.938682,0.938926,8954.33,9001.90
0.6,3,3200,1,1.529282,1.523067,1.0041,0.9978,0.942393,0.942607,4564.23,4582.86
0.6,4,10,1,0.037838,0.036279,1.0430,1.0365,0.864642,0.864140,184470.64,192397.81
0.6,4,20,1,0.037854,0.036158,1.0469,1.0404,0.864642,0.864140,184392.67,193041.65
0.6,4,50,1,0.043825,0.042533,1.0304,1.0239,0.881963,0.882192,159269.82,164107.87
0.6,4,100,1,0.072081,0.070606,1.0209,1.0145,0.914656,0.914885,96835.50,98858.45
0.6,4,200,1,0.124154,0.121336,1.0232,1.0168,0.934670,0.934628,56220.50,57526.21
0.6,4,400,1,0.219614,0.215277,1.0201,1.0138,0.945057,0.944986,31783.04,32423.34
0.6,4,800,1,0.406571,0.398571,1.0201,1.0137,0.950688,0.950831,17167.97,17512.56
0.6,4,1600,1,0.782304,0.771049,1.0146,1.0083,0.955372,0.955473,8922.36,9052.60
0.6,4,3200,1,1.538611,1.517010,1.0142,1.0079,0.959040,0.959441,4536.56,4601.16
0.6,5,10,1,0.044824,0.042658,1.0508,1.0442,0.887693,0.888610,155720.15,163626.99
0.6,5,20,1,0.044736,0.042584,1.0505,1.0440,0.887693,0.888610,156026.47,163911.33
0.6,5,50,1,0.044814,0.042619,1.0515,1.0449,0.887693,0.888610,155754.90,163776.72
0.6,5,100,1,0.072194,0.070703,1.0211,1.0147,0.922650,0.921676,96683.93,98722.83
0.6,5,200,1,0.123796,0.121573,1.0183,1.0119,0.942808,0.942464,56383.08,57414.06
0.6,5,400,1,0.220115,0.216089,1.0186,1.0123,0.953682,0.953596,31710.70,32301.51
0.6,5,800,1,0.405158,0.399682,1.0137,1.0074,0.959427,0.959427,17227.85,17463.88
0.6,5,1600,1,0.777702,0.773364,1.0056,0.9993,0.963840,0.963725,8975.16,9025.50
0.6,5,3200,1,1.527383,1.519946,1.0049,0.9986,0.967722,0.967464,4569.91,4592.27
0.6,6,10,1,0.050713,0.049089,1.0331,1.0266,0.904198,0.903410,137637.29,142190.71
0.6,6,20,1,0.050782,0.049046,1.0354,1.0289,0.904198,0.903410,137450.28,142315.38
0.6,6,50,1,0.050815,0.049171,1.0334,1.0270,0.904198,0.903410,137361.02,141953.59
0.6,6,100,1,0.072798,0.071418,1.0193,1.0130,0.927765,0.927235,95881.75,97734.46
0.6,6,200,1,0.124283,0.122210,1.0170,1.0106,0.948567,0.947607,56162.15,57114.80
0.6,6,400,1,0.218905,0.218240,1.0030,0.9968,0.958696,0.959054,31885.98,31983.14
0.6,6,800,1,0.403079,0.400956,1.0053,0.9990,0.964742,0.964957,17316.70,17408.39
0.6,6,1600,1,0.777738,0.772743,1.0065,1.0002,0.968968,0.969083,8974.74,9032.76
0.6,6,3200,1,1.528901,1.520285,1.0057,0.9994,0.972779,0.973009,4565.37,4591.24
0.6,8,10,1,0.063434,0.060876,1.0420,1.0355,0.920888,0.921490,110035.63,114659.31
0.6,8,20,1,0.063555,0.060711,1.0468,1.0403,0.920888,0.921490,109826.13,114970.93
