Model,Params,Threads,Recall,RR@10,IndexSec,LoadSec,ConvertSec,SearchSecMedian,SearchSecRuns,AmortizedUsPerQuery,QPS,LatencyUsSingleThread,PeakRSSGB,IndexBytes,NumQueries,K,ResultsOrdered,Host,JobID
GrassRMA,M=32 efC=200 ef=10,64,0.6867621776504298,0.8256446991404012,929.0218729590415,4.334387480979785,0.0,0.06118673796299845,0.060712;0.061349;0.061290;0.060103;0.061187,8.766008304154505,114077.00806375765,,12.637287139892578,0,6980,10,True,nid005171,57783562
GrassRMA,M=32 efC=200 ef=20,64,0.7923925501432665,0.8878223495702006,929.0218729590415,4.334387480979785,0.0,0.08540726196952164,0.085133;0.085407;0.084512;0.085550;0.085520,12.235997416836913,81726.07151943211,,12.652320861816406,0,6980,10,True,nid005171,57783562
GrassRMA,M=32 efC=200 ef=50,64,0.8788825214899714,0.9435530085959886,929.0218729590415,4.334387480979785,0.0,0.14872490096604452,0.148821;0.148725;0.148029;0.147881;0.149063,21.30729240201211,46932.28877384567,,12.680191040039062,0,6980,10,True,nid005171,57783562
GrassRMA,M=32 efC=200 ef=100,64,0.9184527220630373,0.9702005730659026,929.0218729590415,4.334387480979785,0.0,0.24464989197440445,0.243838;0.245140;0.244772;0.243603;0.244650,35.050127790029286,28530.566450159135,,12.708061218261719,0,6980,10,True,nid005171,57783562
GrassRMA,M=32 efC=200 ef=200,64,0.9441547277936962,0.9846704871060172,929.0218729590415,4.334387480979785,0.0,0.4253628649748862,0.425363;0.426211;0.425851;0.425125;0.425056,60.94023853508398,16409.51896544167,,12.734321594238281,0,6980,10,True,nid005171,57783562
GrassRMA,M=32 efC=200 ef=400,64,0.9609885386819484,0.9929799426934097,929.0218729590415,4.334387480979785,0.0,0.7721056870068423,0.772207;0.771516;0.772106;0.772269;0.771567,110.61686060269948,9040.213169597006,,12.740943908691406,0,6980,10,True,nid005171,57783562
GrassRMA,M=32 efC=200 ef=800,64,0.9711318051575931,0.9978510028653295,929.0218729590415,4.334387480979785,0.0,1.4474776440183632,1.447478;1.446390;1.447169;1.447935;1.447514,207.37502063300332,4822.181557583662,,12.773807525634766,0,6980,10,True,nid005171,57783562
GrassRMA,M=32 efC=200 ef=1600,64,0.9792406876790831,0.9994269340974212,929.0218729590415,4.334387480979785,0.0,2.7558214119635522,2.756446;2.762185;2.754348;2.755051;2.755821,394.81682119821664,2532.8201492660132,,12.797218322753906,0,6980,10,True,nid005171,57783562
GrassRMA,M=32 efC=200 ef=3200,64,0.9847277936962751,0.9998567335243553,929.0218729590415,4.334387480979785,0.0,5.2632349990308285,5.264340;5.265504;5.261211;5.263235;5.263071,754.0451288009783,1326.180571698831,,12.80181884765625,0,6980,10,True,nid005171,57783562
GrassRMA,M=32 efC=200 ef=6400,64,0.9890544412607449,0.9998567335243553,929.0218729590415,4.334387480979785,0.0,10.043222477019299,10.043222;10.044586;10.042040;10.038013;10.044792,1438.8570883981802,694.996054898863,,12.828231811523438,0,6980,10,True,nid005171,57783562
GrassRMA,M=32 efC=200 ef=12800,64,0.9918481375358166,1.0,929.0218729590415,4.334387480979785,0.0,18.96526982204523,18.965665;18.959040;18.959293;18.966896;18.965270,2717.0873670551905,368.04116500817975,,12.861026763916016,0,6980,10,True,nid005171,57783562
PyANNS,graph=msmarco_full_R32_L200 ef=80 budget=1.0,64,0.0,0.0,7.588701912027318,4.329449369048234,0.0,0.013373052002862096,0.015692;0.014168;0.013373;0.012541;0.011983,1.9159100290633373,521945.1773990068,,27.66930389404297,1204810388,6980,10,True,nid006824,57786393
PyANNS,graph=msmarco_full_R32_L200 ef=80 budget=0.9,64,0.007091690544412607,0.013467048710601719,7.588701912027318,4.329449369048234,0.0,0.014968190982472152,0.017422;0.015949;0.014968;0.014067;0.013825,2.1444399688355515,466322.21677112655,,27.66930389404297,1204810388,6980,10,True,nid006824,57786393
PyANNS,graph=msmarco_full_R32_L800 ef=80 budget=0.9,64,0.01674785100286533,0.031232091690544413,2495.6648207139806,4.1820565649541095,0.0,0.017602168023586273,0.020159;0.018669;0.017602;0.016634;0.016200,2.521800576445025,396542.06178733497,,38.37903594970703,1204812692,6980,10,True,nid006819,57786391
PyANNS,graph=base_full ef=80 budget=0.9,64,0.018094555873925503,0.032234957020057305,7.7608147989958525,4.410523739992641,0.0,0.018080432899296284,0.021175;0.019557;0.018080;0.016972;0.016531,2.5903198996126484,386052.70343232056,,27.667465209960938,1204814548,6980,10,True,nid006355,57786387
PyANNS,graph=msmarco_full_R32_L400 ef=80 budget=0.9,64,0.021017191977077365,0.03796561604584527,1406.046294759959,4.234330999024678,0.0,0.0181291300104931,0.020923;0.019438;0.018129;0.017263;0.016931,2.5972965631078937,385015.7175749742,,38.3782958984375,1204815252,6980,10,True,nid006719,57786389
PyANNS,graph=msmarco_full_R32_L200 ef=80 budget=0.8,64,0.0430945558739255,0.07478510028653296,7.588701912027318,4.329449369048234,0.0,0.02264468400971964,0.024128;0.023186;0.022645;0.022359;0.022285,3.244224070160407,308240.114854507,,27.66930389404297,1204810388,6980,10,True,nid006824,57786393
PyANNS,graph=msmarco_full_R32_L800 ef=80 budget=0.8,64,0.09293696275071633,0.16131805157593124,2495.6648207139806,4.1820565649541095,0.0,0.03584821295225993,0.036610;0.036202;0.035848;0.035848;0.035564,5.135847127830935,194709.84534976576,,38.37903594970703,1204812692,6980,10,True,nid006819,57786391
PyANNS,graph=base_full ef=80 budget=0.8,64,0.09484240687679082,0.16404011461318052,7.7608147989958525,4.410523739992641,0.0,0.03674326301552355,0.037358;0.036947;0.036590;0.036570;0.036743,5.264077795920279,189966.79737047415,,27.667465209960938,1204814548,6980,10,True,nid006355,57786387
PyANNS,graph=msmarco_full_R32_L400 ef=80 budget=0.8,64,0.1010028653295129,0.17507163323782235,1406.046294759959,4.234330999024678,0.0,0.037432734039612114,0.038016;0.037433;0.037519;0.037346;0.037215,5.362855879600589,186467.81163816716,,38.3782958984375,1204815252,6980,10,True,nid006719,57786389
PyANNS,graph=msmarco_full_R32_L400 ef=150 budget=0.8,64,0.14202005730659026,0.22664756446991405,1406.046294759959,4.234330999024678,0.0,0.06402544700540602,0.064462;0.064216;0.064025;0.063771;0.063732,9.172700144040977,109019.15295352237,,38.3802490234375,1204815252,6980,10,True,nid006719,57786389
PyANNS,graph=msmarco_full_R32_L200 ef=80 budget=0.5,64,0.5319484240687679,0.6391117478510029,7.588701912027318,4.329449369048234,0.0,0.08743549801874906,0.087435;0.087481;0.087222;0.086974;0.087602,12.526575647385252,79830.2766972661,,27.66930389404297,1204810388,6980,10,True,nid006824,57786393
PyANNS,graph=msmarco_full_R32_L400 ef=80 budget=0.5,64,0.6299283667621777,0.7467048710601719,1406.046294759959,4.234330999024678,0.0,0.10380357998656109,0.104126;0.104162;0.103604;0.103804;0.103203,14.871573063977234,67242.3822078551,,38.3782958984375,1204815252,6980,10,True,nid006719,57786389
PyANNS,graph=msmarco_full_R32_L200 ef=80 budget=0.3,64,0.7554154727793696,0.835243553008596,7.588701912027318,4.329449369048234,0.0,0.10462050000205636,0.104621;0.104571;0.104672;0.104304;0.105053,14.988610315480853,66717.32595297102,,27.66930389404297,1204810388,6980,10,True,nid006824,57786393
PyANNS,graph=msmarco_full_R32_L200 ef=80 budget=0.2,64,0.8221776504297994,0.8965616045845273,7.588701912027318,4.329449369048234,0.0,0.10636886599240825,0.106369;0.106102;0.106505;0.106448;0.106287,15.239092549055622,65620.70522118922,,27.66930389404297,1204810388,6980,10,True,nid006824,57786393
PyANNS,graph=msmarco_full_R32_L200 ef=80 budget=0.15,64,0.841160458452722,0.9156160458452722,7.588701912027318,4.329449369048234,0.0,0.10823087196331471,0.108231;0.107880;0.108468;0.107909;0.108616,15.50585558213678,64491.76536585512,,27.66930389404297,1204810388,6980,10,True,nid006824,57786393
PyANNS,graph=msmarco_full_R32_L200 ef=80 budget=0.1,64,0.8535100286532952,0.9287965616045846,7.588701912027318,4.329449369048234,0.0,0.11217268300242722,0.112173;0.112179;0.112046;0.112640;0.112058,16.070584957367796,62225.48853403966,,27.66930389404297,1204810388,6980,10,True,nid006824,57786393
PyANNS,graph=msmarco_full_R32_L400 ef=80 budget=0.2,64,0.8565902578796561,0.916189111747851,1406.046294759959,4.234330999024678,0.0,0.11326717596966773,0.113277;0.113884;0.112620;0.113267;0.112876,16.227389107402253,61624.20789822818,,38.3782958984375,1204815252,6980,10,True,nid006719,57786389
PyANNS,graph=msmarco_full_R32_L400 ef=80 budget=0.15,64,0.8768624641833811,0.9353868194842407,1406.046294759959,4.234330999024678,0.0,0.11591109598521143,0.115895;0.115685;0.115911;0.116940;0.116086,16.60617420991568,60218.56614047154,,38.3782958984375,1204815252,6980,10,True,nid006719,57786389
PyANNS,graph=msmarco_full_R32_L800 ef=80 budget=0.2,64,0.8867478510028654,0.9363896848137536,2495.6648207139806,4.1820565649541095,0.0,0.11834862601244822,0.118349;0.117921;0.118589;0.118593;0.118206,16.955390546196018,58978.2934976011,,38.37903594970703,1204812692,6980,10,True,nid006819,57786391
PyANNS,graph=msmarco_full_R32_L400 ef=80 budget=0.1,64,0.8887249283667622,0.9455587392550143,1406.046294759959,4.234330999024678,0.0,0.12095393799245358,0.120954;0.120933;0.122106;0.120460;0.121220,17.3286444115263,57707.91853371065,,38.3782958984375,1204815252,6980,10,True,nid006719,57786389
