recall,ours_qps,SEISMIC_qps,vs_SEISMIC,kANNolo_qps,vs_kANNolo,PyANNS_qps,vs_PyANNS,GrassRMA_qps,vs_GrassRMA,SINDI_qps,vs_SINDI
0.9,261441,135238,1.93,118947,2.2,57658,4.53,41707,6.27,37616,6.95
0.91,260688,134353,1.94,113431,2.3,56837,4.59,39439,6.61,30492,8.55
0.92,246367,134144,1.84,106797,2.31,54228,4.54,37340,6.6,29624,8.32
0.93,215237,133012,1.62,106330,2.02,46575,4.62,35565,6.05,28925,7.44
0.94,206178,131323,1.57,89411,2.31,40676,5.07,33874,6.09,25688,8.03
0.95,192885,121475,1.59,81664,2.36,32370,5.96,30586,6.31,23146,8.33
0.96,170080,118298,1.44,76933,2.21,25101,6.78,23377,7.28,20509,8.29
0.97,143822,104032,1.38,74190,1.94,18742,7.67,18806,7.65,16270,8.84
0.98,107509,90233,1.19,59136,1.82,10356,10.38,11492,9.35,15886,6.77
0.99,62428,70490,0.89,38301,1.63,3516,17.75,5564,11.22,15003,4.16
