Model	Params	Recall	RR@10	QPS	SearchSecMedian	IndexSec	PeakRSSGB	Threads
GrassRMA	M=32 efC=1600 ef=20	0.8080963361516782	0.9059697668460159	66766.69870183502	0.058457285980693996	100163.20122159604	212.76972579956055	128
GrassRMA	M=32 efC=1600 ef=50	0.9101204201895977	0.9554189085318986	40675.72944618222	0.09595402597915381	100163.20122159604	212.76972579956055	128
GrassRMA	M=32 efC=1600 ef=100	0.948424289008455	0.975915962080451	25214.690029303463	0.15479071903973818	100163.20122159604	212.76972579956055	128
GrassRMA	M=32 efC=1600 ef=200	0.9704842428900845	0.9897514732257238	14252.70884080239	0.27384268096648157	100163.20122159604	212.76972579956055	128
GrassRMA	M=32 efC=1600 ef=400	0.9803484499103254	0.9941070971047912	7885.322433119085	0.4949702479643747	100163.20122159604	212.76972579956055	128
GrassRMA	M=32 efC=1600 ef=800	0.9848065590571355	0.9966692287983603	4222.636493472696	0.9243040470173582	100163.20122159604	212.76972579956055	128
GrassRMA	M=32 efC=1600 ef=1600	0.9897770945426595	0.9997437868306431	2209.1011450273804	1.7667819369817153	100163.20122159604	212.76972579956055	128
GrassRMA	M=32 efC=1600 ef=3200	0.9908019472200871	1.0	1144.3841514873016	3.4105680290376768	100163.20122159604	212.76972579956055	128
GrassRMA	M=32 efC=1600 ef=6400	0.9916474506789649	1.0	587.511316820625	6.6432762880576774	100163.20122159604	212.76972579956055	128
SEISMIC	n_postings=6000 summary_energy=0.8 centroid_fraction=0.4 max_fraction=6.0 doc_cut=15 nknn=0 n_knn=0 sorted=True query_cut=1 heap_factor=1.0	0.5911862669741225	0.7732513451191392	85778.92663645673	0.045500685926526785	851.830828395905	164.93475723266602	128
SEISMIC	n_postings=6000 summary_energy=0.8 centroid_fraction=0.4 max_fraction=6.0 doc_cut=15 nknn=0 n_knn=0 sorted=True query_cut=2 heap_factor=1.0	0.6747630028183449	0.8529336407891366	82694.97068180983	0.047197549836710095	851.830828395905	164.93475723266602	128
SEISMIC	n_postings=6000 summary_energy=0.8 centroid_fraction=0.4 max_fraction=6.0 doc_cut=15 nknn=0 n_knn=0 sorted=True query_cut=3 heap_factor=1.0	0.6985908275685371	0.8770176787086856	78255.714312721	0.04987495206296444	851.830828395905	164.93475723266602	128
SEISMIC	n_postings=12000 summary_energy=0.8 centroid_fraction=0.4 max_fraction=6.0 doc_cut=15 nknn=0 n_knn=0 sorted=True query_cut=1 heap_factor=1.0	0.7143479374839867	0.8731744811683321	78237.707622325	0.04988643096294254	1454.1825505589368	164.8934669494629	128
SEISMIC	n_postings=12000 summary_energy=0.8 centroid_fraction=0.4 max_fraction=6.0 doc_cut=15 nknn=0 n_knn=0 sorted=True query_cut=2 heap_factor=1.0	0.8274148091211888	0.9533692031770433	70243.24216963557	0.05556406395044178	1454.1825505589368	164.8934669494629	128
