Model,Params,Threads,Recall,RR@10,IndexSec,LoadSec,ConvertSec,SearchSecMedian,SearchSecRuns,AmortizedUsPerQuery,QPS,LatencyUsSingleThread,PeakRSSGB,IndexBytes,NumQueries,K,ResultsOrdered,Host,JobID
GrassRMA,M=32 efC=1600 ef=20,128,0.8080963361516782,0.9059697668460159,100163.20122159604,66.00901873997645,0.0,0.058457285980693996,0.054890;0.058457;0.063542,14.977526513116576,66766.69870183502,,212.76972579956055,0,3903,10,True,nid004604,58078626
GrassRMA,M=32 efC=1600 ef=50,128,0.9101204201895977,0.9554189085318986,100163.20122159604,66.00901873997645,0.0,0.09595402597915381,0.095431;0.097483;0.095954,24.584685108673792,40675.72944618222,,212.76972579956055,0,3903,10,True,nid004604,58078626
GrassRMA,M=32 efC=1600 ef=100,128,0.948424289008455,0.975915962080451,100163.20122159604,66.00901873997645,0.0,0.15479071903973818,0.154791;0.154412;0.157808,39.659420712205524,25214.690029303463,,212.76972579956055,0,3903,10,True,nid004604,58078626
GrassRMA,M=32 efC=1600 ef=200,128,0.9704842428900845,0.9897514732257238,100163.20122159604,66.00901873997645,0.0,0.27384268096648157,0.274388;0.273843;0.272160,70.16210119561403,14252.70884080239,,212.76972579956055,0,3903,10,True,nid004604,58078626
GrassRMA,M=32 efC=1600 ef=400,128,0.9803484499103254,0.9941070971047912,100163.20122159604,66.00901873997645,0.0,0.4949702479643747,0.494970;0.495639;0.493838,126.81789596832556,7885.322433119085,,212.76972579956055,0,3903,10,True,nid004604,58078626
GrassRMA,M=32 efC=1600 ef=800,128,0.9848065590571355,0.9966692287983603,100163.20122159604,66.00901873997645,0.0,0.9243040470173582,0.923428;0.925871;0.924304,236.81886933573102,4222.636493472696,,212.76972579956055,0,3903,10,True,nid004604,58078626
GrassRMA,M=32 efC=1600 ef=1600,128,0.9897770945426595,0.9997437868306431,100163.20122159604,66.00901873997645,0.0,1.7667819369817153,1.766626;1.767041;1.766782,452.6727996366168,2209.1011450273804,,212.76972579956055,0,3903,10,True,nid004604,58078626
GrassRMA,M=32 efC=1600 ef=3200,128,0.9908019472200871,1.0,100163.20122159604,66.00901873997645,0.0,3.4105680290376768,3.410568;3.410030;3.412845,873.8324440270758,1144.3841514873016,,212.76972579956055,0,3903,10,True,nid004604,58078626
GrassRMA,M=32 efC=1600 ef=6400,128,0.9916474506789649,1.0,100163.20122159604,66.00901873997645,0.0,6.6432762880576774,6.643276;6.649872;6.639022,1702.0948726768327,587.511316820625,,212.76972579956055,0,3903,10,True,nid004604,58078626
SEISMIC,n_postings=6000 summary_energy=0.8 centroid_fraction=0.4 max_fraction=6.0 doc_cut=15 nknn=0 n_knn=0 sorted=True query_cut=1 heap_factor=1.0,128,0.5911862669741225,0.7732513451191392,851.830828395905,35.93612923100591,459.747775292024,0.045500685926526785,0.046484;0.040379;0.045501,11.657874949148548,85778.92663645673,,164.93475723266602,0,3903,10,False,nid006209,57872856
SEISMIC,n_postings=6000 summary_energy=0.8 centroid_fraction=0.4 max_fraction=6.0 doc_cut=15 nknn=0 n_knn=0 sorted=True query_cut=2 heap_factor=1.0,128,0.6747630028183449,0.8529336407891366,851.830828395905,35.93612923100591,459.747775292024,0.047197549836710095,0.054409;0.046252;0.047198,12.092633829543965,82694.97068180983,,164.93475723266602,0,3903,10,False,nid006209,57872856
SEISMIC,n_postings=6000 summary_energy=0.8 centroid_fraction=0.4 max_fraction=6.0 doc_cut=15 nknn=0 n_knn=0 sorted=True query_cut=3 heap_factor=1.0,128,0.6985908275685371,0.8770176787086856,851.830828395905,35.93612923100591,459.747775292024,0.04987495206296444,0.048279;0.054485;0.049875,12.778619539575823,78255.714312721,,164.93475723266602,0,3903,10,True,nid006209,57872856
SEISMIC,n_postings=12000 summary_energy=0.8 centroid_fraction=0.4 max_fraction=6.0 doc_cut=15 nknn=0 n_knn=0 sorted=True query_cut=1 heap_factor=1.0,128,0.7143479374839867,0.8731744811683321,1454.1825505589368,67.69066725997254,0.0,0.04988643096294254,0.051920;0.045684;0.049886,12.781560584919944,78237.707622325,,164.8934669494629,0,3903,10,False,nid005840,57897537
SEISMIC,n_postings=12000 summary_energy=0.8 centroid_fraction=0.4 max_fraction=6.0 doc_cut=15 nknn=0 n_knn=0 sorted=True query_cut=2 heap_factor=1.0,128,0.8274148091211888,0.9533692031770433,1454.1825505589368,67.69066725997254,0.0,0.05556406395044178,0.055275;0.059045;0.055564,14.236244927092436,70243.24216963557,,164.8934669494629,0,3903,10,True,nid005840,57897537
SEISMIC,n_postings=12000 summary_energy=0.8 centroid_fraction=0.4 max_fraction=6.0 doc_cut=15 nknn=0 n_knn=0 sorted=True query_cut=3 heap_factor=1.0,128,0.8601844734819369,0.9710479118626697,1454.1825505589368,67.69066725997254,0.0,0.06054284702986479,0.060543;0.064655;0.059372,15.511874719411935,64466.74035786118,,164.8934669494629,0,3903,10,True,nid005840,57897537
SEISMIC,n_postings=12000 summary_energy=0.8 centroid_fraction=0.4 max_fraction=6.0 doc_cut=15 nknn=0 n_knn=0 sorted=True query_cut=5 heap_factor=1.0,128,0.8725595695618755,0.9789905201127338,1454.1825505589368,67.69066725997254,0.0,0.069795873016119,0.069796;0.064163;0.072068,17.882621833491932,55920.21177381966,,164.8934669494629,0,3903,10,True,nid005840,57897537
SEISMIC,n_postings=12000 summary_energy=0.8 centroid_fraction=0.4 max_fraction=6.0 doc_cut=15 nknn=0 n_knn=0 sorted=False query_cut=5 heap_factor=1.0,128,0.8815782731232386,0.9789905201127338,1454.1825505589368,67.69066725997254,0.0,0.08005292294546962,0.080352;0.075695;0.080053,20.51061310414287,48755.24660927924,,164.8934669494629,0,3903,10,True,nid005840,57897537
SEISMIC,n_postings=36000 summary_energy=0.6 centroid_fraction=0.2 max_fraction=6.0 doc_cut=15 nknn=0 n_knn=0 sorted=False query_cut=2 heap_factor=1.0,128,0.8925698180886498,0.994619523443505,3220.770337468013,66.66718570800731,0.0,0.08778871601680294,0.087789;0.093273;0.087466,22.492625164438365,44459.01679724941,,164.89300918579102,0,3903,10,True,nid007028,58081634
SEISMIC,n_postings=36000 summary_energy=0.6 centroid_fraction=0.2 max_fraction=6.0 doc_cut=15 nknn=0 n_knn=0 sorted=True query_cut=3 heap_factor=1.0,128,0.9030745580322829,0.9984627209838586,3220.770337468013,66.66718570800731,0.0,0.09375665104016662,0.093757;0.099531;0.093737,24.021688711290448,41629.04665107867,,164.89300918579102,0,3903,10,True,nid007028,58081634
SEISMIC,n_postings=24000 summary_energy=0.8 centroid_fraction=0.4 max_fraction=6.0 doc_cut=15 nknn=0 n_knn=0 sorted=True query_cut=2 heap_factor=1.0,128,0.9253651037663336,0.9897514732257238,3354.4215320349904,66.77066923098755,0.0,0.09429637101129629,0.094296;0.095967;0.090624,24.159972075658796,41390.776316645715,,164.8906707763672,0,3903,10,True,nid005931,57897539
SEISMIC,n_postings=24000 summary_energy=0.6 centroid_fraction=0.4 max_fraction=6.0 doc_cut=15 nknn=0 n_knn=0 sorted=True query_cut=3 heap_factor=0.9,128,0.9400204970535485,0.9976940814757879,3354.467744941998,69.85028728697216,0.0,0.09458453499246389,0.094585;0.089621;0.096180,24.233803482568252,41264.673979852785,,164.89386749267578,0,3903,10,True,nid005367,58078630
SEISMIC,n_postings=24000 summary_energy=0.6 centroid_fraction=0.4 max_fraction=6.0 doc_cut=15 nknn=0 n_knn=0 sorted=True query_cut=4 heap_factor=0.9,128,0.9476556495003843,0.9984627209838586,3354.467744941998,69.85028728697216,0.0,0.10076518304413185,0.102009;0.095470;0.100765,25.817366908565678,38733.61693086603,,164.89386749267578,0,3903,10,True,nid005367,58078630
SEISMIC,n_postings=24000 summary_energy=0.6 centroid_fraction=0.4 max_fraction=6.0 doc_cut=15 nknn=0 n_knn=0 sorted=True query_cut=5 heap_factor=0.9,128,0.9512170125544454,0.9989751473225724,3354.467744941998,69.85028728697216,0.0,0.1047815759666264,0.104782;0.110129;0.102820,26.84641966862065,37248.91484017314,,164.89386749267578,0,3903,10,True,nid005367,58078630
SEISMIC,n_postings=24000 summary_energy=0.6 centroid_fraction=0.4 max_fraction=6.0 doc_cut=15 nknn=0 n_knn=0 sorted=True query_cut=6 heap_factor=0.9,128,0.9532410965923649,0.9989751473225724,3354.467744941998,69.85028728697216,0.0,0.10855313698993996,0.108553;0.114852;0.108376,27.812743271826786,35954.74168896387,,164.89386749267578,0,3903,10,True,nid005367,58078630
SEISMIC,n_postings=24000 summary_energy=0.6 centroid_fraction=0.4 max_fraction=6.0 doc_cut=15 nknn=0 n_knn=0 sorted=False query_cut=4 heap_factor=0.9,128,0.9547783756085063,0.9984627209838586,3354.467744941998,69.85028728697216,0.0,0.11264797201147303,0.112648;0.118282;0.109374,28.86189393068743,34647.76089890447,,164.89386749267578,0,3903,10,True,nid005367,58078630
SEISMIC,n_postings=24000 summary_energy=0.6 centroid_fraction=0.4 max_fraction=6.0 doc_cut=15 nknn=0 n_knn=0 sorted=False query_cut=5 heap_factor=0.9,128,0.9582628747117602,0.9989751473225724,3354.467744941998,69.85028728697216,0.0,0.11709939799038693,0.114554;0.117099;0.120824,30.00240788890262,33330.65811594018,,164.89386749267578,0,3903,10,True,nid005367,58078630
SEISMIC,n_postings=24000 summary_energy=0.8 centroid_fraction=0.4 max_fraction=6.0 doc_cut=15 nknn=0 n_knn=0 sorted=False query_cut=3 heap_factor=1.0,128,0.9589546502690238,0.9979502946451447,3354.4215320349904,66.77066923098755,0.0,0.1202238230034709,0.120224;0.119342;0.123743,30.802926723922855,32464.44758196817,,164.8906707763672,0,3903,10,True,nid005931,57897539
SEISMIC,n_postings=24000 summary_energy=0.6 centroid_fraction=0.4 max_fraction=6.0 doc_cut=15 nknn=0 n_knn=0 sorted=False query_cut=6 heap_factor=0.9,128,0.9602100947988726,0.9989751473225724,3354.467744941998,69.85028728697216,0.0,0.1237144049955532,0.122550;0.126816;0.123714,31.6972597990144,31548.46842726431,,164.89386749267578,0,3903,10,True,nid005367,58078630
SEISMIC,n_postings=24000 summary_energy=0.6 centroid_fraction=0.4 max_fraction=6.0 doc_cut=15 nknn=0 n_knn=0 sorted=False query_cut=7 heap_factor=0.9,128,0.961337432744043,0.9989751473225724,3354.467744941998,69.85028728697216,0.0,0.1342753599747084,0.134275;0.128134;0.135335,34.40311554565934,29067.134884130297,,164.89386749267578,0,3903,10,True,nid005367,58078630
SEISMIC,n_postings=24000 summary_energy=0.8 centroid_fraction=0.4 max_fraction=6.0 doc_cut=15 nknn=0 n_knn=0 sorted=True query_cut=5 heap_factor=1.0,128,0.9631821675634128,0.9992313604919293,3354.4215320349904,66.77066923098755,0.0,0.13521819000015967,0.135218;0.127582;0.137180,34.64468101464506,28864.459729829185,,164.8906707763672,0,3903,10,True,nid005931,57897539
SEISMIC,n_postings=24000 summary_energy=0.8 centroid_fraction=0.4 max_fraction=6.0 doc_cut=15 nknn=0 n_knn=0 sorted=False query_cut=5 heap_factor=1.0,128,0.9694337688957212,0.9992313604919293,3354.4215320349904,66.77066923098755,0.0,0.14264815297792666,0.145706;0.142648;0.139535,36.54833537738321,27361.027244453348,,164.8906707763672,0,3903,10,True,nid005931,57897539
SEISMIC,n_postings=36000 summary_energy=0.6 centroid_fraction=0.2 max_fraction=6.0 doc_cut=15 nknn=0 n_knn=0 sorted=True query_cut=4 heap_factor=0.9,128,0.9741993338457596,1.0,3220.770337468013,66.66718570800731,0.0,0.15644763800082728,0.161562;0.155736;0.156448,40.083945170593715,24947.6441439107,,164.89300918579102,0,3903,10,True,nid007028,58081634
SEISMIC,n_postings=36000 summary_energy=0.6 centroid_fraction=0.2 max_fraction=6.0 doc_cut=15 nknn=0 n_knn=0 sorted=True query_cut=5 heap_factor=0.9,128,0.9762746605175506,1.0,3220.770337468013,66.66718570800731,0.0,0.16954029398038983,0.165192;0.175325;0.169540,43.43845605441707,23021.076042556862,,164.89300918579102,0,3903,10,True,nid007028,58081634
SEISMIC,n_postings=36000 summary_energy=0.8 centroid_fraction=0.2 max_fraction=6.0 doc_cut=15 nknn=0 n_knn=0 sorted=True query_cut=3 heap_factor=1.0,128,0.9802203433256469,0.9994875736612862,3174.678242673981,64.87436845595948,0.0,0.17226318799657747,0.172263;0.180345;0.170534,44.13609736012746,22657.191274537105,,183.87897491455078,0,3903,10,True,nid007114,58078628
SEISMIC,n_postings=36000 summary_energy=0.6 centroid_fraction=0.2 max_fraction=6.0 doc_cut=15 nknn=0 n_knn=0 sorted=False query_cut=5 heap_factor=0.9,128,0.9810658467845247,1.0,3220.770337468013,66.66718570800731,0.0,0.18772275501396507,0.187723;0.185791;0.190090,48.09704202253781,20791.299380352946,,164.89300918579102,0,3903,10,True,nid007028,58081634
SEISMIC,n_postings=36000 summary_energy=0.8 centroid_fraction=0.2 max_fraction=6.0 doc_cut=15 nknn=0 n_knn=0 sorted=False query_cut=3 heap_factor=1.0,128,0.9834486292595439,0.9994875736612862,3174.678242673981,64.87436845595948,0.0,0.19106905005173758,0.190352;0.191069;0.195281,48.95440687976879,20427.1701719517,,183.87897491455078,0,3903,10,True,nid007114,58078628
SEISMIC,n_postings=36000 summary_energy=0.8 centroid_fraction=0.2 max_fraction=6.0 doc_cut=15 nknn=0 n_knn=0 sorted=True query_cut=5 heap_factor=1.0,128,0.9870099923136049,1.0,3174.678242673981,64.87436845595948,0.0,0.2105490270187147,0.210549;0.207304;0.219544,53.945433517477504,18537.250232237267,,183.90592193603516,0,3903,10,True,nid007114,58078628
SEISMIC,n_postings=48000 summary_energy=0.8 centroid_fraction=0.2 max_fraction=6.0 doc_cut=15 nknn=0 n_knn=0 sorted=True query_cut=3 heap_factor=1.0,128,0.9886497565974891,0.9997437868306431,4570.262169694994,62.093722063000314,0.0,0.216054521035403,0.216055;0.222423;0.210518,55.3560135883687,18064.88464715093,,224.1384391784668,0,3903,10,True,nid005309,58078629
SEISMIC,n_postings=36000 summary_energy=0.8 centroid_fraction=0.2 max_fraction=6.0 doc_cut=15 nknn=0 n_knn=0 sorted=False query_cut=5 heap_factor=1.0,128,0.9897514732257238,1.0,3174.678242673981,64.87436845595948,0.0,0.23234645300544798,0.235980;0.226127;0.232346,59.530221113361,16798.190587865283,,183.90997695922852,0,3903,10,True,nid007114,58078628
SEISMIC,n_postings=48000 summary_energy=0.8 centroid_fraction=0.2 max_fraction=6.0 doc_cut=15 nknn=0 n_knn=0 sorted=False query_cut=3 heap_factor=1.0,128,0.9912887522418652,0.9997437868306431,4570.262169694994,62.093722063000314,0.0,0.23472080699866638,0.230598;0.236830;0.234721,60.138561875138706,16628.265938188324,,224.14262771606445,0,3903,10,True,nid005309,58078629
