Model,Params,Threads,Recall,RR@10,IndexSec,LoadSec,ConvertSec,SearchSecMedian,SearchSecRuns,AmortizedUsPerQuery,QPS,LatencyUsSingleThread,PeakRSSGB,IndexBytes,NumQueries,K,ResultsOrdered,Host,JobID
GrassRMA,M=32 efC=200 ef=10,64,0.6672943221320974,0.8783314020857474,469.4670770659577,2.0169910399708897,0.0,0.04645558097399771,0.043876;0.045251;0.046456;0.047652;0.047798,13.457584291424599,74307.54126037442,,4.662147521972656,0,3452,10,True,nid007128,56586020
GrassRMA,M=32 efC=200 ef=20,64,0.7995944380069525,0.9342410196987254,469.4670770659577,2.0169910399708897,0.0,0.06939041998703033,0.069390;0.069611;0.069633;0.069294;0.068630,20.101512163102644,49747.50117732691,,4.662147521972656,0,3452,10,True,nid007128,56586020
GrassRMA,M=32 efC=200 ef=50,64,0.9031865585168019,0.9794322132097335,469.4670770659577,2.0169910399708897,0.0,0.11592893104534596,0.116181;0.116164;0.115929;0.115880;0.115607,33.58312023329837,29776.86388438913,,4.662147521972656,0,3452,10,True,nid007128,56586020
GrassRMA,M=32 efC=200 ef=100,64,0.9451332560834299,0.9930475086906141,469.4670770659577,2.0169910399708897,0.0,0.19218595302663743,0.192438;0.192331;0.192186;0.192131;0.191904,55.67379867515569,17961.770595801787,,4.662147521972656,0,3452,10,True,nid007128,56586020
GrassRMA,M=32 efC=200 ef=200,64,0.9663383545770567,0.9979721900347625,469.4670770659577,2.0169910399708897,0.0,0.33801024802960455,0.338463;0.338010;0.337983;0.337598;0.338257,97.9172213295494,10212.708106109425,,4.662147521972656,0,3452,10,True,nid007128,56586020
GrassRMA,M=32 efC=200 ef=400,64,0.9788818076477405,0.9994206257242179,469.4670770659577,2.0169910399708897,0.0,0.6112167870160192,0.611351;0.611217;0.610817;0.611543;0.610158,177.06164166165098,5647.750639920705,,4.662147521972656,0,3452,10,True,nid007128,56586020
GrassRMA,M=32 efC=200 ef=800,64,0.9861819235225956,0.9997103128621089,469.4670770659577,2.0169910399708897,0.0,1.132785547990352,1.134479;1.133832;1.131464;1.132786;1.131114,328.153403241701,3047.355261659289,,4.662147521972656,0,3452,10,True,nid007128,56586020
GrassRMA,M=32 efC=200 ef=1600,64,0.9912804171494786,1.0,469.4670770659577,2.0169910399708897,0.0,2.111087198019959,2.111087;2.112579;2.110762;2.110158;2.111752,611.5548082328966,1635.1764167949652,,4.662147521972656,0,3452,10,True,nid007128,56586020
GrassRMA,M=32 efC=200 ef=3200,64,0.9945538818076477,1.0,469.4670770659577,2.0169910399708897,0.0,3.8991796950576827,3.903340;3.894644;3.896989;3.903086;3.899180,1129.542205984265,885.3144173825856,,4.662147521972656,0,3452,10,True,nid007128,56586020
PyANNS,ef=80 budget=0.8,64,0.061964078794901505,0.126882966396292,1346.2521231869468,1.8674650769680738,0.0,0.017440687050111592,0.016854;0.017351;0.017441;0.018196;0.018491,5.052342714400809,197927.98242876062,,12.655120849609375,365348876,3452,10,True,nid005966,56586024
PyANNS,ef=150 budget=0.8,64,0.08928157589803012,0.1581691772885284,1346.2521231869468,1.8674650769680738,0.0,0.03147154697217047,0.030575;0.031060;0.031521;0.031637;0.031472,9.116902367372674,109686.37808152616,,12.655120849609375,365348876,3452,10,True,nid005966,56586024
PyANNS,ef=300 budget=0.8,64,0.12291425260718424,0.18366164542294322,1346.2521231869468,1.8674650769680738,0.0,0.05630115093663335,0.055707;0.056301;0.056873;0.055195;0.056643,16.30971927480688,61313.13379162014,,12.655120849609375,365348876,3452,10,True,nid005966,56586024
PyANNS,ef=600 budget=0.8,64,0.15211471610660487,0.1969872537659328,1346.2521231869468,1.8674650769680738,0.0,0.11076105199754238,0.109571;0.110761;0.110805;0.109255;0.111078,32.08605214297288,31166.190079854015,,12.664539337158203,365348876,3452,10,True,nid005966,56586024
PyANNS,ef=80 budget=0.5,64,0.6554171494785631,0.8180764774044033,1346.2521231869468,1.8674650769680738,0.0,0.092159194056876,0.092159;0.092079;0.091907;0.093486;0.092460,26.69733315668482,37456.92478462431,,12.655120849609375,365348876,3452,10,True,nid005966,56586024
PyANNS,ef=150 budget=0.5,64,0.7438876013904983,0.8803592120509849,1346.2521231869468,1.8674650769680738,0.0,0.14712713088374585,0.147494;0.144845;0.147127;0.143731;0.147732,42.62083745183831,23462.701809414313,,12.655120849609375,365348876,3452,10,True,nid005966,56586024
PyANNS,ef=300 budget=0.5,64,0.818539976825029,0.9281575898030128,1346.2521231869468,1.8674650769680738,0.0,0.24663606693502516,0.244721;0.246636;0.250345;0.239083;0.248360,71.44729633111969,13996.330880955093,,12.655120849609375,365348876,3452,10,True,nid005966,56586024
PyANNS,ef=600 budget=0.5,64,0.8692062572421785,0.9571263035921205,1346.2521231869468,1.8674650769680738,0.0,0.4632236959878355,0.462780;0.468977;0.463447;0.462266;0.463224,134.18994669404273,7452.123088475705,,12.664539337158203,365348876,3452,10,True,nid005966,56586024
PyANNS,ef=80 budget=0.3,64,0.8723638470451912,0.9542294322132098,1346.2521231869468,1.8674650769680738,0.0,0.0981866039801389,0.096425;0.099551;0.100623;0.098187;0.096925,28.44339628625113,35157.54553134629,,12.655120849609375,365348876,3452,10,True,nid005966,56586024
PyANNS,ef=80 budget=0.2,64,0.899188876013905,0.9707415990730012,1346.2521231869468,1.8674650769680738,0.0,0.09742370701860636,0.095312;0.099520;0.096529;0.098871;0.097424,28.22239484895897,35432.854134165966,,12.655120849609375,365348876,3452,10,True,nid005966,56586024
PyANNS,ef=80 budget=0.15,64,0.9084588644264194,0.9771147161066048,1346.2521231869468,1.8674650769680738,0.0,0.09736387198790908,0.094737;0.099709;0.097364;0.096359;0.097623,28.20506141017065,35454.629417662014,,12.655120849609375,365348876,3452,10,True,nid005966,56586024
PyANNS,ef=80 budget=0.1,64,0.9108342989571263,0.977694090382387,1346.2521231869468,1.8674650769680738,0.0,0.09632360190153122,0.093689;0.095532;0.097463;0.096324;0.099527,27.903708546214144,35837.53028181897,,12.655120849609375,365348876,3452,10,True,nid005966,56586024
PyANNS,ef=80 budget=0.07,64,0.9159907300115875,0.9837775202780996,1346.2521231869468,1.8674650769680738,0.0,0.09631718904711306,0.093855;0.096060;0.096317;0.098561;0.098447,27.901850824772033,35839.91636541087,,12.655120849609375,365348876,3452,10,True,nid005966,56586024
PyANNS,ef=80 budget=0.05,64,0.9162804171494786,0.9826187717265353,1346.2521231869468,1.8674650769680738,0.0,0.09741391788702458,0.094994;0.095870;0.097414;0.100083;0.099084,28.219559063448603,35436.41478421434,,12.655120849609375,365348876,3452,10,True,nid005966,56586024
PyANNS,ef=80 budget=0.005,64,0.9164831981460023,0.9831981460023175,1346.2521231869468,1.8674650769680738,0.0,0.10639345599338412,0.106393;0.106365;0.106351;0.106803;0.106560,30.820815757063766,32445.604551229695,,12.655120849609375,365348876,3452,10,True,nid005966,56586024
PyANNS,ef=80 budget=0.01,64,0.9167728852838934,0.9834878331402086,1346.2521231869468,1.8674650769680738,0.0,0.10566188907250762,0.105808;0.105423;0.106001;0.105529;0.105662,30.608890229579266,32670.246862907763,,12.655120849609375,365348876,3452,10,True,nid005966,56586024
PyANNS,ef=80 budget=0.03,64,0.91720741599073,0.9837775202780996,1346.2521231869468,1.8674650769680738,0.0,0.1002099639736116,0.100522;0.100082;0.099951;0.100252;0.100210,29.029537651683544,34447.672298425525,,12.655120849609375,365348876,3452,10,True,nid005966,56586024
PyANNS,ef=80 budget=0.02,64,0.917468134414832,0.9834878331402086,1346.2521231869468,1.8674650769680738,0.0,0.10267946298699826,0.102679;0.103283;0.102602;0.102393;0.102961,29.74491975289637,33619.18634534647,,12.655120849609375,365348876,3452,10,True,nid005966,56586024
PyANNS,ef=150 budget=0.3,64,0.9248841251448435,0.9811703360370799,1346.2521231869468,1.8674650769680738,0.0,0.14167061797343194,0.138606;0.145665;0.141566;0.141671;0.142052,41.04015584398376,24366.379206783495,,12.655120849609375,365348876,3452,10,True,nid005966,56586024
PyANNS,ef=150 budget=0.2,64,0.9391367323290846,0.9881228273464658,1346.2521231869468,1.8674650769680738,0.0,0.13930469995830208,0.137106;0.139305;0.141391;0.139012;0.140151,40.35477982569585,24780.212017493188,,12.655120849609375,365348876,3452,10,True,nid005966,56586024
PyANNS,ef=150 budget=0.15,64,0.9450753186558517,0.9915990730011588,1346.2521231869468,1.8674650769680738,0.0,0.14062122197356075,0.140889;0.140262;0.140427;0.140621;0.141258,40.73615932026673,24548.21506706176,,12.655120849609375,365348876,3452,10,True,nid005966,56586024
PyANNS,ef=150 budget=0.1,64,0.9466685979142526,0.9930475086906141,1346.2521231869468,1.8674650769680738,0.0,0.142934990930371,0.140666;0.142935;0.145333;0.144389;0.141278,41.406428427106306,24150.839325841487,,12.655120849609375,365348876,3452,10,True,nid005966,56586024
PyANNS,ef=150 budget=0.05,64,0.9474507531865585,0.9936268829663963,1346.2521231869468,1.8674650769680738,0.0,0.15742496401071548,0.157223;0.157480;0.157425;0.157626;0.157288,45.60398725687007,21927.90718862754,,12.655120849609375,365348876,3452,10,True,nid005966,56586024
PyANNS,ef=150 budget=0.005,64,0.9479432213209733,0.9939165701042874,1346.2521231869468,1.8674650769680738,0.0,0.17001530400011688,0.170050;0.170015;0.169869;0.170299;0.169708,49.25124681347535,20304.05451027883,,12.655120849609375,365348876,3452,10,True,nid005966,56586024
PyANNS,ef=150 budget=0.02,64,0.9484356894553881,0.9942062572421785,1346.2521231869468,1.8674650769680738,0.0,0.16610124800354242,0.166211;0.166101;0.166012;0.165257;0.166648,48.117395134282276,20782.504896810766,,12.655120849609375,365348876,3452,10,True,nid005966,56586024
PyANNS,ef=150 budget=0.03,64,0.948638470451912,0.9944959443800695,1346.2521231869468,1.8674650769680738,0.0,0.16292685398366302,0.163871;0.162219;0.162560;0.163028;0.162927,47.19781401612486,21187.421935650575,,12.655120849609375,365348876,3452,10,True,nid005966,56586024
PyANNS,ef=150 budget=0.07,64,0.9486674391657011,0.9947856315179606,1346.2521231869468,1.8674650769680738,0.0,0.15051141998264939,0.150551;0.150150;0.150434;0.150928;0.150511,43.60122247469565,22935.136751735772,,12.655120849609375,365348876,3452,10,True,nid005966,56586024
PyANNS,ef=150 budget=0.01,64,0.9486964078794902,0.9942062572421785,1346.2521231869468,1.8674650769680738,0.0,0.16919739090371877,0.168765;0.169197;0.169202;0.169653;0.168881,49.01430790953615,20402.20585886191,,12.655120849609375,365348876,3452,10,True,nid005966,56586024
PyANNS,ef=300 budget=0.3,64,0.9562282734646582,0.9936268829663963,1346.2521231869468,1.8674650769680738,0.0,0.24789524800144136,0.249267;0.246300;0.245520;0.249916;0.247895,71.81206489033643,13925.236678921448,,12.655120849609375,365348876,3452,10,True,nid005966,56586024
PyANNS,ef=300 budget=0.2,64,0.9626013904982619,0.9953650057937428,1346.2521231869468,1.8674650769680738,0.0,0.24415779195260257,0.241943;0.245859;0.240130;0.244158;0.246088,70.72937194455463,14138.39784670941,,12.655120849609375,365348876,3452,10,True,nid005966,56586024
PyANNS,ef=300 budget=0.15,64,0.9670625724217845,0.9979721900347625,1346.2521231869468,1.8674650769680738,0.0,0.24574761895928532,0.248866;0.245192;0.248790;0.245527;0.245748,71.18992437986249,14046.93162285294,,12.655120849609375,365348876,3452,10,True,nid005966,56586024
PyANNS,ef=300 budget=0.07,64,0.9671784472769409,0.9982618771726536,1346.2521231869468,1.8674650769680738,0.0,0.2731381480116397,0.273179;0.272089;0.273614;0.272896;0.273138,79.12460834636144,12638.293204847,,12.655120849609375,365348876,3452,10,True,nid005966,56586024
PyANNS,ef=300 budget=0.05,64,0.9672653534183082,0.9979721900347625,1346.2521231869468,1.8674650769680738,0.0,0.28677362797316164,0.286774;0.288066;0.287362;0.286708;0.286004,83.07463151018587,12037.369071897585,,12.655120849609375,365348876,3452,10,True,nid005966,56586024
PyANNS,ef=300 budget=0.005,64,0.9676129779837775,0.9982618771726536,1346.2521231869468,1.8674650769680738,0.0,0.3130209289956838,0.313984;0.313021;0.314012;0.312301;0.312789,90.67813702076587,11028.01659644809,,12.655120849609375,365348876,3452,10,True,nid005966,56586024
PyANNS,ef=300 budget=0.01,64,0.9676709154113557,0.9982618771726536,1346.2521231869468,1.8674650769680738,0.0,0.3105833720183,0.310079;0.310882;0.311255;0.310583;0.310134,89.97200811654113,11114.567974349262,,12.655120849609375,365348876,3452,10,True,nid005966,56586024
PyANNS,ef=300 budget=0.03,64,0.9676998841251448,0.9985515643105446,1346.2521231869468,1.8674650769680738,0.0,0.2983596170088276,0.299255;0.297871;0.297505;0.298360;0.298945,86.43094351356535,11569.930390069729,,12.655120849609375,365348876,3452,10,True,nid005966,56586024
PyANNS,ef=300 budget=0.02,64,0.9677867902665122,0.9982618771726536,1346.2521231869468,1.8674650769680738,0.0,0.3047793209552765,0.304690;0.305784;0.304820;0.304779;0.304102,88.29064917592018,11326.227741371433,,12.655120849609375,365348876,3452,10,True,nid005966,56586024
PyANNS,ef=300 budget=0.1,64,0.9679606025492468,0.9982618771726536,1346.2521231869468,1.8674650769680738,0.0,0.25315325905103236,0.253807;0.252094;0.253444;0.252916;0.253153,73.33524306229211,13636.008530722183,,12.655120849609375,365348876,3452,10,True,nid005966,56586024
PyANNS,ef=600 budget=0.3,64,0.9733198146002318,0.9988412514484357,1346.2521231869468,1.8674650769680738,0.0,0.4910343310330063,0.485838;0.496574;0.484698;0.500013;0.491034,142.24632996321156,7030.058352005461,,12.664539337158203,365348876,3452,10,True,nid005966,56586024
PyANNS,ef=600 budget=0.2,64,0.9778679026651217,1.0,1346.2521231869468,1.8674650769680738,0.0,0.5082103869644925,0.491834;0.509293;0.496672;0.508210;0.511066,147.22201244626086,6792.462508723151,,12.664539337158203,365348876,3452,10,True,nid005966,56586024
PyANNS,ef=600 budget=0.15,64,0.9797798377752028,1.0,1346.2521231869468,1.8674650769680738,0.0,0.5049553429707885,0.504955;0.502036;0.502516;0.505815;0.506953,146.2790680680152,6836.248092140095,,12.664539337158203,365348876,3452,10,True,nid005966,56586024
PyANNS,ef=600 budget=0.05,64,0.9798667439165701,0.9997103128621089,1346.2521231869468,1.8674650769680738,0.0,0.5282278300728649,0.525716;0.528684;0.524684;0.548331;0.528228,153.02080824822275,6535.058933801015,,12.664539337158203,365348876,3452,10,True,nid005966,56586024
PyANNS,ef=600 budget=0.005,64,0.9799246813441483,0.9997103128621089,1346.2521231869468,1.8674650769680738,0.0,0.5959335719235241,0.597202;0.596589;0.595770;0.594941;0.595934,172.63429082373239,5792.5919307714275,,12.664539337158203,365348876,3452,10,True,nid005966,56586024
PyANNS,ef=600 budget=0.02,64,0.9799246813441483,0.9997103128621089,1346.2521231869468,1.8674650769680738,0.0,0.5740537589881569,0.573796;0.573465;0.574054;0.574848;0.574559,166.29599043689367,6013.37408901318,,12.664539337158203,365348876,3452,10,True,nid005966,56586024
PyANNS,ef=600 budget=0.01,64,0.9799536500579374,0.9997103128621089,1346.2521231869468,1.8674650769680738,0.0,0.5897527070483193,0.588594;0.592004;0.589353;0.591201;0.589753,170.84377376834277,5853.30081361911,,12.664539337158203,365348876,3452,10,True,nid005966,56586024
PyANNS,ef=600 budget=0.03,64,0.9799826187717265,0.9997103128621089,1346.2521231869468,1.8674650769680738,0.0,0.5553593119839206,0.554361;0.556867;0.553801;0.557271;0.555359,160.88044958978003,6215.795657892824,,12.664539337158203,365348876,3452,10,True,nid005966,56586024
