Model,Params,Threads,Recall,RR@10,IndexSec,LoadSec,ConvertSec,SearchSecMedian,SearchSecRuns,AmortizedUsPerQuery,QPS,LatencyUsSingleThread,PeakRSSGB,IndexBytes,NumQueries,K,ResultsOrdered,Host,JobID
SparseHNSW_a0.75_b5,"M=32 efC=200 ef=10 alpha=0.75 beta=5",64,0.9257821553,0.9731,148.8118,2.9786,0.0000,0.039621,"0.040138;0.040102;0.039621;0.039467;0.039416",11.477694,87125.51,,3.93,0,3452,10,True,nid006805,56908044
SparseHNSW_a0.75_b5,"M=32 efC=200 ef=20 alpha=0.75 beta=5",64,0.9257821553,0.9731,148.8118,2.9786,0.0000,0.039505,"0.039505;0.039532;0.039582;0.039428;0.039434",11.444090,87381.34,,3.93,0,3452,10,True,nid006805,56908044
SparseHNSW_a0.75_b5,"M=32 efC=200 ef=50 alpha=0.75 beta=5",64,0.9257821553,0.9731,148.8118,2.9786,0.0000,0.039423,"0.039668;0.039261;0.039272;0.039423;0.039431",11.420336,87563.10,,3.93,0,3452,10,True,nid006805,56908044
SparseHNSW_a0.75_b5,"M=32 efC=200 ef=100 alpha=0.75 beta=5",64,0.9543163384,0.9890,148.8118,2.9786,0.0000,0.069541,"0.069147;0.069541;0.069787;0.069883;0.069258",20.145133,49639.78,,3.93,0,3452,10,True,nid006805,56908044
SparseHNSW_a0.75_b5,"M=32 efC=200 ef=200 alpha=0.75 beta=5",64,0.9723059096,0.9971,148.8118,2.9786,0.0000,0.123211,"0.122991;0.123283;0.123211;0.123756;0.123000",35.692642,28016.98,,3.93,0,3452,10,True,nid006805,56908044
SparseHNSW_a0.75_b5,"M=32 efC=200 ef=400 alpha=0.75 beta=5",64,0.9803012746,0.9988,148.8118,2.9786,0.0000,0.226026,"0.226844;0.226855;0.225549;0.225671;0.226026",65.476825,15272.58,,3.93,0,3452,10,True,nid006805,56908044
SparseHNSW_a0.75_b5,"M=32 efC=200 ef=800 alpha=0.75 beta=5",64,0.9851969873,1.0000,148.8118,2.9786,0.0000,0.426994,"0.426994;0.427909;0.426568;0.427361;0.426375",123.694670,8084.42,,3.93,0,3452,10,True,nid006805,56908044
SparseHNSW_a0.75_b5,"M=32 efC=200 ef=1600 alpha=0.75 beta=5",64,0.9885863268,1.0000,148.8118,2.9786,0.0000,0.819256,"0.819315;0.818468;0.819256;0.820557;0.819050",237.327926,4213.58,,3.93,0,3452,10,True,nid006805,56908044
SparseHNSW_a0.75_b5,"M=32 efC=200 ef=3200 alpha=0.75 beta=5",64,0.9907879490,1.0000,148.8118,2.9786,0.0000,1.544545,"1.543379;1.544545;1.543590;1.547047;1.546046",447.434820,2234.96,,3.93,0,3452,10,True,nid006805,56908044
SparseHNSW_a0.75_b6,"M=32 efC=200 ef=10 alpha=0.75 beta=6",64,0.9369640788,0.9786,148.8015,1.0600,0.0000,0.046055,"0.046274;0.046687;0.046055;0.046016;0.045964",13.341541,74953.86,,3.92,0,3452,10,True,nid006805,56908044
