Model,Params,Threads,Recall,RR@10,IndexSec,LoadSec,ConvertSec,SearchSecMedian,SearchSecRuns,AmortizedUsPerQuery,QPS,LatencyUsSingleThread,PeakRSSGB,IndexBytes,NumQueries,K,ResultsOrdered,Host,JobID
SparseHNSW_a0.6_b1,"M=32 efC=200 ef=10 alpha=0.6 beta=1 q=u8",64,0.5643684820,0.4729,110.9134,3.0480,0.0000,0.006080,"0.007253;0.006809;0.006080;0.005959;0.005923",1.761298,567763.16,,4.24,0,3452,10,True,nid004439,56980331
SparseHNSW_a0.6_b1,"M=32 efC=200 ef=20 alpha=0.6 beta=1 q=u8",64,0.6296060255,0.5274,110.9134,3.0480,0.0000,0.010437,"0.010535;0.010560;0.010437;0.010385;0.010351",3.023465,330746.38,,4.24,0,3452,10,True,nid004439,56980331
SparseHNSW_a0.6_b1,"M=32 efC=200 ef=25 alpha=0.6 beta=1 q=u8",64,0.6448725377,0.5371,110.9134,3.0480,0.0000,0.012354,"0.012515;0.012379;0.012350;0.012352;0.012354",3.578795,279423.67,,4.24,0,3452,10,True,nid004439,56980331
SparseHNSW_a0.6_b1,"M=32 efC=200 ef=30 alpha=0.6 beta=1 q=u8",64,0.6550405562,0.5453,110.9134,3.0480,0.0000,0.014228,"0.014349;0.014228;0.014242;0.014179;0.014165",4.121669,242620.19,,4.24,0,3452,10,True,nid004439,56980331
SparseHNSW_a0.6_b1,"M=32 efC=200 ef=35 alpha=0.6 beta=1 q=u8",64,0.6624855156,0.5524,110.9134,3.0480,0.0000,0.016110,"0.016194;0.016153;0.016080;0.016021;0.016110",4.666860,214276.85,,4.24,0,3452,10,True,nid004439,56980331
SparseHNSW_a0.6_b1,"M=32 efC=200 ef=40 alpha=0.6 beta=1 q=u8",64,0.6679026651,0.5552,110.9134,3.0480,0.0000,0.017887,"0.017931;0.017887;0.017887;0.017908;0.017873",5.181634,192989.32,,4.24,0,3452,10,True,nid004439,56980331
SparseHNSW_a0.6_b1,"M=32 efC=200 ef=50 alpha=0.6 beta=1 q=u8",64,0.6783603708,0.5639,110.9134,3.0480,0.0000,0.021816,"0.021852;0.021816;0.021777;0.021712;0.021849",6.319815,158232.49,,4.24,0,3452,10,True,nid004439,56980331
SparseHNSW_a0.6_b1,"M=32 efC=200 ef=60 alpha=0.6 beta=1 q=u8",64,0.6863557358,0.5719,110.9134,3.0480,0.0000,0.025529,"0.025582;0.025606;0.025518;0.025529;0.025510",7.395423,135218.77,,4.24,0,3452,10,True,nid004439,56980331
SparseHNSW_a0.6_b1,"M=32 efC=200 ef=75 alpha=0.6 beta=1 q=u8",64,0.6931054461,0.5806,110.9134,3.0480,0.0000,0.031231,"0.031231;0.031104;0.031134;0.031297;0.031368",9.047219,110531.20,,4.24,0,3452,10,True,nid004439,56980331
SparseHNSW_a0.6_b1,"M=32 efC=200 ef=100 alpha=0.6 beta=1 q=u8",64,0.7017091541,0.5888,110.9134,3.0480,0.0000,0.040401,"0.040401;0.040651;0.040321;0.040381;0.040414",11.703650,85443.43,,4.24,0,3452,10,True,nid004439,56980331
