Model,Params,Threads,Recall,RR@10,IndexSec,LoadSec,ConvertSec,SearchSecMedian,SearchSecRuns,AmortizedUsPerQuery,QPS,LatencyUsSingleThread,PeakRSSGB,IndexBytes,NumQueries,K,ResultsOrdered,Host,JobID
SparseHNSW_a0.5_b1,"M=32 efC=200 ef=10 alpha=0.5 beta=1",64,0.4855446118,0.4173,85.3566,2.9580,0.0000,0.005690,"0.006818;0.006234;0.005690;0.005568;0.005530",1.648320,606678.38,,3.92,0,3452,10,True,nid007017,56908033
SparseHNSW_a0.5_b1,"M=32 efC=200 ef=20 alpha=0.5 beta=1",64,0.5452491309,0.4657,85.3566,2.9580,0.0000,0.009843,"0.010078;0.009931;0.009843;0.009802;0.009777",2.851390,350706.09,,3.92,0,3452,10,True,nid007017,56908033
SparseHNSW_a0.5_b1,"M=32 efC=200 ef=50 alpha=0.5 beta=1",64,0.5946407879,0.5162,85.3566,2.9580,0.0000,0.021089,"0.021387;0.021203;0.021089;0.020832;0.020987",6.109212,163687.23,,3.92,0,3452,10,True,nid007017,56908033
SparseHNSW_a0.5_b1,"M=32 efC=200 ef=100 alpha=0.5 beta=1",64,0.6112688297,0.5301,85.3566,2.9580,0.0000,0.038494,"0.038807;0.038540;0.038494;0.038387;0.038441",11.151217,89676.31,,3.92,0,3452,10,True,nid007017,56908033
SparseHNSW_a0.5_b1,"M=32 efC=200 ef=200 alpha=0.5 beta=1",64,0.6228563152,0.5422,85.3566,2.9580,0.0000,0.070853,"0.071093;0.071101;0.070765;0.070687;0.070853",20.525203,48720.59,,3.92,0,3452,10,True,nid007017,56908033
SparseHNSW_a0.5_b1,"M=32 efC=200 ef=400 alpha=0.5 beta=1",64,0.6277809965,0.5489,85.3566,2.9580,0.0000,0.132642,"0.132817;0.132515;0.132642;0.132477;0.132647",38.424681,26024.94,,3.92,0,3452,10,True,nid007017,56908033
SparseHNSW_a0.5_b1,"M=32 efC=200 ef=800 alpha=0.5 beta=1",64,0.6301274623,0.5506,85.3566,2.9580,0.0000,0.253826,"0.253826;0.253754;0.254325;0.253886;0.253808",73.530127,13599.87,,3.92,0,3452,10,True,nid007017,56908033
SparseHNSW_a0.5_b1,"M=32 efC=200 ef=1600 alpha=0.5 beta=1",64,0.6312282735,0.5528,85.3566,2.9580,0.0000,0.493723,"0.493219;0.494237;0.494567;0.493723;0.493287",143.025203,6991.77,,3.92,0,3452,10,True,nid007017,56908033
SparseHNSW_a0.5_b1,"M=32 efC=200 ef=3200 alpha=0.5 beta=1",64,0.6324159907,0.5553,85.3566,2.9580,0.0000,0.953396,"0.953396;0.954576;0.953660;0.952762;0.953378",276.186559,3620.74,,3.92,0,3452,10,True,nid007017,56908033
SparseHNSW_a0.5_b2,"M=32 efC=200 ef=10 alpha=0.5 beta=2",64,0.6794901506,0.8919,85.2201,1.0456,0.0000,0.010735,"0.011883;0.010995;0.010735;0.010651;0.010698",3.109791,321564.97,,3.93,0,3452,10,True,nid007017,56908033
SparseHNSW_a0.5_b2,"M=32 efC=200 ef=20 alpha=0.5 beta=2",64,0.6794901506,0.8919,85.2201,1.0456,0.0000,0.010568,"0.010621;0.010562;0.010576;0.010568;0.010546",3.061414,326646.48,,3.93,0,3452,10,True,nid007017,56908033
SparseHNSW_a0.5_b2,"M=32 efC=200 ef=50 alpha=0.5 beta=2",64,0.7375144844,0.9508,85.2201,1.0456,0.0000,0.021913,"0.022149;0.022042;0.021865;0.021913;0.021844",6.347914,157532.06,,3.93,0,3452,10,True,nid007017,56908033
SparseHNSW_a0.5_b2,"M=32 efC=200 ef=100 alpha=0.5 beta=2",64,0.7624275782,0.9780,85.2201,1.0456,0.0000,0.039492,"0.039587;0.039492;0.039412;0.039369;0.039565",11.440324,87410.11,,3.93,0,3452,10,True,nid007017,56908033
SparseHNSW_a0.5_b2,"M=32 efC=200 ef=200 alpha=0.5 beta=2",64,0.7755504056,0.9916,85.2201,1.0456,0.0000,0.071941,"0.071584;0.071820;0.072136;0.071941;0.072129",20.840382,47983.76,,3.93,0,3452,10,True,nid007017,56908033
SparseHNSW_a0.5_b2,"M=32 efC=200 ef=400 alpha=0.5 beta=2",64,0.7836037080,0.9971,85.2201,1.0456,0.0000,0.133795,"0.133795;0.134252;0.134420;0.133583;0.133492",38.758691,25800.67,,3.93,0,3452,10,True,nid007017,56908033
