Model,Params,Threads,Recall,RR@10,IndexSec,LoadSec,ConvertSec,SearchSecMedian,SearchSecRuns,AmortizedUsPerQuery,QPS,LatencyUsSingleThread,PeakRSSGB,IndexBytes,NumQueries,K,ResultsOrdered,Host,JobID
SparseHNSW_a0.5_b1_p0,"M=32 efC=200 ef=10 alpha=0.5 beta=1 q=u8 seedT=8 seedH=8 seedS=4",64,0.6064889919,0.5252,85.9526,2.9836,0.0000,0.012454,"0.013420;0.012454;0.012190",3.607764,277180.02,,4.17,0,3452,10,True,nid007071,57248609
SparseHNSW_a0.5_b1_p0,"M=32 efC=200 ef=20 alpha=0.5 beta=1 q=u8 seedT=8 seedH=8 seedS=4",64,0.6064889919,0.5252,85.9526,2.9836,0.0000,0.012075,"0.012075;0.012159;0.011999",3.497972,285879.92,,4.17,0,3452,10,True,nid007071,57248609
SparseHNSW_a0.5_b1_p0,"M=32 efC=200 ef=50 alpha=0.5 beta=1 q=u8 seedT=8 seedH=8 seedS=4",64,0.6138760139,0.5324,85.9526,2.9836,0.0000,0.017972,"0.018003;0.017972;0.017940",5.206257,192076.56,,4.17,0,3452,10,True,nid007071,57248609
SparseHNSW_a0.5_b1_p0,"M=32 efC=200 ef=100 alpha=0.5 beta=1 q=u8 seedT=8 seedH=8 seedS=4",64,0.6226825029,0.5396,85.9526,2.9836,0.0000,0.034472,"0.034472;0.034439;0.034478",9.986095,100139.24,,4.17,0,3452,10,True,nid007071,57248609
SparseHNSW_a0.5_b1_p0,"M=32 efC=200 ef=200 alpha=0.5 beta=1 q=u8 seedT=8 seedH=8 seedS=4",64,0.6272885284,0.5460,85.9526,2.9836,0.0000,0.064713,"0.064645;0.064713;0.064751",18.746524,53343.22,,4.17,0,3452,10,True,nid007071,57248609
SparseHNSW_a0.5_b1_p0,"M=32 efC=200 ef=400 alpha=0.5 beta=1 q=u8 seedT=8 seedH=8 seedS=4",64,0.6291714948,0.5499,85.9526,2.9836,0.0000,0.122532,"0.122516;0.122642;0.122532",35.495944,28172.23,,4.17,0,3452,10,True,nid007071,57248609
SparseHNSW_a0.5_b1_p0,"M=32 efC=200 ef=800 alpha=0.5 beta=1 q=u8 seedT=8 seedH=8 seedS=4",64,0.6306199305,0.5517,85.9526,2.9836,0.0000,0.235049,"0.235049;0.235229;0.234368",68.090672,14686.30,,4.17,0,3452,10,True,nid007071,57248609
SparseHNSW_a0.5_b1_p0,"M=32 efC=200 ef=1600 alpha=0.5 beta=1 q=u8 seedT=8 seedH=8 seedS=4",64,0.6314600232,0.5526,85.9526,2.9836,0.0000,0.458014,"0.457797;0.458014;0.458117",132.680765,7536.89,,4.17,0,3452,10,True,nid007071,57248609
SparseHNSW_a0.5_b1_p0,"M=32 efC=200 ef=3200 alpha=0.5 beta=1 q=u8 seedT=8 seedH=8 seedS=4",64,0.6324739282,0.5546,85.9526,2.9836,0.0000,0.880901,"0.880434;0.880901;0.881568",255.185689,3918.72,,4.17,0,3452,10,True,nid007071,57248609
SparseHNSW_a0.5_b2_p0,"M=32 efC=200 ef=10 alpha=0.5 beta=2 q=u8 seedT=8 seedH=8 seedS=4",64,0.7527230591,0.9771,85.9526,2.9836,0.0000,0.013318,"0.013866;0.013318;0.013082",3.858053,259198.08,,4.17,0,3452,10,True,nid007071,57248609
SparseHNSW_a0.5_b2_p0,"M=32 efC=200 ef=20 alpha=0.5 beta=2 q=u8 seedT=8 seedH=8 seedS=4",64,0.7527230591,0.9771,85.9526,2.9836,0.0000,0.012987,"0.012997;0.012987;0.012954",3.762167,265804.27,,4.17,0,3452,10,True,nid007071,57248609
SparseHNSW_a0.5_b2_p0,"M=32 efC=200 ef=50 alpha=0.5 beta=2 q=u8 seedT=8 seedH=8 seedS=4",64,0.7635863268,0.9858,85.9526,2.9836,0.0000,0.018982,"0.018969;0.018982;0.019408",5.498841,181856.50,,4.17,0,3452,10,True,nid007071,57248609
SparseHNSW_a0.5_b2_p0,"M=32 efC=200 ef=100 alpha=0.5 beta=2 q=u8 seedT=8 seedH=8 seedS=4",64,0.7763325608,0.9945,85.9526,2.9836,0.0000,0.035362,"0.035398;0.035362;0.035184",10.243917,97618.91,,4.17,0,3452,10,True,nid007071,57248609
SparseHNSW_a0.5_b2_p0,"M=32 efC=200 ef=200 alpha=0.5 beta=2 q=u8 seedT=8 seedH=8 seedS=4",64,0.7824449594,0.9986,85.9526,2.9836,0.0000,0.065747,"0.065775;0.065596;0.065747",19.046060,52504.30,,4.17,0,3452,10,True,nid007071,57248609
SparseHNSW_a0.5_b2_p0,"M=32 efC=200 ef=400 alpha=0.5 beta=2 q=u8 seedT=8 seedH=8 seedS=4",64,0.7851100811,0.9988,85.9526,2.9836,0.0000,0.123215,"0.123095;0.123291;0.123215",35.693801,28016.07,,4.17,0,3452,10,True,nid007071,57248609
SparseHNSW_a0.5_b2_p0,"M=32 efC=200 ef=800 alpha=0.5 beta=2 q=u8 seedT=8 seedH=8 seedS=4",64,0.7874275782,0.9994,85.9526,2.9836,0.0000,0.235187,"0.235174;0.235187;0.235576",68.130649,14677.68,,4.17,0,3452,10,True,nid007071,57248609
SparseHNSW_a0.5_b2_p0,"M=32 efC=200 ef=1600 alpha=0.5 beta=2 q=u8 seedT=8 seedH=8 seedS=4",64,0.7889629200,0.9994,85.9526,2.9836,0.0000,0.458436,"0.458303;0.458915;0.458436",132.803013,7529.95,,4.17,0,3452,10,True,nid007071,57248609
SparseHNSW_a0.5_b2_p0,"M=32 efC=200 ef=3200 alpha=0.5 beta=2 q=u8 seedT=8 seedH=8 seedS=4",64,0.7904403244,0.9994,85.9526,2.9836,0.0000,0.881975,"0.881117;0.881975;0.882410",255.496813,3913.94,,4.17,0,3452,10,True,nid007071,57248609
SparseHNSW_a0.5_b3_p0,"M=32 efC=200 ef=10 alpha=0.5 beta=3 q=u8 seedT=8 seedH=8 seedS=4",64,0.8065469293,0.9777,85.9526,2.9836,0.0000,0.013719,"0.014448;0.013719;0.013509",3.974218,251621.84,,4.17,0,3452,10,True,nid007071,57248609
SparseHNSW_a0.5_b3_p0,"M=32 efC=200 ef=20 alpha=0.5 beta=3 q=u8 seedT=8 seedH=8 seedS=4",64,0.8065469293,0.9777,85.9526,2.9836,0.0000,0.013322,"0.013330;0.013314;0.013322",3.859212,259120.25,,4.17,0,3452,10,True,nid007071,57248609
SparseHNSW_a0.5_b3_p0,"M=32 efC=200 ef=50 alpha=0.5 beta=3 q=u8 seedT=8 seedH=8 seedS=4",64,0.8193511008,0.9867,85.9526,2.9836,0.0000,0.019330,"0.019330;0.019343;0.019243",5.599652,178582.51,,4.17,0,3452,10,True,nid007071,57248609
SparseHNSW_a0.5_b3_p0,"M=32 efC=200 ef=100 alpha=0.5 beta=3 q=u8 seedT=8 seedH=8 seedS=4",64,0.8330243337,0.9948,85.9526,2.9836,0.0000,0.035767,"0.035680;0.035767;0.035775",10.361240,96513.55,,4.17,0,3452,10,True,nid007071,57248609
SparseHNSW_a0.5_b3_p0,"M=32 efC=200 ef=200 alpha=0.5 beta=3 q=u8 seedT=8 seedH=8 seedS=4",64,0.8398609502,0.9988,85.9526,2.9836,0.0000,0.065896,"0.065896;0.065678;0.066015",19.089224,52385.58,,4.17,0,3452,10,True,nid007071,57248609
SparseHNSW_a0.5_b3_p0,"M=32 efC=200 ef=400 alpha=0.5 beta=3 q=u8 seedT=8 seedH=8 seedS=4",64,0.8435399768,0.9991,85.9526,2.9836,0.0000,0.123705,"0.123647;0.123990;0.123705",35.835747,27905.10,,4.17,0,3452,10,True,nid007071,57248609
SparseHNSW_a0.5_b3_p0,"M=32 efC=200 ef=800 alpha=0.5 beta=3 q=u8 seedT=8 seedH=8 seedS=4",64,0.8460602549,0.9997,85.9526,2.9836,0.0000,0.235406,"0.235406;0.235786;0.235208",68.194090,14664.03,,4.17,0,3452,10,True,nid007071,57248609
SparseHNSW_a0.5_b3_p0,"M=32 efC=200 ef=1600 alpha=0.5 beta=3 q=u8 seedT=8 seedH=8 seedS=4",64,0.8480590962,0.9997,85.9526,2.9836,0.0000,0.458994,"0.458705;0.459263;0.458994",132.964658,7520.80,,4.17,0,3452,10,True,nid007071,57248609
SparseHNSW_a0.5_b3_p0,"M=32 efC=200 ef=3200 alpha=0.5 beta=3 q=u8 seedT=8 seedH=8 seedS=4",64,0.8493626883,0.9997,85.9526,2.9836,0.0000,0.882968,"0.881198;0.883125;0.882968",255.784473,3909.54,,4.17,0,3452,10,True,nid007071,57248609
