Model,Params,Threads,Recall,RR@10,IndexSec,LoadSec,ConvertSec,SearchSecMedian,SearchSecRuns,AmortizedUsPerQuery,QPS,LatencyUsSingleThread,PeakRSSGB,IndexBytes,NumQueries,K,ResultsOrdered,Host,JobID
SparseHNSW_a0.5_b1,"M=32 efC=200 ef=10 alpha=0.5 beta=1 q=u8",64,0.4831691773,0.4141,87.4372,2.9301,0.0000,0.005404,"0.006292;0.005985;0.005404;0.005201;0.005141",1.565469,638786.08,,4.18,0,3452,10,True,nid007111,56977211
SparseHNSW_a0.5_b1,"M=32 efC=200 ef=20 alpha=0.5 beta=1 q=u8",64,0.5457995365,0.4672,87.4372,2.9301,0.0000,0.009192,"0.009399;0.009255;0.009192;0.009145;0.009100",2.662804,375543.95,,4.18,0,3452,10,True,nid007111,56977211
SparseHNSW_a0.5_b1,"M=32 efC=200 ef=50 alpha=0.5 beta=1 q=u8",64,0.5930475087,0.5148,87.4372,2.9301,0.0000,0.019685,"0.019964;0.019727;0.019685;0.019601;0.019595",5.702491,175361.95,,4.18,0,3452,10,True,nid007111,56977211
SparseHNSW_a0.5_b1,"M=32 efC=200 ef=100 alpha=0.5 beta=1 q=u8",64,0.6095017381,0.5288,87.4372,2.9301,0.0000,0.035648,"0.035648;0.035721;0.035729;0.035590;0.035509",10.326767,96835.73,,4.18,0,3452,10,True,nid007111,56977211
SparseHNSW_a0.5_b1,"M=32 efC=200 ef=200 alpha=0.5 beta=1 q=u8",64,0.6214658169,0.5376,87.4372,2.9301,0.0000,0.065537,"0.065646;0.065537;0.065429;0.065538;0.065393",18.985226,52672.54,,4.18,0,3452,10,True,nid007111,56977211
SparseHNSW_a0.5_b1,"M=32 efC=200 ef=400 alpha=0.5 beta=1 q=u8",64,0.6277809965,0.5470,87.4372,2.9301,0.0000,0.121797,"0.121628;0.122350;0.121945;0.121797;0.121749",35.283024,28342.24,,4.18,0,3452,10,True,nid007111,56977211
SparseHNSW_a0.5_b1,"M=32 efC=200 ef=800 alpha=0.5 beta=1 q=u8",64,0.6301274623,0.5493,87.4372,2.9301,0.0000,0.232400,"0.232552;0.232400;0.232219;0.232031;0.232559",67.323291,14853.70,,4.18,0,3452,10,True,nid007111,56977211
SparseHNSW_a0.5_b1,"M=32 efC=200 ef=1600 alpha=0.5 beta=1 q=u8",64,0.6313441483,0.5512,87.4372,2.9301,0.0000,0.454164,"0.454132;0.454764;0.453678;0.454164;0.454426",131.565469,7600.78,,4.18,0,3452,10,True,nid007111,56977211
SparseHNSW_a0.5_b1,"M=32 efC=200 ef=3200 alpha=0.5 beta=1 q=u8",64,0.6325028969,0.5539,87.4372,2.9301,0.0000,0.879934,"0.879934;0.880518;0.880434;0.879744;0.879715",254.905562,3923.02,,4.18,0,3452,10,True,nid007111,56977211
SparseHNSW_a0.5_b2,"M=32 efC=200 ef=10 alpha=0.5 beta=2 q=u8",64,0.6759559676,0.8902,87.4372,2.9301,0.0000,0.010176,"0.010926;0.010317;0.010176;0.010045;0.010013",2.947856,339229.56,,4.18,0,3452,10,True,nid007111,56977211
SparseHNSW_a0.5_b2,"M=32 efC=200 ef=20 alpha=0.5 beta=2 q=u8",64,0.6759559676,0.8902,87.4372,2.9301,0.0000,0.009960,"0.009989;0.009972;0.009932;0.009850;0.009960",2.885284,346586.35,,4.18,0,3452,10,True,nid007111,56977211
SparseHNSW_a0.5_b2,"M=32 efC=200 ef=50 alpha=0.5 beta=2 q=u8",64,0.7368771727,0.9513,87.4372,2.9301,0.0000,0.020563,"0.020676;0.020560;0.020554;0.020623;0.020563",5.956837,167874.34,,4.18,0,3452,10,True,nid007111,56977211
SparseHNSW_a0.5_b2,"M=32 efC=200 ef=100 alpha=0.5 beta=2 q=u8",64,0.7593568946,0.9748,87.4372,2.9301,0.0000,0.036606,"0.036825;0.036656;0.036535;0.036563;0.036606",10.604287,94301.48,,4.18,0,3452,10,True,nid007111,56977211
SparseHNSW_a0.5_b2,"M=32 efC=200 ef=200 alpha=0.5 beta=2 q=u8",64,0.7749420626,0.9910,87.4372,2.9301,0.0000,0.066335,"0.066218;0.066347;0.066335;0.066286;0.066338",19.216396,52038.89,,4.18,0,3452,10,True,nid007111,56977211
SparseHNSW_a0.5_b2,"M=32 efC=200 ef=400 alpha=0.5 beta=2 q=u8",64,0.7832271147,0.9974,87.4372,2.9301,0.0000,0.122992,"0.123062;0.122771;0.122810;0.122992;0.123011",35.629200,28066.87,,4.18,0,3452,10,True,nid007111,56977211
SparseHNSW_a0.5_b2,"M=32 efC=200 ef=800 alpha=0.5 beta=2 q=u8",64,0.7866454229,0.9991,87.4372,2.9301,0.0000,0.233234,"0.233234;0.233300;0.233553;0.232801;0.233079",67.564890,14800.59,,4.18,0,3452,10,True,nid007111,56977211
SparseHNSW_a0.5_b2,"M=32 efC=200 ef=1600 alpha=0.5 beta=2 q=u8",64,0.7887601390,0.9994,87.4372,2.9301,0.0000,0.454752,"0.454666;0.454872;0.454752;0.454564;0.455228",131.735805,7590.95,,4.18,0,3452,10,True,nid007111,56977211
SparseHNSW_a0.5_b2,"M=32 efC=200 ef=3200 alpha=0.5 beta=2 q=u8",64,0.7904403244,0.9994,87.4372,2.9301,0.0000,0.880263,"0.879961;0.880263;0.880090;0.880288;0.881106",255.000869,3921.56,,4.18,0,3452,10,True,nid007111,56977211
SparseHNSW_a0.5_b3,"M=32 efC=200 ef=10 alpha=0.5 beta=3 q=u8",64,0.7579953650,0.9229,87.4372,2.9301,0.0000,0.014142,"0.014935;0.014225;0.014142;0.014067;0.014002",4.096756,244095.60,,4.18,0,3452,10,True,nid007111,56977211
SparseHNSW_a0.5_b3,"M=32 efC=200 ef=20 alpha=0.5 beta=3 q=u8",64,0.7579953650,0.9229,87.4372,2.9301,0.0000,0.013813,"0.013916;0.013789;0.013868;0.013813;0.013790",4.001448,249909.51,,4.18,0,3452,10,True,nid007111,56977211
SparseHNSW_a0.5_b3,"M=32 efC=200 ef=50 alpha=0.5 beta=3 q=u8",64,0.7905851680,0.9522,87.4372,2.9301,0.0000,0.020962,"0.021085;0.020962;0.020989;0.020777;0.020791",6.072422,164678.94,,4.18,0,3452,10,True,nid007111,56977211
SparseHNSW_a0.5_b3,"M=32 efC=200 ef=100 alpha=0.5 beta=3 q=u8",64,0.8147450753,0.9754,87.4372,2.9301,0.0000,0.036913,"0.036913;0.037026;0.037037;0.036730;0.036820",10.693221,93517.19,,4.18,0,3452,10,True,nid007111,56977211
SparseHNSW_a0.5_b3,"M=32 efC=200 ef=200 alpha=0.5 beta=3 q=u8",64,0.8319524913,0.9913,87.4372,2.9301,0.0000,0.066779,"0.066779;0.066719;0.066665;0.066916;0.066966",19.345017,51692.90,,4.18,0,3452,10,True,nid007111,56977211
SparseHNSW_a0.5_b3,"M=32 efC=200 ef=400 alpha=0.5 beta=3 q=u8",64,0.8415121669,0.9977,87.4372,2.9301,0.0000,0.123181,"0.123181;0.123227;0.123259;0.122946;0.123003",35.683951,28023.80,,4.18,0,3452,10,True,nid007111,56977211
SparseHNSW_a0.5_b3,"M=32 efC=200 ef=800 alpha=0.5 beta=3 q=u8",64,0.8452780997,0.9994,87.4372,2.9301,0.0000,0.233483,"0.233790;0.233483;0.233209;0.233549;0.233161",67.637022,14784.80,,4.18,0,3452,10,True,nid007111,56977211
SparseHNSW_a0.5_b3,"M=32 efC=200 ef=1600 alpha=0.5 beta=3 q=u8",64,0.8477983778,0.9997,87.4372,2.9301,0.0000,0.455364,"0.455364;0.455211;0.454959;0.455880;0.455843",131.913094,7580.75,,4.18,0,3452,10,True,nid007111,56977211
SparseHNSW_a0.5_b3,"M=32 efC=200 ef=3200 alpha=0.5 beta=3 q=u8",64,0.8492757822,0.9997,87.4372,2.9301,0.0000,0.880444,"0.880682;0.880783;0.879493;0.880444;0.880390",255.053302,3920.75,,4.18,0,3452,10,True,nid007111,56977211
SparseHNSW_a0.5_b4,"M=32 efC=200 ef=10 alpha=0.5 beta=4 q=u8",64,0.8071263036,0.9432,87.4372,2.9301,0.0000,0.017922,"0.018960;0.018125;0.017898;0.017922;0.017889",5.191773,192612.43,,4.18,0,3452,10,True,nid007111,56977211
SparseHNSW_a0.5_b4,"M=32 efC=200 ef=20 alpha=0.5 beta=4 q=u8",64,0.8071263036,0.9432,87.4372,2.9301,0.0000,0.017607,"0.017800;0.017650;0.017579;0.017607;0.017547",5.100521,196058.39,,4.18,0,3452,10,True,nid007111,56977211
SparseHNSW_a0.5_b4,"M=32 efC=200 ef=50 alpha=0.5 beta=4 q=u8",64,0.8196118192,0.9525,87.4372,2.9301,0.0000,0.021153,"0.021153;0.021158;0.021008;0.021095;0.021181",6.127752,163191.98,,4.18,0,3452,10,True,nid007111,56977211
SparseHNSW_a0.5_b4,"M=32 efC=200 ef=100 alpha=0.5 beta=4 q=u8",64,0.8461181924,0.9757,87.4372,2.9301,0.0000,0.037262,"0.037352;0.037257;0.037246;0.037341;0.037262",10.794322,92641.30,,4.18,0,3452,10,True,nid007111,56977211
SparseHNSW_a0.5_b4,"M=32 efC=200 ef=200 alpha=0.5 beta=4 q=u8",64,0.8641946698,0.9916,87.4372,2.9301,0.0000,0.067017,"0.067017;0.067031;0.067108;0.066940;0.066949",19.413963,51509.32,,4.18,0,3452,10,True,nid007111,56977211
SparseHNSW_a0.5_b4,"M=32 efC=200 ef=400 alpha=0.5 beta=4 q=u8",64,0.8741019699,0.9980,87.4372,2.9301,0.0000,0.123468,"0.123468;0.123797;0.123676;0.123383;0.123360",35.767092,27958.66,,4.18,0,3452,10,True,nid007111,56977211
SparseHNSW_a0.5_b4,"M=32 efC=200 ef=800 alpha=0.5 beta=4 q=u8",64,0.8780706837,0.9997,87.4372,2.9301,0.0000,0.233580,"0.233482;0.233363;0.233580;0.233632;0.234057",67.665122,14778.66,,4.18,0,3452,10,True,nid007111,56977211
SparseHNSW_a0.5_b4,"M=32 efC=200 ef=1600 alpha=0.5 beta=4 q=u8",64,0.8807358053,1.0000,87.4372,2.9301,0.0000,0.455625,"0.455793;0.455510;0.456268;0.455625;0.455432",131.988702,7576.41,,4.18,0,3452,10,True,nid007111,56977211
SparseHNSW_a0.5_b4,"M=32 efC=200 ef=3200 alpha=0.5 beta=4 q=u8",64,0.8825608343,1.0000,87.4372,2.9301,0.0000,0.881532,"0.881156;0.881677;0.881532;0.882157;0.880366",255.368482,3915.91,,4.18,0,3452,10,True,nid007111,56977211
SparseHNSW_a0.5_b5,"M=32 efC=200 ef=10 alpha=0.5 beta=5 q=u8",64,0.8356604867,0.9528,87.4372,2.9301,0.0000,0.021777,"0.022616;0.022062;0.021732;0.021777;0.021699",6.308517,158515.87,,4.18,0,3452,10,True,nid007111,56977211
SparseHNSW_a0.5_b5,"M=32 efC=200 ef=20 alpha=0.5 beta=5 q=u8",64,0.8356604867,0.9528,87.4372,2.9301,0.0000,0.021541,"0.021548;0.021536;0.021541;0.021544;0.021537",6.240151,160252.54,,4.18,0,3452,10,True,nid007111,56977211
SparseHNSW_a0.5_b5,"M=32 efC=200 ef=50 alpha=0.5 beta=5 q=u8",64,0.8356604867,0.9528,87.4372,2.9301,0.0000,0.021556,"0.021579;0.021654;0.021447;0.021535;0.021556",6.244496,160141.03,,4.18,0,3452,10,True,nid007111,56977211
SparseHNSW_a0.5_b5,"M=32 efC=200 ef=100 alpha=0.5 beta=5 q=u8",64,0.8632676709,0.9757,87.4372,2.9301,0.0000,0.037687,"0.037911;0.037637;0.037687;0.037726;0.037510",10.917439,91596.57,,4.18,0,3452,10,True,nid007111,56977211
SparseHNSW_a0.5_b5,"M=32 efC=200 ef=200 alpha=0.5 beta=5 q=u8",64,0.8818655852,0.9916,87.4372,2.9301,0.0000,0.067328,"0.067321;0.067328;0.067428;0.067276;0.067533",19.504056,51271.39,,4.18,0,3452,10,True,nid007111,56977211
SparseHNSW_a0.5_b5,"M=32 efC=200 ef=400 alpha=0.5 beta=5 q=u8",64,0.8918597914,0.9983,87.4372,2.9301,0.0000,0.124255,"0.124303;0.124028;0.124255;0.124222;0.124455",35.995075,27781.58,,4.18,0,3452,10,True,nid007111,56977211
SparseHNSW_a0.5_b5,"M=32 efC=200 ef=800 alpha=0.5 beta=5 q=u8",64,0.8962340672,0.9997,87.4372,2.9301,0.0000,0.234255,"0.234142;0.234230;0.234534;0.234255;0.234491",67.860660,14736.08,,4.18,0,3452,10,True,nid007111,56977211
SparseHNSW_a0.5_b5,"M=32 efC=200 ef=1600 alpha=0.5 beta=5 q=u8",64,0.8991888760,1.0000,87.4372,2.9301,0.0000,0.456212,"0.455462;0.455886;0.456212;0.456355;0.456918",132.158749,7566.66,,4.18,0,3452,10,True,nid007111,56977211
SparseHNSW_a0.5_b5,"M=32 efC=200 ef=3200 alpha=0.5 beta=5 q=u8",64,0.9011877173,1.0000,87.4372,2.9301,0.0000,0.881602,"0.881602;0.881430;0.881619;0.881329;0.881793",255.388760,3915.60,,4.18,0,3452,10,True,nid007111,56977211
SparseHNSW_a0.5_b6,"M=32 efC=200 ef=10 alpha=0.5 beta=6 q=u8",64,0.8567786790,0.9597,87.4372,2.9301,0.0000,0.025517,"0.026668;0.025903;0.025385;0.025517;0.025422",7.391947,135282.36,,4.18,0,3452,10,True,nid007111,56977211
SparseHNSW_a0.5_b6,"M=32 efC=200 ef=20 alpha=0.5 beta=6 q=u8",64,0.8567786790,0.9597,87.4372,2.9301,0.0000,0.025312,"0.025441;0.025312;0.025243;0.025433;0.025263",7.332561,136378.00,,4.18,0,3452,10,True,nid007111,56977211
SparseHNSW_a0.5_b6,"M=32 efC=200 ef=50 alpha=0.5 beta=6 q=u8",64,0.8567786790,0.9597,87.4372,2.9301,0.0000,0.025264,"0.025264;0.025155;0.025349;0.025336;0.025160",7.318656,136637.11,,4.18,0,3452,10,True,nid007111,56977211
SparseHNSW_a0.5_b6,"M=32 efC=200 ef=100 alpha=0.5 beta=6 q=u8",64,0.8761587486,0.9757,87.4372,2.9301,0.0000,0.038090,"0.038026;0.037963;0.038193;0.038090;0.038269",11.034183,90627.46,,4.18,0,3452,10,True,nid007111,56977211
SparseHNSW_a0.5_b6,"M=32 efC=200 ef=200 alpha=0.5 beta=6 q=u8",64,0.8962630359,0.9916,87.4372,2.9301,0.0000,0.067757,"0.067837;0.067757;0.067727;0.067900;0.067690",19.628331,50946.77,,4.18,0,3452,10,True,nid007111,56977211
SparseHNSW_a0.5_b6,"M=32 efC=200 ef=400 alpha=0.5 beta=6 q=u8",64,0.9065179606,0.9983,87.4372,2.9301,0.0000,0.124030,"0.124030;0.123936;0.124212;0.123877;0.124251",35.929896,27831.98,,4.18,0,3452,10,True,nid007111,56977211
SparseHNSW_a0.5_b6,"M=32 efC=200 ef=800 alpha=0.5 beta=6 q=u8",64,0.9112977984,0.9997,87.4372,2.9301,0.0000,0.234390,"0.234660;0.234390;0.234139;0.234446;0.234320",67.899768,14727.59,,4.18,0,3452,10,True,nid007111,56977211
SparseHNSW_a0.5_b6,"M=32 efC=200 ef=1600 alpha=0.5 beta=6 q=u8",64,0.9145422943,1.0000,87.4372,2.9301,0.0000,0.456216,"0.456759;0.455701;0.456199;0.456216;0.456610",132.159907,7566.59,,4.18,0,3452,10,True,nid007111,56977211
SparseHNSW_a0.5_b6,"M=32 efC=200 ef=3200 alpha=0.5 beta=6 q=u8",64,0.9166570104,1.0000,87.4372,2.9301,0.0000,0.880929,"0.880329;0.881114;0.881308;0.880929;0.880277",255.193801,3918.59,,4.18,0,3452,10,True,nid007111,56977211
SparseHNSW_a0.5_b7,"M=32 efC=200 ef=10 alpha=0.5 beta=7 q=u8",64,0.8728273465,0.9655,87.4372,2.9301,0.0000,0.029173,"0.029536;0.029320;0.029137;0.029146;0.029173",8.451043,118328.59,,4.18,0,3452,10,True,nid007111,56977211
SparseHNSW_a0.5_b7,"M=32 efC=200 ef=20 alpha=0.5 beta=7 q=u8",64,0.8728273465,0.9655,87.4372,2.9301,0.0000,0.028857,"0.028857;0.028787;0.028867;0.029363;0.028801",8.359502,119624.35,,4.18,0,3452,10,True,nid007111,56977211
SparseHNSW_a0.5_b7,"M=32 efC=200 ef=50 alpha=0.5 beta=7 q=u8",64,0.8728273465,0.9655,87.4372,2.9301,0.0000,0.029029,"0.029123;0.028666;0.029038;0.028709;0.029029",8.409328,118915.57,,4.18,0,3452,10,True,nid007111,56977211
SparseHNSW_a0.5_b7,"M=32 efC=200 ef=100 alpha=0.5 beta=7 q=u8",64,0.8850811124,0.9757,87.4372,2.9301,0.0000,0.038393,"0.038275;0.038261;0.038505;0.038447;0.038393",11.121958,89912.22,,4.18,0,3452,10,True,nid007111,56977211
SparseHNSW_a0.5_b7,"M=32 efC=200 ef=200 alpha=0.5 beta=7 q=u8",64,0.9058516802,0.9916,87.4372,2.9301,0.0000,0.068082,"0.067828;0.068219;0.068082;0.068127;0.068039",19.722480,50703.56,,4.18,0,3452,10,True,nid007111,56977211
SparseHNSW_a0.5_b7,"M=32 efC=200 ef=400 alpha=0.5 beta=7 q=u8",64,0.9165121669,0.9983,87.4372,2.9301,0.0000,0.124286,"0.124079;0.124315;0.124286;0.124204;0.124344",36.004056,27774.65,,4.18,0,3452,10,True,nid007111,56977211
SparseHNSW_a0.5_b7,"M=32 efC=200 ef=800 alpha=0.5 beta=7 q=u8",64,0.9215237543,0.9997,87.4372,2.9301,0.0000,0.234722,"0.234485;0.234854;0.234614;0.234722;0.234832",67.995944,14706.76,,4.18,0,3452,10,True,nid007111,56977211
SparseHNSW_a0.5_b7,"M=32 efC=200 ef=1600 alpha=0.5 beta=7 q=u8",64,0.9246813441,1.0000,87.4372,2.9301,0.0000,0.456666,"0.456074;0.456666;0.456754;0.457028;0.456168",132.290267,7559.14,,4.18,0,3452,10,True,nid007111,56977211
SparseHNSW_a0.5_b7,"M=32 efC=200 ef=3200 alpha=0.5 beta=7 q=u8",64,0.9268829664,1.0000,87.4372,2.9301,0.0000,0.881563,"0.881081;0.881482;0.881563;0.883052;0.882047",255.377462,3915.77,,4.18,0,3452,10,True,nid007111,56977211
SparseHNSW_a0.5_b8,"M=32 efC=200 ef=10 alpha=0.5 beta=8 q=u8",64,0.8840961761,0.9696,87.4372,2.9301,0.0000,0.032378,"0.033357;0.032635;0.032304;0.032322;0.032378",9.379490,106615.60,,4.18,0,3452,10,True,nid007111,56977211
SparseHNSW_a0.5_b8,"M=32 efC=200 ef=20 alpha=0.5 beta=8 q=u8",64,0.8840961761,0.9696,87.4372,2.9301,0.0000,0.032492,"0.032397;0.032421;0.032492;0.032596;0.032686",9.412514,106241.54,,4.18,0,3452,10,True,nid007111,56977211
SparseHNSW_a0.5_b8,"M=32 efC=200 ef=50 alpha=0.5 beta=8 q=u8",64,0.8840961761,0.9696,87.4372,2.9301,0.0000,0.032578,"0.032578;0.032470;0.032677;0.032675;0.032478",9.437428,105961.08,,4.18,0,3452,10,True,nid007111,56977211
SparseHNSW_a0.5_b8,"M=32 efC=200 ef=100 alpha=0.5 beta=8 q=u8",64,0.8918597914,0.9760,87.4372,2.9301,0.0000,0.038814,"0.038713;0.038844;0.038754;0.038945;0.038814",11.243917,88936.98,,4.18,0,3452,10,True,nid007111,56977211
