Model,Params,Threads,Recall,RR@10,IndexSec,LoadSec,ConvertSec,SearchSecMedian,SearchSecRuns,AmortizedUsPerQuery,QPS,LatencyUsSingleThread,PeakRSSGB,IndexBytes,NumQueries,K,ResultsOrdered,Host,JobID
SparseHNSW_a0.6_b1_s0x0,"M=32 efC=200 ef=10 alpha=0.6 beta=1 q=u8",64,0.5681054461,0.4733,111.8080,2.9244,0.0000,0.006054,"0.007359;0.006828;0.006054;0.005929;0.005904",1.753766,570201.52,,4.24,0,3452,10,True,nid004308,57240770
SparseHNSW_a0.6_b1_s0x0,"M=32 efC=200 ef=20 alpha=0.6 beta=1 q=u8",64,0.6321263036,0.5278,111.8080,2.9244,0.0000,0.010394,"0.010520;0.010394;0.010402;0.010318;0.010267",3.011008,332114.68,,4.24,0,3452,10,True,nid004308,57240770
SparseHNSW_a0.6_b1_s0x0,"M=32 efC=200 ef=25 alpha=0.6 beta=1 q=u8",64,0.6467844728,0.5394,111.8080,2.9244,0.0000,0.012280,"0.012416;0.012393;0.012280;0.012203;0.012214",3.557358,281107.49,,4.24,0,3452,10,True,nid004308,57240770
SparseHNSW_a0.6_b1_s0x0,"M=32 efC=200 ef=30 alpha=0.6 beta=1 q=u8",64,0.6571842410,0.5475,111.8080,2.9244,0.0000,0.014125,"0.014266;0.014158;0.014125;0.014114;0.014090",4.091831,244389.38,,4.24,0,3452,10,True,nid004308,57240770
SparseHNSW_a0.6_b1_s0x0,"M=32 efC=200 ef=35 alpha=0.6 beta=1 q=u8",64,0.6643395133,0.5550,111.8080,2.9244,0.0000,0.015969,"0.015978;0.015989;0.015969;0.015901;0.015908",4.626014,216168.83,,4.24,0,3452,10,True,nid004308,57240770
SparseHNSW_a0.6_b1_s0x0,"M=32 efC=200 ef=40 alpha=0.6 beta=1 q=u8",64,0.6697276941,0.5587,111.8080,2.9244,0.0000,0.017804,"0.017816;0.017835;0.017804;0.017784;0.017770",5.157590,193889.01,,4.24,0,3452,10,True,nid004308,57240770
SparseHNSW_a0.6_b1_s0x0,"M=32 efC=200 ef=50 alpha=0.6 beta=1 q=u8",64,0.6789397451,0.5661,111.8080,2.9244,0.0000,0.021587,"0.021601;0.021559;0.021587;0.021613;0.021538",6.253476,159911.06,,4.24,0,3452,10,True,nid004308,57240770
SparseHNSW_a0.6_b1_s0x0,"M=32 efC=200 ef=60 alpha=0.6 beta=1 q=u8",64,0.6854866744,0.5730,111.8080,2.9244,0.0000,0.025229,"0.025285;0.025165;0.025244;0.025229;0.025160",7.308517,136826.67,,4.24,0,3452,10,True,nid004308,57240770
SparseHNSW_a0.6_b1_s0x0,"M=32 efC=200 ef=75 alpha=0.6 beta=1 q=u8",64,0.6933371958,0.5814,111.8080,2.9244,0.0000,0.030868,"0.030916;0.030917;0.030828;0.030724;0.030868",8.942063,111831.02,,4.24,0,3452,10,True,nid004308,57240770
SparseHNSW_a0.6_b1_s0x0,"M=32 efC=200 ef=100 alpha=0.6 beta=1 q=u8",64,0.6997972190,0.5876,111.8080,2.9244,0.0000,0.039800,"0.039800;0.039787;0.039749;0.039948;0.039856",11.529548,86733.67,,4.24,0,3452,10,True,nid004308,57240770
SparseHNSW_a0.6_b2_s0x0,"M=32 efC=200 ef=10 alpha=0.6 beta=2 q=u8",64,0.7578794902,0.9148,111.8080,2.9244,0.0000,0.011335,"0.011749;0.011502;0.011335;0.011299;0.011269",3.283604,304543.45,,4.24,0,3452,10,True,nid004308,57240770
SparseHNSW_a0.6_b2_s0x0,"M=32 efC=200 ef=20 alpha=0.6 beta=2 q=u8",64,0.7578794902,0.9148,111.8080,2.9244,0.0000,0.011116,"0.011192;0.011116;0.011136;0.011092;0.011100",3.220162,310543.36,,4.24,0,3452,10,True,nid004308,57240770
SparseHNSW_a0.6_b2_s0x0,"M=32 efC=200 ef=25 alpha=0.6 beta=2 q=u8",64,0.7781575898,0.9293,111.8080,2.9244,0.0000,0.013043,"0.013109;0.013077;0.013043;0.013042;0.012939",3.778389,264663.04,,4.24,0,3452,10,True,nid004308,57240770
SparseHNSW_a0.6_b2_s0x0,"M=32 efC=200 ef=30 alpha=0.6 beta=2 q=u8",64,0.7915990730,0.9403,111.8080,2.9244,0.0000,0.014972,"0.015021;0.014972;0.014972;0.014907;0.014935",4.337196,230563.72,,4.24,0,3452,10,True,nid004308,57240770
SparseHNSW_a0.6_b2_s0x0,"M=32 efC=200 ef=35 alpha=0.6 beta=2 q=u8",64,0.8011297798,0.9481,111.8080,2.9244,0.0000,0.016799,"0.016860;0.016884;0.016755;0.016799;0.016718",4.866454,205488.42,,4.24,0,3452,10,True,nid004308,57240770
SparseHNSW_a0.6_b2_s0x0,"M=32 efC=200 ef=40 alpha=0.6 beta=2 q=u8",64,0.8084588644,0.9542,111.8080,2.9244,0.0000,0.018599,"0.018579;0.018674;0.018623;0.018563;0.018599",5.387891,185601.38,,4.24,0,3452,10,True,nid004308,57240770
SparseHNSW_a0.6_b2_s0x0,"M=32 efC=200 ef=50 alpha=0.6 beta=2 q=u8",64,0.8203939745,0.9641,111.8080,2.9244,0.0000,0.022395,"0.022428;0.022395;0.022442;0.022336;0.022292",6.487543,154141.55,,4.24,0,3452,10,True,nid004308,57240770
SparseHNSW_a0.6_b2_s0x0,"M=32 efC=200 ef=60 alpha=0.6 beta=2 q=u8",64,0.8288818076,0.9719,111.8080,2.9244,0.0000,0.026096,"0.026274;0.026096;0.026040;0.026099;0.026079",7.559676,132280.81,,4.24,0,3452,10,True,nid004308,57240770
