Model,Params,Threads,Recall,RR@10,IndexSec,LoadSec,ConvertSec,SearchSecMedian,SearchSecRuns,AmortizedUsPerQuery,QPS,LatencyUsSingleThread,PeakRSSGB,IndexBytes,NumQueries,K,ResultsOrdered,Host,JobID
SparseHNSW_a0.5_b1_s0x0,"M=32 efC=200 ef=10 alpha=0.5 beta=1 q=u8",64,0.4823290846,0.4127,88.2189,2.9588,0.0000,0.005288,"0.006336;0.005953;0.005288;0.005115;0.005099",1.531866,652798.79,,4.18,0,3452,10,True,nid006068,57240767
SparseHNSW_a0.5_b1_s0x0,"M=32 efC=200 ef=20 alpha=0.5 beta=1 q=u8",64,0.5441193511,0.4626,88.2189,2.9588,0.0000,0.009082,"0.009240;0.009109;0.009078;0.009047;0.009082",2.630939,380092.49,,4.18,0,3452,10,True,nid006068,57240767
SparseHNSW_a0.5_b1_s0x0,"M=32 efC=200 ef=50 alpha=0.5 beta=1 q=u8",64,0.5939745075,0.5148,88.2189,2.9588,0.0000,0.019324,"0.019563;0.019324;0.019318;0.019331;0.019299",5.597914,178637.96,,4.18,0,3452,10,True,nid006068,57240767
SparseHNSW_a0.5_b1_s0x0,"M=32 efC=200 ef=100 alpha=0.5 beta=1 q=u8",64,0.6093858633,0.5277,88.2189,2.9588,0.0000,0.035327,"0.035475;0.035327;0.035345;0.035139;0.035229",10.233778,97715.63,,4.18,0,3452,10,True,nid006068,57240767
SparseHNSW_a0.5_b1_s0x0,"M=32 efC=200 ef=200 alpha=0.5 beta=1 q=u8",64,0.6215527231,0.5389,88.2189,2.9588,0.0000,0.064710,"0.064710;0.064699;0.065001;0.064841;0.064656",18.745655,53345.70,,4.18,0,3452,10,True,nid006068,57240767
SparseHNSW_a0.5_b1_s0x0,"M=32 efC=200 ef=400 alpha=0.5 beta=1 q=u8",64,0.6280417149,0.5486,88.2189,2.9588,0.0000,0.120521,"0.120244;0.120503;0.120575;0.120542;0.120521",34.913384,28642.31,,4.18,0,3452,10,True,nid006068,57240767
SparseHNSW_a0.5_b1_s0x0,"M=32 efC=200 ef=800 alpha=0.5 beta=1 q=u8",64,0.6300405562,0.5485,88.2189,2.9588,0.0000,0.228927,"0.229038;0.228547;0.228927;0.228616;0.229268",66.317207,15079.04,,4.18,0,3452,10,True,nid006068,57240767
SparseHNSW_a0.5_b1_s0x0,"M=32 efC=200 ef=1600 alpha=0.5 beta=1 q=u8",64,0.6311993048,0.5502,88.2189,2.9588,0.0000,0.446696,"0.446696;0.447200;0.445869;0.446467;0.446900",129.402086,7727.85,,4.18,0,3452,10,True,nid006068,57240767
SparseHNSW_a0.5_b1_s0x0,"M=32 efC=200 ef=3200 alpha=0.5 beta=1 q=u8",64,0.6325608343,0.5532,88.2189,2.9588,0.0000,0.863346,"0.864249;0.863346;0.863138;0.864233;0.862992",250.100232,3998.40,,4.18,0,3452,10,True,nid006068,57240767
SparseHNSW_a0.5_b2_s0x0,"M=32 efC=200 ef=10 alpha=0.5 beta=2 q=u8",64,0.6746813441,0.8882,88.2189,2.9588,0.0000,0.010026,"0.010838;0.010211;0.010026;0.009947;0.009919",2.904403,344304.81,,4.18,0,3452,10,True,nid006068,57240767
SparseHNSW_a0.5_b2_s0x0,"M=32 efC=200 ef=20 alpha=0.5 beta=2 q=u8",64,0.6746813441,0.8882,88.2189,2.9588,0.0000,0.009850,"0.009860;0.009902;0.009830;0.009850;0.009848",2.853418,350456.85,,4.18,0,3452,10,True,nid006068,57240767
