alpha,beta,ef,refine_runs,time_v2,time_v3,speedup_raw,speedup_drift_corrected,recall_v2,recall_v3,qps_v2,qps_v3
0.5,1,10,0,0.005662,0.005690,0.9951,0.9989,0.484009,0.485545,609678.56,606678.38
0.5,1,20,0,0.009857,0.009843,1.0014,1.0052,0.546437,0.545249,350207.97,350706.09
0.5,1,50,0,0.020999,0.021089,0.9957,0.9995,0.594380,0.594641,164388.78,163687.23
0.5,1,100,0,0.038739,0.038494,1.0064,1.0102,0.611414,0.611269,89109.17,89676.31
0.5,1,200,0,0.070573,0.070853,0.9960,0.9999,0.621784,0.622856,48913.89,48720.59
0.5,1,400,0,0.131662,0.132642,0.9926,0.9964,0.627955,0.627781,26218.65,26024.94
0.5,1,800,0,0.251962,0.253826,0.9927,0.9964,0.630359,0.630127,13700.48,13599.87
0.5,1,1600,0,0.490048,0.493723,0.9926,0.9963,0.631576,0.631228,7044.21,6991.77
0.5,1,3200,0,0.946743,0.953396,0.9930,0.9968,0.632648,0.632416,3646.18,3620.74
0.5,2,10,1,0.011514,0.010735,1.0726,1.0767,0.677289,0.679490,299808.93,321564.97
0.5,2,20,1,0.011308,0.010568,1.0700,1.0741,0.677289,0.679490,305270.60,326646.48
0.5,2,50,1,0.022383,0.021913,1.0214,1.0253,0.735834,0.737514,154224.19,157532.06
0.5,2,100,1,0.039813,0.039492,1.0081,1.0120,0.761269,0.762428,86705.35,87410.11
0.5,2,200,1,0.072249,0.071941,1.0043,1.0081,0.775377,0.775550,47779.21,47983.76
0.5,2,400,1,0.134089,0.133795,1.0022,1.0060,0.783285,0.783604,25744.10,25800.67
0.5,2,800,1,0.254846,0.255087,0.9991,1.0029,0.787051,0.787225,13545.44,13532.64
0.5,2,1600,1,0.494627,0.495595,0.9980,1.0019,0.789108,0.789137,6979.00,6965.36
0.5,2,3200,1,0.955648,0.955091,1.0006,1.0044,0.790846,0.790817,3612.21,3614.32
0.5,3,10,1,0.015929,0.014935,1.0666,1.0706,0.759618,0.759270,216711.66,231134.92
0.5,3,20,1,0.015706,0.014634,1.0733,1.0774,0.759618,0.759270,219788.62,235889.03
0.5,3,50,1,0.023113,0.022298,1.0366,1.0405,0.792990,0.792178,149353.18,154812.09
0.5,3,100,1,0.040768,0.039712,1.0266,1.0305,0.814774,0.815585,84674.25,86925.87
0.5,3,200,1,0.072573,0.071988,1.0081,1.0120,0.832445,0.832590,47565.90,47952.44
0.5,3,400,1,0.133922,0.134110,0.9986,1.0024,0.841831,0.842613,25776.20,25740.06
0.5,3,800,1,0.254847,0.254857,1.0000,1.0038,0.845973,0.845915,13545.38,13544.85
0.5,3,1600,1,0.494156,0.495247,0.9978,1.0016,0.848059,0.848146,6985.65,6970.26
0.5,3,3200,1,0.950638,0.953571,0.9969,1.0007,0.849565,0.849710,3631.25,3620.08
0.5,4,10,1,0.020282,0.019117,1.0609,1.0650,0.805156,0.806692,170200.18,180572.27
0.5,4,20,1,0.019936,0.018706,1.0658,1.0698,0.805156,0.806692,173154.09,184539.72
0.5,4,50,1,0.023669,0.022437,1.0549,1.0589,0.819930,0.820539,145844.78,153853.01
0.5,4,100,1,0.041152,0.040154,1.0249,1.0288,0.848146,0.845597,83884.14,85969.02
0.5,4,200,1,0.073259,0.072038,1.0169,1.0208,0.863557,0.862688,47120.49,47919.15
0.5,4,400,1,0.134245,0.133939,1.0023,1.0061,0.873899,0.874913,25714.18,25772.93
0.5,4,800,1,0.254297,0.254037,1.0010,1.0048,0.878100,0.879027,13574.68,13588.57
0.5,4,1600,1,0.494247,0.494682,0.9991,1.0029,0.880765,0.880910,6984.36,6978.22
0.5,4,3200,1,0.951934,0.954752,0.9970,1.0009,0.882416,0.882822,3626.30,3615.60
0.5,5,10,1,0.024659,0.023044,1.0701,1.0742,0.838355,0.837051,139989.46,149800.38
0.5,5,20,1,0.024309,0.022867,1.0631,1.0671,0.838355,0.837051,142005.02,150959.90
0.5,5,50,1,0.024252,0.022767,1.0652,1.0693,0.838355,0.837051,142338.78,151622.96
0.5,5,100,1,0.041767,0.040430,1.0331,1.0370,0.863963,0.863934,82648.98,85382.14
0.5,5,200,1,0.073588,0.072296,1.0179,1.0218,0.881692,0.882735,46909.82,47748.15
0.5,5,400,1,0.135296,0.134108,1.0089,1.0127,0.891773,0.891831,25514.43,25740.45
0.5,5,800,1,0.255117,0.255031,1.0003,1.0042,0.896437,0.896321,13531.05,13535.61
0.5,5,1600,1,0.494629,0.495082,0.9991,1.0029,0.898899,0.899131,6978.97,6972.58
0.5,5,3200,1,0.955855,0.952349,1.0037,1.0075,0.900811,0.901101,3611.43,3624.72
0.6,1,10,0,0.006808,0.006808,1.0000,1.0038,0.569380,0.566425,507050.53,507050.53
0.6,1,20,0,0.011777,0.011769,1.0007,1.0045,0.630852,0.631924,293113.70,293312.94
0.6,1,50,0,0.024871,0.025011,0.9944,0.9982,0.678476,0.679200,138796.19,138019.27
0.6,1,100,0,0.046120,0.046125,0.9999,1.0037,0.701622,0.701448,74848.22,74840.11
