recall,ours_qps,SEISMIC_qps,vs_SEISMIC,SINDI_qps,vs_SINDI,kANNolo_qps,vs_kANNolo,PyANNS_qps,vs_PyANNS,GrassRMA_qps,vs_GrassRMA
0.9,219813,113150,1.94,60253,3.65,57460,3.83,36076,6.09,29981,7.33
0.91,210658,112627,1.87,57875,3.64,56334,3.74,35772,5.89,27438,7.68
0.92,190129,111877,1.7,55591,3.42,48349,3.93,32891,5.78,25036,7.59
0.93,167263,110770,1.51,38664,4.33,45975,3.64,28451,5.88,21946,7.62
0.94,142561,101983,1.4,37998,3.75,42224,3.38,26089,5.46,18898,7.54
0.95,117003,97483,1.2,37526,3.12,37089,3.15,22648,5.17,16179,7.23
0.96,88622,95516,0.93,37059,2.39,30772,2.88,16894,5.25,13924,6.36
0.97,67072,86706,0.77,32880,2.04,25727,2.61,13495,4.97,9419,7.12
0.98,51304,77404,0.66,26060,1.97,19318,2.66,8166,6.28,7474,6.86
0.99,26526,61193,0.43,22881,1.16,12080,2.2,3646,7.28,3937,6.74
