Model,Recall,Indexing Time,Single Query Time (microseconds),Searching Time (Seconds),QPS,RR@10
GrassRMA,0.8907736390,4084.98,90.41239,0.6310784816741943,11060.43,0.9466
GrassRMA,0.9345415473,4084.98,42.67351,0.29786109924316406,23433.74,0.9736
GrassRMA,0.9513896848,4084.98,60.318637,0.4210240840911865,16578.62,0.9825
GrassRMA,0.9617478510,4084.98,73.233033,0.5111665725708008,13655.04,0.9885
GrassRMA,0.9683954155,4084.98,90.444395,0.6313018798828125,11056.52,0.9927
GrassRMA,0.9716905444,4084.98,103.996715,0.7258970737457275,9615.69,0.9941
GrassRMA,0.9744842407,4084.98,119.50844,0.8341689109802246,8367.61,0.995
GrassRMA,0.9760601719,4084.98,134.551764,0.939171314239502,7432.08,0.9957
GrassRMA,0.9773495702,4084.98,150.207291,1.0484468936920166,6657.47,0.9961
kANNolo,0.9119054441,991.82,15.588135,0.10880517959594727,64151.36,0.9509
kANNolo,0.9448280802,991.82,25.542725,0.17828822135925293,39150.09,0.9739
kANNolo,0.9665186246,991.82,42.078488,0.29370784759521484,23765.11,0.9901
kANNolo,0.9777936963,991.82,81.063717,0.5658247470855713,12335.98,0.9961
kANNolo,0.9838108883,991.82,157.623646,1.1002130508422852,6344.23,0.999
kANNolo,0.9881232092,991.82,327.033027,2.2826905250549316,3057.8,0.9994
kANNolo,0.9913323782,991.82,702.384277,4.902642250061035,1423.72,0.9999
SEISMIC,0.8747421203,180.07,9.88771,0.0690162181854248,101135.65,0.9936
SEISMIC,0.9041404011,180.07,10.663356,0.07443022727966309,93779.1,0.9976
SEISMIC,0.9179226361,180.07,12.853904,0.08972024917602539,77797.38,0.9984
SEISMIC,0.9520773639,180.07,18.590501,0.1297616958618164,53790.91,0.9991
SEISMIC,0.9572349570,180.07,23.038886,0.1608114242553711,43404.88,0.9996
SEISMIC,0.9726217765,180.07,34.31588,0.23952484130859375,29141.03,0.9997
SEISMIC,0.9741977077,180.07,39.922371,0.2786581516265869,25048.61,0.9997
PyANNS,0.8518051576,4960.17,34.247258,0.2390458583831787,29199.42,0.7592
PyANNS,0.8947421203,4960.17,34.187892,0.2386314868927002,29250.12,0.8091
PyANNS,0.9098710602,4960.17,35.185493,0.24559473991394043,28420.8,0.8252
PyANNS,0.9173065903,4960.17,35.689144,0.24911022186279297,28019.73,0.8346
PyANNS,0.9204154728,4960.17,36.515342,0.25487709045410156,27385.75,0.8378
PyANNS,0.9232521490,4960.17,38.907111,0.27157163619995117,25702.24,0.8403
PyANNS,0.9233237822,4960.17,38.576707,0.26926541328430176,25922.38,0.8398
PyANNS,0.9244555874,4960.17,39.079811,0.27277708053588867,25588.66,0.8406
PyANNS,0.9246848138,4960.17,39.748305,0.27744317054748535,25158.31,0.8411
SparseHNSW,0.7967765043,450.53,4.074069,0.0284370000000000,245454.87,0.8662
SparseHNSW,0.8509742120,450.53,5.527794,0.0385840000000000,180904.00,0.9111
SparseHNSW,0.8824498567,450.53,7.180516,0.0501200000000000,139265.76,0.9374
SparseHNSW,0.9010744986,450.53,8.827221,0.0616140000000000,113285.94,0.9529
SparseHNSW,0.9214756447,450.53,11.963324,0.0835040000000000,83588.81,0.9683
SparseHNSW,0.9337535817,450.53,15.068338,0.1051770000000000,66364.32,0.9777
SparseHNSW,0.9455873926,450.53,21.120057,0.1474180000000000,47348.36,0.9851
SparseHNSW,0.9577220630,450.53,33.095415,0.2310060000000000,30215.67,0.9926
SparseHNSW,0.9646848138,450.53,48.077507,0.3355810000000000,20799.75,0.9960
SparseHNSW,0.9678080229,450.53,63.467192,0.4430010000000000,15756.17,0.9973
SparseHNSW,0.9722922636,450.53,98.812321,0.6897100000000000,10120.20,0.9980
SparseHNSW,0.9748567335,450.53,130.998567,0.9143700000000000,7633.67,0.9986
SINDI,0.5057879656,50.68,73.925788,0.5160020000000000,13527.08,0.9705
SINDI,0.6532951289,50.68,74.429226,0.5195160000000000,13435.58,0.9851
SINDI,0.7893123209,50.68,75.638395,0.5279560000000000,13220.80,0.9956
SINDI,0.7903151862,50.68,87.239255,0.6089300000000000,11462.73,0.9956
SINDI,0.7906160458,50.68,98.898854,0.6903140000000000,10111.34,0.9954
SINDI,0.8823065903,52.68,106.624355,0.7442380000000000,9378.72,0.9996
SINDI,0.8832521490,52.68,122.865616,0.8576020000000000,8138.97,0.9996
SINDI,0.8836676218,52.68,139.454441,0.9733920000000000,7170.80,0.9996
SINDI,0.9405873926,55.16,144.269484,1.0070010000000000,6931.47,1.0000
SINDI,0.9411031519,55.16,166.566046,1.1626310000000000,6003.62,1.0000
SINDI,0.9413467049,55.16,189.074642,1.3197410000000001,5288.92,1.0000
SINDI,0.9764756447,57.86,191.756734,1.3384620000000000,5214.94,1.0000
SINDI,0.9771776504,57.86,222.599284,1.5537430000000001,4492.38,1.0000
SINDI,0.9774641834,57.86,253.254011,1.7677130000000001,3948.60,1.0000
SINDI,0.9929512894,61.70,255.162178,1.7810319999999999,3919.08,1.0000
SINDI,0.9933524355,61.70,297.629513,2.0774539999999999,3359.88,1.0000
SINDI,0.9935386819,61.70,339.699140,2.3711000000000002,2943.78,1.0000
SINDI,0.9987535817,65.90,340.962034,2.3799150000000000,2932.88,1.0000
SINDI,0.9989684814,65.90,400.185530,2.7932950000000001,2498.84,1.0000
SINDI,0.9990830946,65.90,459.169914,3.2050060000000000,2177.84,1.0000
SINDI,0.9998424069,73.50,464.737106,3.2438650000000000,2151.75,1.0000
